
[00:00:00.000 --> 00:00:03.600]  頂子妹平安!復活節快樂!
[00:00:03.600 --> 00:00:08.400]  耶穌基督的復活是我們信仰裡的一個很重要的核心
[00:00:08.400 --> 00:00:13.300]  耶穌基督勝過死亡,是永活的神
[00:00:13.300 --> 00:00:14.800]  因著耶穌基督的復活
[00:00:14.800 --> 00:00:19.700]  叫我們一群信祂的門徒
[00:00:19.700 --> 00:00:21.200]  我們一群屬神的子民
[00:00:21.200 --> 00:00:23.800]  能夠在生命裡有活潑的盼望
[00:00:23.800 --> 00:00:28.000]  因此,復活節是一個非常快樂的時刻
[00:00:28.000 --> 00:00:30.000]  所以我很想在這個時候邀請大家
[00:00:30.000 --> 00:00:31.700]  跟旁邊的弟兄姊妹說一聲
[00:00:31.700 --> 00:00:33.700]  復活節快樂!好嗎?
[00:00:33.700 --> 00:00:38.400]  復活節快樂!
[00:00:38.400 --> 00:00:40.900]  我記得在多年前
[00:00:40.900 --> 00:00:42.400]  當我去英國旅行的時候
[00:00:42.400 --> 00:00:45.300]  我去大英博物館參觀
[00:00:45.300 --> 00:00:49.000]  其中有一個展館是特別多人的
[00:00:49.000 --> 00:00:51.800]  是一個木乃伊的展館
[00:00:51.800 --> 00:00:55.500]  去看的人絡繹不絕,不斷有人龍
[00:00:55.500 --> 00:00:58.700]  因為裡面擺放了很多具木乃伊
[00:00:58.700 --> 00:01:00.700]  有些是有很長的歷史
[00:01:00.700 --> 00:01:02.500]  上千年的歷史
[00:01:02.500 --> 00:01:03.600]  保存得很好
[00:01:03.600 --> 00:01:06.500]  有些甚至是還有頭髮的
[00:01:06.500 --> 00:01:08.500]  令人感覺到很驚訝的是
[00:01:08.500 --> 00:01:10.800]  為什麼一個血肉之軀
[00:01:10.800 --> 00:01:15.000]  能夠可以好好保存這麼久呢?
[00:01:15.000 --> 00:01:17.500]  古時的防腐技術
[00:01:17.500 --> 00:01:18.900]  竟然是這麼精湛
[00:01:18.900 --> 00:01:21.400]  確實是令人嘆為觀止
[00:01:21.400 --> 00:01:23.700]  當我參觀的時候
[00:01:23.700 --> 00:01:27.400]  除了感覺到真的大開眼界之外
[00:01:27.400 --> 00:01:29.800]  我心裡面同時有一份感嘆
[00:01:29.800 --> 00:01:31.400]  我在想
[00:01:31.400 --> 00:01:32.800]  這些木乃伊
[00:01:32.800 --> 00:01:34.300]  在他們生前的時候
[00:01:34.300 --> 00:01:36.900]  無論多麼風光
[00:01:36.900 --> 00:01:39.000]  在這一刻擺在眼前的
[00:01:39.000 --> 00:01:40.600]  只有死亡
[00:01:40.600 --> 00:01:42.600]  只有死亡的終局
[00:01:42.600 --> 00:01:47.300]  只有工人鑑賞的死亡
[00:01:47.300 --> 00:01:49.300]  今天我想和大家一起去重溫
[00:01:49.300 --> 00:01:53.700]  聖經裡面一段非常重要的敘事的記載
[00:01:53.700 --> 00:01:58.000]  這段經文是記載了耶穌基督復活的情景
[00:01:58.000 --> 00:02:01.700]  耶穌基督復活是一個鐵一般的事實
[00:02:01.700 --> 00:02:04.700]  不過並不是讓我們來研究
[00:02:04.700 --> 00:02:06.100]  讓我們去鑑賞
[00:02:06.100 --> 00:02:07.300]  而是要向我們
[00:02:07.300 --> 00:02:09.300]  在今天仍然向我們發出
[00:02:09.300 --> 00:02:12.200]  很重要生命的訊息
[00:02:12.200 --> 00:02:14.200]  我們怎樣來回應呢?
[00:02:14.200 --> 00:02:16.600]  所以我盼望藉著這段經文
[00:02:16.600 --> 00:02:18.800]  能夠給我們有亮光
