
[00:00:00.000 --> 00:00:04.700]  有人問到宗教和基督信仰
[00:00:04.700 --> 00:00:08.800]  關乎宗教和基督信仰的分別
[00:00:08.800 --> 00:00:12.700]  有人說這兩個有什麼分別
[00:00:12.700 --> 00:00:15.500]  基督教不就是都是一個宗教
[00:00:15.500 --> 00:00:16.800]  但不是
[00:00:16.800 --> 00:00:19.400]  宗教是關乎「Do」
[00:00:19.400 --> 00:00:22.800]  而基督信仰是關乎「Done」
[00:00:22.800 --> 00:00:24.400]  什麼意思
[00:00:24.400 --> 00:00:26.000]  在宗教裏面
[00:00:26.000 --> 00:00:31.300]  就是人要不斷補償、彌補自己的不足和過失
[00:00:31.300 --> 00:00:34.400]  所以你不斷要去做很多好行為
[00:00:34.400 --> 00:00:36.300]  盼望那些好行為
[00:00:36.300 --> 00:00:39.000]  比較多過你的壞行為
[00:00:39.000 --> 00:00:41.000]  以致在量度一下的時候
[00:00:41.000 --> 00:00:42.600]  哎呀,剛剛合格
[00:00:42.600 --> 00:00:44.000]  好吧,過關了
[00:00:44.000 --> 00:00:45.800]  然後那些臣子
[00:00:45.800 --> 00:00:48.800]  只是希望在你身上得到好處
[00:00:48.800 --> 00:00:51.200]  但基督的信仰
[00:00:51.200 --> 00:00:52.600]  是關乎「Done」
[00:00:52.600 --> 00:00:54.300]  是已經成就的事
[00:00:55.000 --> 00:00:58.600]  耶穌基督為我們釘身在十字架上
[00:00:58.600 --> 00:01:01.300]  祂替代我們的罪孽
[00:01:01.300 --> 00:01:02.900]  已經受了鞭傷
[00:01:02.900 --> 00:01:04.300]  而祂的死
[00:01:04.300 --> 00:01:06.600]  換來我們的救贖
[00:01:06.600 --> 00:01:09.000]  祂的復活告訴我們
[00:01:09.000 --> 00:01:12.000]  今天我們已經重新能夠屬於上帝
[00:01:12.000 --> 00:01:13.500]  在永生裏面結連
[00:01:13.500 --> 00:01:16.400]  並且能夠經歷上帝奇妙的恩典
[00:01:16.400 --> 00:01:17.900]  這是關乎「Done」
[00:01:17.900 --> 00:01:22.600]  既然耶穌基督在祂奇妙的大能和工作裏面
[00:01:22.600 --> 00:01:25.000]  已經完成了這個救贖的計劃
