
[00:00:00.000 --> 00:00:05.000]  感謝神今天能夠和弟兄姊妹分享神的話語
[00:00:05.000 --> 00:00:13.000]  在最近我收到相當多的壞消息
[00:00:13.000 --> 00:00:18.000]  有些壞消息是從我自己的親戚朋友那裡來
[00:00:18.000 --> 00:00:23.000]  有些是由弟兄姊妹那裡來
[00:00:23.000 --> 00:00:29.000]  他們都是因為在生活上遇到很大的困難
[00:00:29.000 --> 00:00:31.000]  是不容易面對的
[00:00:31.000 --> 00:00:34.000]  也都更加難去解決的
[00:00:34.000 --> 00:00:42.000]  所以我今天特別選了詩篇第六篇來和大家分享
[00:00:42.000 --> 00:00:46.000]  一方面是為了我自己
[00:00:46.000 --> 00:00:49.000]  一方面也是為了有需要的弟兄姊妹
[00:00:49.000 --> 00:00:53.000]  希望我們說的和聽的
[00:00:53.000 --> 00:00:57.000]  都一起在神的話語裡面能夠得到安慰
[00:00:59.000 --> 00:01:04.000]  如果最近你是沒什麼困難的
[00:01:04.000 --> 00:01:06.000]  沒什麼需要沒什麼缺乏的
[00:01:06.000 --> 00:01:08.000]  為你感謝神
[00:01:08.000 --> 00:01:12.000]  你可以將今天的訊息儲備起來
[00:01:12.000 --> 00:01:15.000]  留待日後的時候
[00:01:15.000 --> 00:01:16.000]  可以幫到自己
[00:01:16.000 --> 00:01:19.000]  或者你可以幫到其他人
[00:01:19.000 --> 00:01:25.000]  在上一兩個月裡面
[00:01:25.000 --> 00:01:30.000]  我曾經說過一個訊息是在詩篇二十三篇
[00:01:30.000 --> 00:01:37.000]  是說關於青草地溪水旁死任憂谷
[00:01:37.000 --> 00:01:40.000]  如果大家還記得這些字眼
[00:01:40.000 --> 00:01:47.000]  這些詞句是去比喻信心的不同程度
[00:01:47.000 --> 00:01:51.000]  青草地溪水旁的信心
[00:01:51.000 --> 00:01:59.000]  就是享受平靜安穩如意的生活裡面的信心
[00:01:59.000 --> 00:02:05.000]  這些信心只不過是信心的初級
[00:02:05.000 --> 00:02:11.000]  是在兒童樂園裡玩得很開心的信心
[00:02:11.000 --> 00:02:15.000]  但是死任憂谷的信心
