
[00:00:00.000 --> 00:00:05.000]  古往今來,人類不斷追求自由
[00:00:05.000 --> 00:00:12.000]  有人說:不自由,無寧死
[00:00:12.000 --> 00:00:19.000]  也有人說:生命誠可貴,愛情價更高
[00:00:19.000 --> 00:00:24.000]  若為自由顧,兩者皆可拋
[00:00:25.000 --> 00:00:30.000]  這兩句說話讓我們看到,有人為了自由的緣故
[00:00:30.000 --> 00:00:36.000]  原來可以不惜犧牲自己的生命,以生命作為代價去換取自由
[00:00:36.000 --> 00:00:43.000]  既然自由如此重要,到底什麼才是真正的自由呢?
[00:00:43.000 --> 00:00:51.000]  1789年是法國大革命,在這場革命中有一份很重要的文件
[00:00:52.000 --> 00:00:57.000]  這份文件是人權宣言,裡面對於自由有這樣的描述
[00:00:57.000 --> 00:01:03.000]  「自由即有權做一切無害於他人的任何事情」
[00:01:03.000 --> 00:01:10.000]  我們中國的國父孫中山先生也這樣說
[00:01:10.000 --> 00:01:17.000]  「一個人的自由,以不侵犯他人的自由為範圍,才是真自由」
[00:01:18.000 --> 00:01:23.000]  「如果侵犯他人的範圍,便不是自由」
[00:01:23.000 --> 00:01:27.000]  德國哲學家康德也這樣說
[00:01:27.000 --> 00:01:40.000]  「自由不是我要做什麼就做什麼,相反的,自由是我不要做什麼,我就有能力不做我所不要做的,這才叫自由」
[00:01:40.000 --> 00:01:47.000]  從這些言論中我們看到,自由不是我們想怎樣就怎樣,想做什麼就什麼
[00:01:48.000 --> 00:01:50.000]  完全沒有規範,不是這樣的
[00:01:50.000 --> 00:01:53.000]  聖經又怎樣看待自由呢?
[00:01:53.000 --> 00:02:02.000]  今天我想跟大家一起看《迦拉泰書》,看看保羅是怎樣看待自由的
[00:02:02.000 --> 00:02:09.000]  可能大家都不知不覺,原來在今年二月初開始
[00:02:09.000 --> 00:02:14.000]  教務同工在主日港一路講迦拉泰書,直到今天已經是第七堂了
[00:02:15.000 --> 00:02:23.000]  還有一堂就會講完,兩星期後羅牧師會跟我們講第六章,完成整卷迦拉泰書
[00:02:23.000 --> 00:02:29.000]  可能你們當中有人會說「真好,終於看完迦拉泰書了」
[00:02:29.000 --> 00:02:36.000]  因為迦拉泰書說來說去都是三幅屁,說來說去都是因順稱義
[00:02:36.000 --> 00:02:43.000]  如果你真的這樣想,你真的掌握了迦拉泰書的重點,就是因順稱義
[00:02:44.000 --> 00:02:47.000]  為什麼我今天無端端會講到自由呢?
[00:02:47.000 --> 00:02:51.000]  是不是因為怕悶到大家,所以就要拉開話題呢?
[00:02:51.000 --> 00:02:54.000]  當然不是,我是忠於聖經的
[00:02:54.000 --> 00:02:57.000]  其實在剛才主席跟我們讀的那段經文裏
[00:02:57.000 --> 00:03:03.000]  保羅一開始已經說「弟兄們,你們夢照是要得自由」
[00:03:03.000 --> 00:03:08.000]  但其實他不只是在這裏講,不是無端端的
[00:03:09.000 --> 00:03:16.000]  在上次杜生跟我們講的那段經文,五章一節裏其實已經在講自由
[00:03:16.000 --> 00:03:24.000]  他說「基督釋放了我們,叫我們得以自由,所以要站立得穩,不要再被奴僕的騙脅制」
[00:03:24.000 --> 00:03:29.000]  這裏前後其實是互相呼應的
[00:03:29.000 --> 00:03:34.000]  第一節說基督釋放了我們,使我們得到自由
[00:03:35.000 --> 00:03:42.000]  第三節說神呼召我們去得著基督的救贖,使我們得著自由
[00:03:42.000 --> 00:03:46.000]  所以這兩節是互相呼應的
[00:03:46.000 --> 00:03:51.000]  保羅所指的自由又是什麼意思呢?
[00:03:51.000 --> 00:03:58.000]  其實我們可以看看這兩節中間那一段,五章的二節至十二節
[00:03:59.000 --> 00:04:05.000]  裏面所講的自由是指一種脫離律法的咒詛的自由
[00:04:05.000 --> 00:04:15.000]  即是脫離以律法稱義這種主張所帶來的束縛的自由
[00:04:15.000 --> 00:04:22.000]  我們這幾節不斷有講,加拉太的信徒是受到一些人的誤導的
[00:04:22.000 --> 00:04:28.000]  而那些人其實我們可以給他們一個名字,他們就是猶太派的基督徒
[00:04:29.000 --> 00:04:31.000]  他們怎樣誤導加拉太人呢?
[00:04:31.000 --> 00:04:39.000]  他們說我們信耶穌是不夠的,我們要守律法才可以得以稱義
[00:04:39.000 --> 00:04:43.000]  才可以在神的面前成為無罪,要靠守律法
[00:04:43.000 --> 00:04:52.000]  並且就算你成為基督徒也好,之後你仍然要繼續守律法才可以保持著救恩
[00:04:52.000 --> 00:04:57.000]  這些就是這些所謂猶太派的基督徒不斷在主張
[00:04:58.000 --> 00:05:02.000]  而保羅所說的自由就是要脫離他們這種說法所帶來的束縛
[00:05:02.000 --> 00:05:11.000]  而且這種自由並不是毫無拘束,想做什麼就做什麼,沒有規範,不是的
[00:05:11.000 --> 00:05:18.000]  在剛才主席和我們讀的經文裡,這裡起碼可以看到兩個規範
[00:05:18.000 --> 00:05:24.000]  不過在看這兩個規範之前,我想先和大家看看一種沒有規範的自由
[00:05:25.000 --> 00:05:28.000]  保羅說沒有規範的自由會帶來什麼後果呢?
[00:05:28.000 --> 00:05:32.000]  我們一起讀這幾節經文
[00:05:55.000 --> 00:06:06.000]  在這裡,情慾的事,其實可以看回第十六節那裡
[00:06:06.000 --> 00:06:10.000]  有一個字其實是差不多意思,就是欲體的情慾
[00:06:10.000 --> 00:06:16.000]  欲體是指我們未信耶穌的時候的那種境況
[00:06:16.000 --> 00:06:22.000]  欲體的情慾,或者是情慾的事,就是指人在墮落的境況之中
