
[00:00:00.000 --> 00:00:03.780]  2021-2022年度的拆船年會
[00:00:03.780 --> 00:00:09.140]  那今天我的信息就是瓦契中的寶貝
[00:00:09.140 --> 00:00:13.140]  那我不知道大家知不知道這個
[00:00:13.140 --> 00:00:16.000]  鋪滿 大家知道這是什麼嗎?
[00:00:16.000 --> 00:00:18.980]  有沒有人知道這是什麼?
[00:00:18.980 --> 00:00:22.080]  如果你知道的話 能不能舉手給我看一下
[00:00:22.080 --> 00:00:29.100]  沒有啊 我也是頭一次聽這個詞
[00:00:29.100 --> 00:00:33.480]  如果你看到這個 你肯定知道什麼是鋪滿
[00:00:33.480 --> 00:00:38.280]  這個是什麼東西 大家都知道了
[00:00:38.280 --> 00:00:42.780]  這個我們今天叫豬仔前鷹 潛岸
[00:00:42.780 --> 00:00:52.100]  其實這個鋪滿 古代比較老一點的年代就是這個樣子
[00:00:52.100 --> 00:00:57.620]  原來這個鋪滿是在中國在晉朝的時候已經有記載了
[00:00:57.620 --> 00:01:02.660]  那時候稱為鋪滿 就是那種用泥土造成的
[00:01:02.660 --> 00:01:06.640]  用來儲錢的容器 它有一個入孔
[00:01:06.640 --> 00:01:11.660]  可是沒有出孔 那就是說你的錢只能扔進去
[00:01:11.660 --> 00:01:17.500]  如果滿了 你就把它打破 把裡面的錢拿出來
[00:01:17.500 --> 00:01:21.620]  當你急需要用這些儲蓄起來的錢的時候
[00:01:21.620 --> 00:01:25.740]  你會怎樣做? 你肯定要把它打破 對嗎?
[00:01:25.740 --> 00:01:29.500]  否則的話 裡面的錢根本就沒有價值
[00:01:29.500 --> 00:01:33.260]  對你來說也完全起不到作用
[00:01:33.260 --> 00:01:37.860]  今天我們講到這個瓦契 瓦契中的寶貝
[00:01:37.860 --> 00:01:42.060]  在談論這個問題之前 我們先來看一下
[00:01:42.060 --> 00:01:46.500]  今天經文的一些的背景資料
[00:01:46.500 --> 00:01:49.940]  有人就談保羅的那個作品
[00:01:49.940 --> 00:01:54.260]  他們就說菲利比書和哥林多後書
[00:01:54.260 --> 00:01:58.540]  就是保羅作品當中最富感情的
[00:01:58.540 --> 00:02:02.500]  前者就是菲利比書代表了保羅的笑
[00:02:02.500 --> 00:02:08.100]  而後者 哥林多後書就代表了他的眼淚
[00:02:08.100 --> 00:02:10.540]  在哥林多後書裡面
[00:02:10.540 --> 00:02:16.300]  其實有很多很多表達保羅感情受傷的句子
[00:02:16.300 --> 00:02:19.220]  比如說在二章的二到四節
[00:02:19.220 --> 00:02:23.260]  裡面就充滿了憂愁 快樂的感情
[00:02:23.260 --> 00:02:26.860]  也交織著他的眼淚與愛
[00:02:26.860 --> 00:02:29.780]  二語四節那裡有提到
[00:02:29.780 --> 00:02:31.580]  如果我使你們憂愁
[00:02:31.580 --> 00:02:34.820]  除了那因我而憂愁的人以外
[00:02:34.820 --> 00:02:36.940]  誰能使我快樂呢?
[00:02:36.940 --> 00:02:40.060]  我寫了這樣的信 免得我來的時候
[00:02:40.060 --> 00:02:43.820]  應該使我快樂的人反而使我憂愁
[00:02:43.820 --> 00:02:48.340]  我深信你們眾人都以我的喜樂為你們的喜樂
[00:02:48.340 --> 00:02:51.060]  我從前心裡痛苦難過
[00:02:51.060 --> 00:02:53.700]  流著眼淚寫信給你們
[00:02:53.700 --> 00:02:56.220]  並不是要使你們憂愁
[00:02:56.220 --> 00:02:59.540]  而是要你們知道我是多麼愛你們
[00:02:59.540 --> 00:03:04.620]  保羅親手建立了哥林多教會
[00:03:04.620 --> 00:03:09.020]  可是他自己所牧養的信徒
[00:03:09.020 --> 00:03:12.820]  所謂的超級使徒的影響之下
[00:03:12.820 --> 00:03:16.660]  就質疑保羅作為使徒的權柄
[00:03:16.660 --> 00:03:21.900]  背棄了這位用愛心來牧養他們的牧者
[00:03:21.900 --> 00:03:24.460]  而且也因為保羅
[00:03:24.460 --> 00:03:28.540]  因為一些原因改變了去哥林多教會的計畫
[00:03:28.540 --> 00:03:32.620]  而招致哥林多信徒的誤解
[00:03:32.620 --> 00:03:34.260]  保羅的人生當中
[00:03:34.260 --> 00:03:38.780]  可以說是為主受盡了苦難和屈辱
[00:03:38.780 --> 00:03:42.980]  比如說在哥林多後書十一章裡面就提到
[00:03:42.980 --> 00:03:47.500]  保羅坐牢他受了很多的鞭打
[00:03:47.500 --> 00:03:50.140]  又被棍打又被石頭打
[00:03:50.140 --> 00:03:51.700]  他遇過船壞
[00:03:51.700 --> 00:03:53.980]  也受著江河的危險
[00:03:53.980 --> 00:03:55.220]  強盜的危險
[00:03:55.220 --> 00:03:56.260]  同族的危險
[00:03:56.260 --> 00:03:57.740]  外族的危險
[00:03:57.740 --> 00:03:58.900]  城中的危險
[00:03:58.900 --> 00:04:00.340]  曠野的危險
[00:04:00.340 --> 00:04:01.860]  海中的危險
[00:04:01.860 --> 00:04:03.660]  假弟兄的危險
[00:04:03.660 --> 00:04:07.060]  他勞碌辛苦多次不得睡覺
[00:04:07.060 --> 00:04:09.700]  又飢又渴多次缺糧
[00:04:09.700 --> 00:04:11.540]  赤身哀冷
[00:04:11.540 --> 00:04:14.860]  而且他還為各教會掛心的事
[00:04:14.860 --> 00:04:18.420]  天天都壓在他的身上
[00:04:18.420 --> 00:04:21.500]  在林後的十二章他也這樣提到
[00:04:21.500 --> 00:04:25.460]  他甘心樂意為信徒的靈魂
[00:04:25.460 --> 00:04:28.460]  付上一切 鞠躬盡瘁
[00:04:28.460 --> 00:04:32.580]  可是信徒卻對他有很多的誤解
[00:04:32.580 --> 00:04:33.980]  他就概嘆
[00:04:33.980 --> 00:04:35.580]  難道我越愛你們
[00:04:35.580 --> 00:04:38.660]  就越得不到你們的愛嗎
[00:04:38.660 --> 00:04:40.900]  這樣的人生我想
[00:04:40.900 --> 00:04:42.540]  如果是我們這些人
[00:04:42.540 --> 00:04:45.060]  可能我們早就受不住了
[00:04:45.060 --> 00:04:48.020]  但是保羅卻能說出今天
[00:04:48.020 --> 00:04:50.220]  經文的那段話
[00:04:50.220 --> 00:04:53.300]  他為什麼能做到呢
[00:04:53.300 --> 00:04:56.860]  原來第七節所描寫的
[00:04:56.860 --> 00:05:00.020]  就是我們基督徒的人生
[00:05:00.020 --> 00:05:03.540]  這段經文不是只是講那些
[00:05:03.540 --> 00:05:06.020]  全職傳道人的人生
[00:05:06.020 --> 00:05:08.980]  而是每一個基督徒的人生
[00:05:08.980 --> 00:05:12.420]  我們人自己本身就是一個瓦器
[00:05:12.420 --> 00:05:15.380]  我們這個瓦器本來是卑賤的
[00:05:15.380 --> 00:05:18.100]  脆弱的 沒有價值
[00:05:18.100 --> 00:05:20.220]  因為我們本來就是罪人
[00:05:20.220 --> 00:05:22.300]  我們有很多的敗壞
[00:05:22.300 --> 00:05:24.380]  有很多人性的問題
[00:05:24.380 --> 00:05:29.500]  也有很多人的性格的缺陷
[00:05:29.500 --> 00:05:32.380]  這個瓦器是用來承載東西的
[00:05:32.380 --> 00:05:34.340]  如果它不承載東西
[00:05:34.340 --> 00:05:36.060]  就變成沒有意義
[00:05:36.060 --> 00:05:39.820]  那人過的只不過是一個虛空的人生
[00:05:39.820 --> 00:05:43.580]  而我們所面對的環境也是不完美的
[00:05:43.580 --> 00:05:48.300]  而且外在的環境也輪不到我們來掌控
[00:05:48.300 --> 00:05:53.780]  面對四方八面而來的壓力 挑戰
[00:05:53.780 --> 00:05:55.500]  有很多的逼迫
[00:05:55.500 --> 00:05:58.820]  這一切給我們的挑戰 逼迫
[00:05:58.820 --> 00:06:01.940]  有來自社會的 來自家庭的
[00:06:01.940 --> 00:06:04.860]  有來自職場的人際關係的
[00:06:04.860 --> 00:06:06.660]  侍奉的 個人的
[00:06:06.660 --> 00:06:09.660]  甚至是世界大環境的
[00:06:09.660 --> 00:06:12.580]  所以我們很多人面對這一切
[00:06:12.580 --> 00:06:15.260]  我們的精神會受到很大的打擊
[00:06:15.260 --> 00:06:16.820]  很大的衝擊
[00:06:16.820 --> 00:06:21.260]  嚴重的話 我們可能對生命失去盼望
[00:06:21.260 --> 00:06:25.500]  不過我們這個瓦器卻不是空洞洞的
[00:06:25.500 --> 00:06:29.460]  而是有一個寶貝在裡面
[00:06:29.460 --> 00:06:34.300]  使得我們的人生可以化腐朽為神奇
[00:06:34.300 --> 00:06:35.580]  那經文這樣說
[00:06:35.580 --> 00:06:38.100]  我們有這寶貝在瓦器裡
[00:06:38.100 --> 00:06:41.420]  是要顯明這極大的能力是屬於神
[00:06:41.420 --> 00:06:42.900]  不是出於我們
[00:06:42.900 --> 00:06:46.220]  我們雖然四面受壓 卻沒有壓制
[00:06:46.220 --> 00:06:49.180]  心理作難 卻不致絕望
[00:06:49.180 --> 00:06:52.100]  受到迫害 卻沒有被丟棄
[00:06:52.100 --> 00:06:55.020]  打倒了 卻不致死亡
[00:06:55.020 --> 00:07:02.660]  那到底這個寶貝是什麼呢?
[00:07:04.580 --> 00:07:09.660]  這個寶貝其實就是上帝在耶穌基督裡的榮光
[00:07:09.660 --> 00:07:13.020]  是保羅所傳的福音的真理
[00:07:13.020 --> 00:07:15.540]  就是神要藉著耶穌基督
[00:07:15.540 --> 00:07:17.780]  為我們的罪死而復活
[00:07:17.780 --> 00:07:21.540]  叫凡信基督的人罪得赦免
[00:07:21.540 --> 00:07:23.340]  得稱為神的兒子
[00:07:23.340 --> 00:07:27.140]  並且得到生命的力量和永生的福氣
[00:07:27.140 --> 00:07:30.860]  這是人生真正的寶貝
[00:07:30.860 --> 00:07:34.340]  像在約翰福音1章他提到
[00:07:34.340 --> 00:07:36.980]  凡接受他的 就是耶穌
[00:07:36.980 --> 00:07:38.620]  就是信他名的人
[00:07:38.620 --> 00:07:42.540]  他就賜給他們權力 成為神的兒女
[00:07:42.540 --> 00:07:46.100]  而在約翰福音17章他也說
[00:07:46.100 --> 00:07:48.540]  認識祢是獨一的真神
[00:07:48.540 --> 00:07:51.580]  並且認識祢所拆來的耶穌基督
[00:07:51.580 --> 00:07:54.420]  這就是永生
[00:07:54.420 --> 00:07:56.860]  我們基督徒在世
[00:07:56.860 --> 00:08:01.700]  一方面我們是活在罪惡的世界中的軟弱人
[00:08:01.700 --> 00:08:03.780]  我們本來算不得什麼
[00:08:03.780 --> 00:08:06.820]  但是因為有神這個寶貝
[00:08:06.820 --> 00:08:10.620]  有神的榮光 有福音在我們裡面
[00:08:10.620 --> 00:08:13.180]  我們的生命就變得有意義
[00:08:13.180 --> 00:08:18.780]  所以我們是活在一種已然及未然的張力當中
[00:08:18.780 --> 00:08:21.380]  如果瓦契當中沒有寶貝
[00:08:21.380 --> 00:08:24.860]  就變成一個空虛的人生
[00:08:24.860 --> 00:08:29.540]  我不教大家對剛才第七節那段的經文
[00:08:29.540 --> 00:08:31.540]  你有多深的體會
[00:08:31.540 --> 00:08:34.020]  就是瓦契與寶貝的關係
[00:08:34.020 --> 00:08:36.900]  你能夠體會多少
[00:08:36.900 --> 00:08:40.900]  我自己就有一個很深很深的體會
[00:08:40.900 --> 00:08:43.180]  話說我其實為了今天這個
[00:08:43.180 --> 00:08:45.500]  猜拳年會的信息
[00:08:45.500 --> 00:08:49.300]  我很早我就領受了今天這段的經文
[00:08:49.300 --> 00:08:52.140]  可是我卻不知道我該怎麼講
[00:08:52.140 --> 00:08:56.260]  我覺得我不知道 上帝我真的不知道怎麼講
[00:08:56.260 --> 00:08:58.980]  但是上帝很奇妙 很幽默
[00:08:58.980 --> 00:09:03.020]  祂就藉著各多星期以前的我的一些的經歷
[00:09:03.020 --> 00:09:08.380]  讓我對這段經文有很深刻的體會
[00:09:08.380 --> 00:09:14.260]  在我預備今天這個講道前大概十天左右
[00:09:14.260 --> 00:09:17.020]  我自己突然經歷很大的掙扎
[00:09:17.020 --> 00:09:20.060]  和很強的那個無力感
[00:09:20.060 --> 00:09:23.380]  我對上帝說我快要支持不下去了
[00:09:23.380 --> 00:09:25.260]  我想放棄了
[00:09:25.260 --> 00:09:29.820]  而且一些事情也觸發我內心有很多很多的
[00:09:29.820 --> 00:09:31.540]  自我的控訴
[00:09:31.540 --> 00:09:33.540]  我覺得自己很失敗
[00:09:33.540 --> 00:09:35.780]  我覺得自己很多的不好
[00:09:35.780 --> 00:09:37.060]  我甚至對上帝說
[00:09:37.060 --> 00:09:39.460]  哎呀 我沒有資格來侍奉你
[00:09:39.460 --> 00:09:43.260]  要不然你找另外一個人來服侍你好了
[00:09:43.260 --> 00:09:45.780]  我不要再服侍了
[00:09:45.780 --> 00:09:47.780]  我就好像約伯一樣
[00:09:47.780 --> 00:09:52.300]  我就在跟神來對話
[00:09:52.300 --> 00:09:55.500]  我就把我心裡的所有的那些苦水
