
[00:00:00.000 --> 00:00:02.000]  在今日我們看的經文當中
[00:00:02.000 --> 00:00:04.000]  我們會看到原來
[00:00:04.000 --> 00:00:08.000]  我們每個基督徒或朋友
[00:00:08.000 --> 00:00:10.000]  其實心裏面都有一些慾望
[00:00:10.000 --> 00:00:13.000]  有一些事情很想得到滿足
[00:00:13.000 --> 00:00:17.000]  但是在第三章的時候
[00:00:17.000 --> 00:00:19.000]  我們今天會看紹行傳第三章的時候
[00:00:19.000 --> 00:00:25.000]  會講到一個騎腿的人
[00:00:25.000 --> 00:00:28.000]  猶太人能夠怎樣得到醫治
[00:00:28.000 --> 00:00:30.000]  我們看聖經的時候
[00:00:30.000 --> 00:00:32.000]  看到仕途行傳
[00:00:32.000 --> 00:00:35.000]  我們看到仕途行傳當中
[00:00:35.000 --> 00:00:38.000]  我們今天會看究竟傳福音
[00:00:38.000 --> 00:00:40.000]  在聖誕節期間
[00:00:40.000 --> 00:00:45.000]  我們怎樣從這個跛腳的猶太人當中
[00:00:45.000 --> 00:00:48.000]  得到醫治的神蹟當中
[00:00:48.000 --> 00:00:50.000]  我們學習到究竟傳福音
[00:00:50.000 --> 00:00:53.000]  有什麼秘訣在當中
[00:00:53.000 --> 00:00:56.000]  彼得怎樣藉著這個神蹟
[00:00:56.000 --> 00:00:57.000]  去將神的話語
[00:00:57.000 --> 00:00:59.000]  神的救恩訊息
[00:00:59.000 --> 00:01:01.000]  能夠傳講出去
[00:01:01.000 --> 00:01:03.000]  在故事當中第三章
[00:01:03.000 --> 00:01:05.000]  彼得第三次講到
[00:01:05.000 --> 00:01:08.000]  第二次講到的時候
[00:01:08.000 --> 00:01:12.000]  會有什麼帶來給我們什麼體會
[00:01:12.000 --> 00:01:14.000]  我們一起低頭祈禱
[00:01:14.000 --> 00:01:16.000]  我們的天父上帝我們感謝你
[00:01:16.000 --> 00:01:17.000]  我們感謝你
[00:01:17.000 --> 00:01:19.000]  你持下聖經寶貴的話語
[00:01:19.000 --> 00:01:21.000]  使我們能夠在聖經當中
[00:01:21.000 --> 00:01:23.000]  明白到神的應許
[00:01:23.000 --> 00:01:25.000]  明白到主耶穌必然會再次降臨
[00:01:25.000 --> 00:01:28.000]  再次回來我們的當中
[00:01:28.000 --> 00:01:29.000]  求你神你幫助我們
[00:01:29.000 --> 00:01:31.000]  從今天的經文當中去學習到
[00:01:31.000 --> 00:01:35.000]  我們怎樣去繼續傳遞神的訊息
[00:01:35.000 --> 00:01:37.000]  願神保守我們眾人
[00:01:37.000 --> 00:01:38.000]  使我們聽得清楚
[00:01:38.000 --> 00:01:39.000]  看得明白
[00:01:39.000 --> 00:01:40.000]  你帶給我們
[00:01:40.000 --> 00:01:42.000]  使我們能夠看見
[00:01:42.000 --> 00:01:43.000]  我們以上的禱告
[00:01:43.000 --> 00:01:45.000]  是奉主耶穌得聖免治祈求
[00:01:45.000 --> 00:01:46.000]  阿門
[00:01:46.000 --> 00:01:48.000]  我們看仕途行傳背景的時候
[00:01:48.000 --> 00:01:51.000]  我們首先看仕途行傳的第一章
[00:01:51.000 --> 00:01:52.000]  第一章提到
[00:01:52.000 --> 00:01:54.000]  當這班猶太人
[00:01:54.000 --> 00:01:56.000]  這班門徒
[00:01:56.000 --> 00:01:57.000]  遇到
