
[00:00:00.000 --> 00:00:06.500]  最近我們在教會當中不斷地在講到要創造新文化來影響世代
[00:00:06.500 --> 00:00:13.000]  我們在弟兄特會裡面也不斷地講到要進入影響世界的七個領域
[00:00:13.000 --> 00:00:16.000]  來轉化我們的環境
[00:00:16.000 --> 00:00:19.000]  前兩個禮拜我在主日崇拜的信息當中
[00:00:19.000 --> 00:00:22.000]  也要講到發揮你的潛能
[00:00:22.000 --> 00:00:26.000]  要為神要做偉大的夢想
[00:00:26.000 --> 00:00:30.500]  我相信一下子我們腦筋已經被激盪了
[00:00:30.500 --> 00:00:35.000]  充滿了各式各樣的想法跟做法
[00:00:35.000 --> 00:00:39.500]  但是每當我們想為神做一些事情的時候
[00:00:39.500 --> 00:00:43.500]  每當我們想做一些新的事工的時候
[00:00:43.500 --> 00:00:46.500]  我們總是面對一個掙扎
[00:00:46.500 --> 00:00:48.000]  什麼掙扎呢?
[00:00:48.000 --> 00:00:53.000]  就是應許與現實之間的掙扎,不是嗎?
[00:00:53.000 --> 00:00:58.000]  一方面我們看見神的應許是這樣的真實、令人興奮
[00:00:58.000 --> 00:01:04.000]  另一方面卻看見現實的環境叫我們寸步難行
[00:01:04.000 --> 00:01:06.000]  就像約瑟拉一樣
[00:01:06.000 --> 00:01:10.000]  神叫約瑟拉帶領以色列進入迦南美帝
[00:01:10.000 --> 00:01:13.000]  其實約瑟拉正面對這樣一個掙扎
[00:01:13.000 --> 00:01:17.000]  一方面他看見這是神應許之地
[00:01:17.000 --> 00:01:20.000]  這是美的無比叫迦南美帝人家說
[00:01:20.000 --> 00:01:25.000]  但另一方面每一步進入所謂的迦南美帝
[00:01:25.000 --> 00:01:29.000]  都是一場又一場真實的戰爭
[00:01:29.000 --> 00:01:33.000]  每一場戰爭都是要命的
[00:01:33.000 --> 00:01:38.000]  特別是當他們進入迦南帝五年之後
[00:01:38.000 --> 00:01:40.000]  你還記得神對約瑟拉說
[00:01:40.000 --> 00:01:43.000]  約瑟拉你年紀老邁了
[00:01:43.000 --> 00:01:47.000]  可是卻還有很多未得之地
[00:01:47.000 --> 00:01:51.000]  這是多麼令人洩氣的一句話
[00:01:51.000 --> 00:01:55.000]  不但是覺得約瑟拉會覺得很洩氣
[00:01:55.000 --> 00:01:58.000]  以色列人同樣覺得很洩氣
[00:01:58.000 --> 00:02:00.000]  應許是一回事
[00:02:00.000 --> 00:02:05.000]  可是好像現實的環境是另外一回事
[00:02:05.000 --> 00:02:10.000]  常常應許跟現實當中有很大的差距
[00:02:10.000 --> 00:02:13.000]  一方面你看見神的應許這樣的真實
[00:02:13.000 --> 00:02:15.000]  你覺得應該向前
[00:02:15.000 --> 00:02:18.000]  另一方面你看見現實的環境
[00:02:18.000 --> 00:02:21.000]  卻叫你心中膽怯
[00:02:21.000 --> 00:02:23.000]  弟兄姊妹今天在你的生命當中
[00:02:23.000 --> 00:02:27.000]  你是否也面對很多未得之地呢
[00:02:27.000 --> 00:02:29.000]  在你的工作上
[00:02:29.000 --> 00:02:32.000]  好像你覺得不再能突破了
[00:02:32.000 --> 00:02:34.000]  在你的家庭生活當中
[00:02:34.000 --> 00:02:38.000]  好像很多的關係不再能恢復了
[00:02:38.000 --> 00:02:40.000]  在你的服飾當中
[00:02:40.000 --> 00:02:42.000]  可能你覺得疲倦了
[00:02:42.000 --> 00:02:44.000]  不可能再有果效了
[00:02:44.000 --> 00:02:47.000]  弟兄姊妹今天無論在你的生命當中
[00:02:47.000 --> 00:02:50.000]  你的未得之地是什麼
[00:02:50.000 --> 00:02:54.000]  神說現在是勇敢向前
[00:02:54.000 --> 00:02:56.000]  得地為業的時候到了
[00:02:56.000 --> 00:02:57.000]  Amen
[00:02:57.000 --> 00:03:00.000]  剛才我們所說的在聖經裡面
[00:03:00.000 --> 00:03:04.000]  就在以色列人最洩氣的時候
[00:03:04.000 --> 00:03:08.000]  他們面對著很多未得之地的時候
[00:03:08.000 --> 00:03:13.000]  有一個人竟然能夠勇敢的站立起來
[00:03:13.000 --> 00:03:15.000]  他能夠在那個時代當中
[00:03:15.000 --> 00:03:20.000]  為主興起得著那未得之地
[00:03:20.000 --> 00:03:22.000]  那個人就是迦勒
[00:03:22.000 --> 00:03:25.000]  我們要從今天這段聖經當中
[00:03:25.000 --> 00:03:27.000]  我們一同來思想
[00:03:27.000 --> 00:03:30.000]  怎麼樣我們能夠為神得著
[00:03:30.000 --> 00:03:32.000]  神所賜給我們
[00:03:32.000 --> 00:03:35.000]  應得之地但卻是未得之地
[00:03:35.000 --> 00:03:36.000]  Amen
[00:03:36.000 --> 00:03:37.000]  三方面
[00:03:37.000 --> 00:03:38.000]  第一個
[00:03:38.000 --> 00:03:42.000]  一定要相信神有應許之地為你預備
[00:03:42.000 --> 00:03:43.000]  跟你媽說
[00:03:43.000 --> 00:03:45.000]  有神應許之地為你預備
[00:03:45.000 --> 00:03:48.000]  跟她說
[00:03:48.000 --> 00:03:52.000]  迦勒是一個相信神應許的人
[00:03:52.000 --> 00:03:54.000]  所以十二節裡面
[00:03:54.000 --> 00:03:56.000]  他的約束要怎麼說呢
[00:03:56.000 --> 00:04:02.000]  他求你將耶和華那日所應許我的山地
[00:04:02.000 --> 00:04:04.000]  那個山地是四十年前
[00:04:04.000 --> 00:04:06.000]  其實是四十五年前
[00:04:06.000 --> 00:04:10.000]  他去看見西伯倫的山地
[00:04:10.000 --> 00:04:13.000]  他知道那是神所應許給他
[00:04:13.000 --> 00:04:16.000]  他相信這雖然過去是未得之地
[00:04:16.000 --> 00:04:21.000]  但現在憑著神的恩典是必得之地
[00:04:21.000 --> 00:04:22.000]  Amen
[00:04:22.000 --> 00:04:23.000]  第二個
[00:04:23.000 --> 00:04:26.000]  你一定要像迦勒一樣
[00:04:26.000 --> 00:04:30.000]  你要確信神有一個應許之地為你預備
[00:04:30.000 --> 00:04:32.000]  Amen
[00:04:32.000 --> 00:04:34.000]  這個地不見得是指著一塊地
[00:04:34.000 --> 00:04:36.000]  聖經裡面講到地的時候
[00:04:36.000 --> 00:04:38.000]  講到生命的領域
[00:04:38.000 --> 00:04:40.000]  你的家庭的領域
[00:04:40.000 --> 00:04:41.000]  你工作的領域
[00:04:41.000 --> 00:04:42.000]  服飾的領域
[00:04:42.000 --> 00:04:45.000]  各式各樣生活的領域
[00:04:45.000 --> 00:04:49.000]  我們深深地相信神為我們的生命
[00:04:49.000 --> 00:04:52.000]  預備了一個應許之地
[00:04:52.000 --> 00:04:53.000]  四篇十六篇第六節
[00:04:53.000 --> 00:04:55.000]  大衛怎麼說呢
[00:04:55.000 --> 00:04:56.000]  四篇十六篇第六節
[00:04:56.000 --> 00:04:57.000]  大衛說
[00:04:57.000 --> 00:05:00.000]  神用神量給我的地界
[00:05:00.000 --> 00:05:03.000]  坐落在加美之處
[00:05:03.000 --> 00:05:07.000]  大衛知道是有個地界神量給他
[00:05:07.000 --> 00:05:11.000]  不但神給大衛有所量好的地界
[00:05:11.000 --> 00:05:14.000]  其實神也為我們每一個人
[00:05:14.000 --> 00:05:17.000]  神都為我們量好了地界
[00:05:17.000 --> 00:05:20.000]  是我們應得之地
[00:05:20.000 --> 00:05:23.000]  在舊約時代我們看見亞伯拉罕
[00:05:23.000 --> 00:05:27.000]  神呼召他離開他的家鄉吾爾
[00:05:27.000 --> 00:05:28.000]  為什麼
[00:05:28.000 --> 00:05:32.000]  因為神有個應許之地為他預備
[00:05:32.000 --> 00:05:34.000]  吾爾不是不好
[00:05:34.000 --> 00:05:37.000]  吾爾其實是在當時非常大的一個城市
[00:05:37.000 --> 00:05:40.000]  是人人想停留在那裡的城市
[00:05:40.000 --> 00:05:41.000]  沒什麼不好
[00:05:41.000 --> 00:05:46.000]  但那卻不是神所給他的應許之地
[00:05:46.000 --> 00:05:49.000]  神要他所得的地不是吾爾
[00:05:49.000 --> 00:05:52.000]  神要他所得的地是迦南地
[00:05:52.000 --> 00:05:55.000]  所以神呼召他離開吾爾
[00:05:55.000 --> 00:05:57.000]  要進入神給他的應許
[00:05:57.000 --> 00:06:01.000]  有一個地界是為他所預備的
[00:06:01.000 --> 00:06:03.000]  他必須要進入那個地界
[00:06:03.000 --> 00:06:06.000]  他才能夠得到神的祝福
[00:06:06.000 --> 00:06:09.000]  新約時代的保羅也是一樣
[00:06:09.000 --> 00:06:11.000]  保羅想去傳福音
[00:06:11.000 --> 00:06:13.000]  他卻想去雅西亞傳福音
[00:06:13.000 --> 00:06:16.000]  神的聖靈禁止他
[00:06:16.000 --> 00:06:19.000]  他又想往北走到比推尼去傳福音
[00:06:19.000 --> 00:06:22.000]  神的聖靈又再次禁止
[00:06:22.000 --> 00:06:25.000]  為什麼聖靈禁止他呢
[00:06:25.000 --> 00:06:28.000]  難道保羅不是神的僕人嗎
[00:06:28.000 --> 00:06:30.000]  保羅是神的僕人
