
[00:00:00.000 --> 00:00:02.840]  我哋嘅題目係延續上一個月嘅
[00:00:02.840 --> 00:00:04.420]  延續上一個月嘅
[00:00:04.420 --> 00:00:08.320]  就係聚會裏面嘅集體聆聽
[00:00:08.320 --> 00:00:12.520]  點解我哋咁認真嘅要講聚會裏面嘅集體聆聽呢
[00:00:12.520 --> 00:00:16.360]  因為我哋係用緊集體聆聽
[00:00:16.360 --> 00:00:17.840]  呢一個方式
[00:00:17.840 --> 00:00:22.840]  嚟到去帶動成個持綱教會群體嘅前進
[00:00:22.840 --> 00:00:23.720]  係咪呀
[00:00:23.720 --> 00:00:25.320]  係咪呀 係㗎可
[00:00:25.320 --> 00:00:26.760]  知嘅可
[00:00:26.760 --> 00:00:29.240]  唔係好知嘅請舉下手
[00:00:30.240 --> 00:00:32.000]  哦 幾好呀
[00:00:32.000 --> 00:00:35.600]  咁我哋以呢個為名脈
[00:00:35.600 --> 00:00:37.320]  咁所以我哋就發現呢
[00:00:37.320 --> 00:00:38.800]  喺聚會嘅裏面呢
[00:00:38.800 --> 00:00:42.560]  集體聆聽變得非常嘅重要
[00:00:42.560 --> 00:00:43.720]  點解呢
[00:00:43.720 --> 00:00:45.000]  因為第一
[00:00:45.000 --> 00:00:47.560]  我哋需要
[00:00:47.560 --> 00:00:50.280]  我哋需要有個練習嘅場景
[00:00:50.280 --> 00:00:52.440]  咁所以每一個禮拜日呢
[00:00:52.440 --> 00:00:54.440]  呢一個開放嘅時間呢
[00:00:54.440 --> 00:00:56.800]  就係我哋操練乜嘢呀
[00:00:56.800 --> 00:00:58.520]  集體聆聽
[00:00:58.520 --> 00:01:00.160]  兩個操練
[00:01:00.160 --> 00:01:01.360]  一個係乜嘢呀
[00:01:01.360 --> 00:01:03.080]  集體聆聽主
[00:01:03.080 --> 00:01:04.920]  一個係操練乜嘢呀
[00:01:04.920 --> 00:01:07.080]  集體聽下道
[00:01:07.080 --> 00:01:09.440]  聽道都係一種集體聆聽嚟㗎喎
[00:01:09.440 --> 00:01:11.240]  咁你唔好以為呢
[00:01:11.240 --> 00:01:12.400]  一個人喺上面聽道
[00:01:12.400 --> 00:01:14.600]  下面嘅人全部都聽到嗰個道
[00:01:14.600 --> 00:01:15.760]  其實唔係㗎
[00:01:15.760 --> 00:01:17.800]  你聽道係好選擇性㗎
[00:01:17.800 --> 00:01:20.280]  你都係揀你啱聽嘅嘢聽㗎啫
[00:01:20.280 --> 00:01:23.000]  或者揀你鍾意反對嘅嘢聽㗎啫
[00:01:23.000 --> 00:01:24.200]  係咪咁呀
[00:01:24.200 --> 00:01:25.000]  係喎
[00:01:25.000 --> 00:01:26.720]  所以求主幫助我哋
[00:01:26.720 --> 00:01:28.840]  讓我哋呢聽曬全部
[00:01:28.840 --> 00:01:31.280]  頭先有個可愛姐妹走嚟祝福我
[00:01:31.280 --> 00:01:33.000]  祝福你呀黃姐
[00:01:33.000 --> 00:01:36.600]  求主畀你講有智慧
[00:01:36.600 --> 00:01:38.200]  係呀好需要呀係咪
[00:01:38.200 --> 00:01:40.880]  聽嘅都好有智慧
[00:01:40.880 --> 00:01:43.320]  以致我哋可以聽得到聽得明
[00:01:43.320 --> 00:01:45.320]  呢個真係好緊要嘅
[00:01:45.320 --> 00:01:48.680]  咁除咗話呢我哋有一個集體
[00:01:48.680 --> 00:01:51.720]  聽嘅時間操練嘅時間之外呢
[00:01:51.720 --> 00:01:53.960]  其實我哋每一次嘅聚集呢
[00:01:53.960 --> 00:01:55.440]  都係一個乜嘢呀
[00:01:55.440 --> 00:01:57.800]  好緊要嘅身體
[00:01:57.800 --> 00:01:59.760]  係一個小型嘅身體
[00:01:59.760 --> 00:02:01.560]  甚至我哋話喺呢個身體裏面呢
[00:02:01.560 --> 00:02:04.520]  池缸可能係一個身體嘅小肢體嚟嘅啫
[00:02:04.520 --> 00:02:05.000]  係咪呀
[00:02:05.000 --> 00:02:06.760]  可能隻手指公嚟嘅
[00:02:06.760 --> 00:02:09.920]  呢隻手指公聚埋一齊
[00:02:09.920 --> 00:02:12.280]  聽下主呢話畀我哋聽
[00:02:12.280 --> 00:02:13.080]  喂
[00:02:13.080 --> 00:02:16.680]  今次呢要你去嗰部嗰部牆嗰度吸引呀
[00:02:16.680 --> 00:02:17.400]  快啲去
[00:02:17.400 --> 00:02:19.040]  撳個手指毛
[00:02:19.040 --> 00:02:22.080]  撳個手指毛就係乜嘢成個身體㗎啦
[00:02:22.080 --> 00:02:23.960]  咁你去唔去呀
[00:02:23.960 --> 00:02:26.280]  撳個手指毛淨係我手指公嘅
[00:02:26.280 --> 00:02:27.480]  咁我就去啦
[00:02:27.480 --> 00:02:28.080]  係咪
[00:02:28.080 --> 00:02:29.200]  你撳個手指毛
[00:02:29.200 --> 00:02:31.640]  就係成個身體㗎啦嗰樣嘢
[00:02:31.640 --> 00:02:32.160]  嘩
[00:02:32.160 --> 00:02:33.520]  你開唔開心呀
[00:02:33.520 --> 00:02:34.520]  撳唔撳呀
[00:02:34.520 --> 00:02:35.560]  你買樓周不時
[00:02:35.560 --> 00:02:37.600]  買樓好似香港唔洗㗎
[00:02:37.600 --> 00:02:39.160]  簽名就得㗎
[00:02:39.160 --> 00:02:39.720]  係咪呀
[00:02:39.720 --> 00:02:42.160]  我最近去中國大陸賣樓
[00:02:42.160 --> 00:02:44.040]  因為因為
[00:02:44.040 --> 00:02:45.440]  冇人工喇嘛
[00:02:45.440 --> 00:02:47.120]  所以要賣樓
[00:02:47.120 --> 00:02:47.960]  賣樓
[00:02:47.960 --> 00:02:50.360]  要撳好多手指毛㗎喎
[00:02:50.360 --> 00:02:52.320]  撳到唔清唔楚
[00:02:52.320 --> 00:02:52.960]  係咪呀
[00:02:52.960 --> 00:02:54.360]  即係好緊要㗎
[00:02:54.360 --> 00:02:55.520]  撳一撳
[00:02:55.520 --> 00:02:56.760]  咁你就賣咗㗎啦
[00:02:56.760 --> 00:02:59.560]  咁對方又撳一撳咁就佢㗎啦
[00:02:59.560 --> 00:03:00.160]  係咪呀
[00:03:00.160 --> 00:03:02.200]  咁你一撳個手指公撳㗎咋喎
[00:03:02.200 --> 00:03:03.520]  仲係佢㗎啦
[00:03:03.520 --> 00:03:04.880]  咁你撳唔撳呀
[00:03:04.880 --> 00:03:05.560]  撳
[00:03:05.560 --> 00:03:06.240]  就係話呢
[00:03:06.240 --> 00:03:07.160]  主呢
[00:03:07.160 --> 00:03:09.360]  可能喺而家呢一刻嘅裏面
[00:03:09.360 --> 00:03:11.840]  叫我哋呢個會集嘅小肢體呢
[00:03:11.840 --> 00:03:13.280]  去做一樣嘢
[00:03:13.280 --> 00:03:14.800]  係可以
[00:03:14.800 --> 00:03:16.600]  喺而家呢個時候
[00:03:16.600 --> 00:03:18.560]  發生一啲乜嘢呀
[00:03:18.560 --> 00:03:21.240]  靈界裏面嘅事情喎
[00:03:21.240 --> 00:03:23.160]  所以你唔好傾向正話
[00:03:23.160 --> 00:03:25.560]  嗰四十五分鐘嘅敬拜
[00:03:25.560 --> 00:03:26.320]  其實
[00:03:26.320 --> 00:03:27.640]  點解去唱詩歌呢
[00:03:27.640 --> 00:03:28.960]  唱詩歌讚美神
[00:03:28.960 --> 00:03:30.080]  好似神好咩呀
[00:03:30.080 --> 00:03:32.320]  好欠缺人哋讚美咁
[00:03:32.320 --> 00:03:33.080]  成日呢
[00:03:33.080 --> 00:03:35.320]  好恨你讚美呀
[00:03:35.320 --> 00:03:36.160]  其實唔係呀
[00:03:36.160 --> 00:03:37.720]  唱詩歌讚美神
[00:03:37.720 --> 00:03:40.600]  係開啟你嘅靈
[00:03:40.600 --> 00:03:42.840]  叫你能夠乜嘢準備好
[00:03:42.840 --> 00:03:45.640]  去聽屬靈嘅事情
[00:03:45.640 --> 00:03:46.920]  然後你聽得準確
[00:03:46.920 --> 00:03:48.640]  又可以去回應住
[00:03:48.640 --> 00:03:50.400]  你話呢個重唔重要呀
[00:03:50.400 --> 00:03:51.200]  重要呀
[00:03:51.200 --> 00:03:53.840]  所以唔係淨係每一年
[00:03:53.840 --> 00:03:54.840]  尋求營
[00:03:54.840 --> 00:03:56.960]  我哋先至去尋求一嘢
[00:03:56.960 --> 00:03:58.280]  咁以後就唔尋求啦
[00:03:58.280 --> 00:03:59.080]  唔係
