
[00:00:00.000 --> 00:00:03.440]  路加福音第十四章二十五節說
[00:00:30.000 --> 00:00:32.560]  有人說耶穌似乎在趕客
[00:00:32.560 --> 00:00:35.760]  這群在這裏好像趁虛般的人吵得不得了
[00:00:35.760 --> 00:00:37.680]  搞得耶穌有點不耐煩
[00:00:37.680 --> 00:00:41.200]  所以就跟他們提高門票價格
[00:00:41.200 --> 00:00:45.920]  迫使一些沒有誠意做門徒的過主
[00:00:45.920 --> 00:00:50.800]  很多的譯本這段經文標題都是做門徒的代價
[00:00:50.800 --> 00:00:53.680]  這段經文就好像一個警告牌一樣
[00:00:53.680 --> 00:00:57.440]  做耶穌的門徒是要付代價的
[00:00:57.440 --> 00:01:02.080]  付得起代價你才好想來做基督徒
[00:01:02.080 --> 00:01:06.720]  難怪很多時下的教會就不太喜歡說這段經文
[00:01:06.720 --> 00:01:10.720]  現在搞教會和搞連鎖超級市場一樣
[00:01:10.720 --> 00:01:13.040]  輕、平、靚、正
[00:01:13.040 --> 00:01:15.040]  最重要是抵食夾大件
[00:01:15.040 --> 00:01:18.240]  你想多些人來就要降低門檻
[00:01:18.240 --> 00:01:22.320]  現在對信仰有興趣的人已經買少見少
[00:01:22.320 --> 00:01:25.040]  教會還調高來買你想拍烏蠅
[00:01:25.040 --> 00:01:28.240]  教會還調高來買你想拍烏蠅
[00:01:28.240 --> 00:01:31.840]  所以超級市場會搞減價戰
[00:01:31.840 --> 00:01:36.160]  教會就以為越低要求就越好最好免費
[00:01:36.160 --> 00:01:40.640]  所以門徒的代價就沒有人說
[00:01:40.640 --> 00:01:44.480]  不過在華人的社會其實避開這段經文
[00:01:44.480 --> 00:01:46.640]  可能還有另一個原因
[00:01:46.640 --> 00:01:48.640]  中國人有個心態
[00:01:48.640 --> 00:01:50.400]  便宜的東西沒有好東西
[00:01:50.400 --> 00:01:54.320]  為什麼幾千元明知是無牌的手袋都有人買
[00:01:54.320 --> 00:01:58.400]  所以說做門徒要有代價本身不是問題
[00:01:58.400 --> 00:02:01.520]  但耶穌說做門徒分分鐘搞到眾叛親離
[00:02:01.520 --> 00:02:03.520]  連命都凍過水的時候
[00:02:03.520 --> 00:02:06.320]  這樣就真的難堪一點
[00:02:06.320 --> 00:02:08.320]  久而久之有些人問
[00:02:08.320 --> 00:02:11.920]  可不可以只是信耶穌拿到天堂護席
[00:02:11.920 --> 00:02:14.160]  但不做門徒的呢
[00:02:14.160 --> 00:02:16.880]  即是好像去移民坐完移民監
[00:02:16.880 --> 00:02:19.040]  唱完歌之後有條後路了
[00:02:19.040 --> 00:02:21.040]  即刻回流的呢
[00:02:21.760 --> 00:02:25.520]  今天想邀請大家放下先入為主的觀念
[00:02:25.520 --> 00:02:28.320]  重新思想這一段經文
[00:02:28.320 --> 00:02:30.720]  或者看清看楚
[00:02:30.720 --> 00:02:33.120]  這段經文不是那麼可怕
[00:02:33.120 --> 00:02:35.120]  讓我首先問
[00:02:35.120 --> 00:02:40.960]  為什麼要將這段經文的標題定為門徒的代價呢
