
[00:00:00.000 --> 00:00:05.840]  因此每早晨很高興能夠在這個復活節的節期期間
[00:00:05.840 --> 00:00:11.320]  能夠和大家一起繼續以神的話去仰望在主的面前
[00:00:11.320 --> 00:00:14.480]  由你再次在聆聽主導以先
[00:00:14.480 --> 00:00:17.500]  透過禱告預備我們心思意念
[00:00:17.500 --> 00:00:20.480]  來一起去學習主的道理
[00:00:20.480 --> 00:00:25.620]  過一個真是有意義的復活節的節期
[00:00:25.620 --> 00:00:28.020]  求主幫助我們
[00:00:28.020 --> 00:00:31.360]  親愛的天父 多謝祢讓我們能夠再次回來
[00:00:31.360 --> 00:00:34.580]  在祢寶貴的說話的面前
[00:00:34.580 --> 00:00:37.960]  在這個復活節的節期期間
[00:00:37.960 --> 00:00:41.740]  讓我們能夠更精準地去掌握到
[00:00:41.740 --> 00:00:45.980]  我們怎樣成為神理的兒女
[00:00:45.980 --> 00:00:48.760]  如果好使我們能夠真是活出一個
[00:00:48.760 --> 00:00:51.300]  有根有機的聖靈生命
[00:00:51.300 --> 00:00:54.620]  求祢的幫助 阿們
[00:00:54.620 --> 00:00:58.520]  好 今天和大家一起去在這個復活節節期
[00:00:58.520 --> 00:01:00.940]  第二講的主日崇拜
[00:01:00.940 --> 00:01:04.280]  我會和大家一起分享一個題目叫做
[00:01:04.280 --> 00:01:09.380]  「守衞報耶穌基督復活的人原來是……」
[00:01:09.380 --> 00:01:17.020]  我們會從《馬太福音》Matthew 27章62至66節裏面
[00:01:17.020 --> 00:01:19.180]  一起思想這個題目
[00:01:19.180 --> 00:01:25.400]  通常因為在現在這個資訊氾濫的時代裏面
[00:01:25.400 --> 00:01:28.600]  我也知道有很多假的消息
[00:01:28.600 --> 00:01:31.020]  假的新聞流傳在網上
[00:01:31.020 --> 00:01:35.460]  我就比較少直接引用於
[00:01:35.460 --> 00:01:39.920]  在網絡上的一些資料
[00:01:39.920 --> 00:01:46.500]  但是最近有一個名為叫做「百代百科」的網站
[00:01:46.500 --> 00:01:50.160]  有些人就說 都挺可靠的 牧師
[00:01:50.160 --> 00:01:53.220]  不如你參考一下 他的資料很有用
[00:01:53.220 --> 00:01:55.560]  我就不知道是什麼網站來的
[00:01:55.560 --> 00:01:58.400]  但是我就在這次破例一下
[00:01:58.400 --> 00:02:00.700]  既然有人有這樣的介紹
[00:02:00.700 --> 00:02:04.180]  我就走到這個「百代百科」
[00:02:04.180 --> 00:02:07.120]  好像一本百科傳書那樣去查考一下
[00:02:07.120 --> 00:02:09.940]  中國有一句這樣的言語
[00:02:09.940 --> 00:02:16.300]  叫做「只許州官放火 不許百姓點燈」
[00:02:16.300 --> 00:02:21.500]  這個這樣的言語的出處和它真正的意思
[00:02:21.500 --> 00:02:24.640]  我就找到它有這樣的記載
[00:02:24.640 --> 00:02:30.880]  它說「只許州官放火 不許百姓點燈」
[00:02:30.880 --> 00:02:37.760]  字面的意思就是允許當官的人放火胡作非為
[00:02:37.760 --> 00:02:42.520]  不允許老百姓點燈照明
[00:02:42.520 --> 00:02:46.620]  只有權勢的人自己可以胡作非為
[00:02:46.620 --> 00:02:51.400]  老百姓卻連正當的活動也要受到限制
[00:02:51.400 --> 00:02:54.740]  原來這句話是出自於一個典故
[00:02:54.740 --> 00:02:59.040]  是出自於在宋朝的一個人物叫做陸游
[00:02:59.040 --> 00:03:01.080]  他在一卷的書信裏面
[00:03:01.080 --> 00:03:07.080]  或者一個記載裏面叫做《老學庵筆記》的第卷五
[00:03:07.080 --> 00:03:10.240]  裏面曾經做過一個這樣的陳述的
[00:03:10.240 --> 00:03:13.720]  當然那個陳述就是用文言文寫
[00:03:13.720 --> 00:03:17.860]  但是我將那段文言文翻譯過來的時候
[00:03:17.860 --> 00:03:20.240]  原來它的故事是這麼說的
[00:03:20.240 --> 00:03:23.280]  它說在以前宋朝的時候
[00:03:23.280 --> 00:03:28.120]  就有一個州官 就是一個做官 在一個州那裏做官
[00:03:28.120 --> 00:03:31.200]  這個官有個名叫做田登
[00:03:31.200 --> 00:03:35.840]  不過他就很忌諱人們經常去說「登」這個字
[00:03:35.840 --> 00:03:37.640]  因為他的名字有個「登」字
[00:03:37.640 --> 00:03:40.520]  他覺得自己好像以前的皇帝那樣
[00:03:40.520 --> 00:03:45.440]  他叫什麼名字 譬如姓周
[00:03:45.440 --> 00:03:48.880]  他就不想其他人用姓周的
[00:03:48.880 --> 00:03:50.720]  有個「周」字都不行的
[00:03:50.720 --> 00:03:53.760]  所有人都不准用這個「周」字
[00:03:53.760 --> 00:03:56.800]  他有個名字 他的名字叫「登」
[00:03:56.800 --> 00:04:01.000]  所以他就不想人用「登」這個字眼
[00:04:01.000 --> 00:04:04.520]  於是乎他就下了一個這樣的規定
[00:04:04.520 --> 00:04:08.320]  說在整個州裏面所有人
[00:04:08.320 --> 00:04:12.720]  以後將「登」這個字都要變成做「火」
[00:04:12.720 --> 00:04:17.800]  因為「登」這個「登」和他的名字很相似
[00:04:17.800 --> 00:04:22.520]  近音字 所以有人說「開燈」不准再開燈了
[00:04:22.520 --> 00:04:25.800]  「點燈」不准再用「點燈」 要用「點火」
[00:04:25.800 --> 00:04:29.800]  所以晚上的人如果說要「點燈」的話
[00:04:29.800 --> 00:04:33.480]  就要改成為「晚上點火」
[00:04:33.480 --> 00:04:36.360]  如果不這樣做的話
[00:04:36.360 --> 00:04:40.160]  就會受到非常嚴厲的處分
[00:04:40.160 --> 00:04:43.920]  剛剛我們過了農曆年沒多久
[00:04:43.920 --> 00:04:46.800]  農曆年有一個叫「上元節」
[00:04:46.800 --> 00:04:50.480]  「上元節」也是叫做「元宵佳節」
[00:04:50.480 --> 00:04:59.560]  傳統到處都掛很多花燈、搓燈米、上燈等等的事情
[00:04:59.560 --> 00:05:03.960]  但是這個官在這個州郡裏面
