
[00:00:00.000 --> 00:00:03.980]  接下來這三個月我們會講加拉泰書
[00:00:03.980 --> 00:00:08.880]  我有個感覺看加拉泰書就好像看武俠小說一樣
[00:00:08.880 --> 00:00:11.920]  我小學中學都看過不少武俠小說
[00:00:11.920 --> 00:00:15.980]  不如我問問你們有誰看過一本以上的武俠小說
[00:00:15.980 --> 00:00:19.020]  看武俠小說不是犯罪的,所以你不怕舉手的
[00:00:19.020 --> 00:00:22.200]  有誰看過一本以上的武俠小說,請舉手
[00:00:22.200 --> 00:00:24.600]  都不少
[00:00:24.600 --> 00:00:28.800]  我昨晚的聚會有百多人參加,但是很少舉手
[00:00:28.800 --> 00:00:31.940]  不知為何看武俠小說他們喜歡回到星期天的崇拜
[00:00:31.940 --> 00:00:36.740]  看加拉泰書就好像看武俠小說一樣
[00:00:36.740 --> 00:00:38.980]  史圖保羅就是一位劍俠
[00:00:38.980 --> 00:00:41.580]  他跟敵人作生死決鬥
[00:00:41.580 --> 00:00:44.780]  如果保羅輸了後果就嚴重
[00:00:44.780 --> 00:00:46.780]  怎樣嚴重呢
[00:00:46.780 --> 00:00:51.580]  猶太教就會侵佔了基督教
[00:00:51.580 --> 00:00:56.000]  即是說基督教就會變成猶太教的一部份
[00:00:56.000 --> 00:01:01.000]  你跟我信耶穌就要受國禮
[00:01:01.000 --> 00:01:04.840]  你會說牧師這樣真的切到近身
[00:01:04.840 --> 00:01:08.240]  所以我感謝主又多謝神
[00:01:08.240 --> 00:01:13.640]  我看加拉泰書有另一個感覺
[00:01:13.640 --> 00:01:18.320]  就是整本加拉泰書是充滿活力的
[00:01:18.320 --> 00:01:21.520]  你從未見過保羅這麼生猛的
[00:01:21.520 --> 00:01:23.520]  不單止生猛,簡直是怒氣
[00:01:23.520 --> 00:01:25.860]  一開始就罵加拉泰的人
[00:01:25.860 --> 00:01:28.560]  我稀奇你們這麼快就離開原本的福音
[00:01:28.560 --> 00:01:30.560]  去跟別的福音
[00:01:30.560 --> 00:01:34.440]  你通常收信有沒有人一開始就罵你
[00:01:34.440 --> 00:01:36.440]  Kelvin
[00:01:36.440 --> 00:01:37.440]  怎麼搞的
[00:01:37.440 --> 00:01:39.440]  很少人罵Kelvin
[00:01:39.440 --> 00:01:42.940]  但是保羅就是這麼有動力
[00:01:42.940 --> 00:01:43.940]  為什麼呢
[00:01:43.940 --> 00:01:45.940]  因為他心裡面迫切
[00:01:45.940 --> 00:01:48.440]  我們一會兒會說怎樣迫切
[00:01:48.440 --> 00:01:50.440]  你有沒有留意到保羅
[00:01:50.440 --> 00:01:53.440]  所有的書信都有一句話
