
[00:00:00.000 --> 00:00:04.000]  請各位平安,我們先一齊同心祈禱
[00:00:04.000 --> 00:00:09.000]  天父,我們感謝你借恩典在今天主耶穌的精神
[00:00:09.000 --> 00:00:16.000]  天氣不是很好,但你仍然照著我們一班忠心的弟兄姊妹來敬拜你
[00:00:16.000 --> 00:00:21.000]  讓我們可以一齊來讚美你,亦都聆聽你的話語
[00:00:21.000 --> 00:00:25.000]  我們求聖靈繼續幫助我們,明白主耶穌的教導
[00:00:25.000 --> 00:00:28.000]  奉耶穌基督的名祈禱,阿們
[00:00:30.000 --> 00:00:38.000]  今天的經文,仍然是主耶穌和祂的門徒正在前往耶路撒冷的路上
[00:00:38.000 --> 00:00:49.000]  今天我們會看主耶穌提醒祂的門徒要做一位忠心又精明的管家
[00:00:49.000 --> 00:00:53.000]  這個題目是來自今天的經文12章42節
[00:00:54.000 --> 00:01:00.000]  「主說那摩,誰是那忠心又精明的管家」
[00:01:00.000 --> 00:01:07.000]  我盼望大家都會記住,每個人都願意做一個忠心又精明的管家
[00:01:07.000 --> 00:01:13.000]  上星期提到追求神摩
[00:01:13.000 --> 00:01:17.000]  希望大家都記得主耶穌鼓勵我們
[00:01:17.000 --> 00:01:21.000]  作為信徒我們要追求上帝的國
[00:01:22.000 --> 00:01:27.000]  主耶穌還說:「你們的父樂意把國賜給你們」
[00:01:27.000 --> 00:01:37.000]  如果是真的話,是否意味著我們每一個人都會成為皇帝呢?
[00:01:37.000 --> 00:01:41.000]  我們是否希望做皇帝呢?
[00:01:41.000 --> 00:01:48.000]  天國裏面最高的皇當然是主耶穌
[00:01:49.000 --> 00:01:54.000]  就如智徒保羅曾經說在地下秘書2章9至11節
[00:01:54.000 --> 00:02:07.000]  「所以上帝把他升為至高,由此給他超乎萬名之上的名,使一切在天上的、地上的和地底下的因耶穌的名」
[00:02:07.000 --> 00:02:12.000]  縱膝都要跪下,縱口都要宣認
[00:02:12.000 --> 00:02:17.000]  耶穌基督是主,貴榮要給付上帝
[00:02:18.000 --> 00:02:28.000]  但路加醫生是寫福音書給羅馬的一位高官或國會議員提亞菲羅
[00:02:28.000 --> 00:02:36.000]  所以路加很可能是以羅馬帝國的管理模式作為一個參考的藍圖
[00:02:36.000 --> 00:02:44.000]  羅馬有一位最高皇帝,一本叫《海撒,施撒》
[00:02:45.000 --> 00:02:56.000]  由於羅馬帝國的版圖很大,包括了歐洲、一部份的亞洲和北非洲
[00:02:56.000 --> 00:03:05.000]  因此在不同的區域都有一些官員會被稱為皇去管治
[00:03:05.000 --> 00:03:10.000]  舉個例子,路加在1章5節提到
