
[00:00:00.000 --> 00:00:03.000]  讓我先做一次逢生的祈禱
[00:00:03.000 --> 00:00:08.000]  向我們的恩主我們獻上感恩
[00:00:08.000 --> 00:00:11.000]  讓我們今天有一個這麼美好的清晨
[00:00:11.000 --> 00:00:13.000]  這麼好的天氣
[00:00:13.000 --> 00:00:17.000]  我們能夠再一次在你的殿當中去崇拜你
[00:00:17.000 --> 00:00:20.000]  願你賜福我們
[00:00:20.000 --> 00:00:23.000]  開我們的耳朵讓我們留心繼續聽
[00:00:23.000 --> 00:00:27.000]  開我們的眼讓我們能夠去看見你的榮光
[00:00:27.000 --> 00:00:31.000]  用我們的生命行動去跟從回應你
[00:00:31.000 --> 00:00:33.000]  由願部人口中的言語
[00:00:33.000 --> 00:00:35.000]  弟兄姊妹之間的心思意念
[00:00:35.000 --> 00:00:37.000]  蒙聖靈的啟迪 蒙主的月立
[00:00:37.000 --> 00:00:39.000]  禱告奉耶穌基督的名
[00:00:39.000 --> 00:00:41.000]  阿們
[00:00:41.000 --> 00:00:43.000]  各位弟兄姊妹
[00:00:43.000 --> 00:00:45.000]  當我們今天回來教會一開始的時候
[00:00:45.000 --> 00:00:49.000]  我們請羅執事為我們點燃張臨奇的第一支蠟燭
[00:00:49.000 --> 00:00:53.000]  不知你明不明白這個點燃蠟燭的意義
[00:00:53.000 --> 00:00:56.000]  當然仔細的內容今天周刊都有附印
[00:00:56.000 --> 00:00:58.000]  有時間回去慢慢看
[00:00:58.000 --> 00:01:00.000]  每一年教會去到這個時間
[00:01:00.000 --> 00:01:03.000]  其實就是教會年的開始
[00:01:03.000 --> 00:01:06.000]  教會一年的開始就是由張臨奇開始
[00:01:06.000 --> 00:01:09.000]  同樣地我們預備還有多久
[00:01:09.000 --> 00:01:12.000]  還有四個星期就是聖誕節
[00:01:12.000 --> 00:01:14.000]  每一年聖誕節之前四個星期
[00:01:14.000 --> 00:01:18.000]  我們就會進行張臨奇四個星期的時間
