
[00:00:00.000 --> 00:00:03.000]  很高興在港台上和大家見面
[00:00:03.000 --> 00:00:06.000]  Andrew很高興再次在港台上和大家見面
[00:00:06.000 --> 00:00:09.000]  大家知道我最近都在講關於維生素
[00:00:09.000 --> 00:00:13.000]  大家知道最近Andrew都在講這個題目
[00:00:13.000 --> 00:00:14.000]  黎明維生素
[00:00:14.000 --> 00:00:16.000]  維生素大家知道是甚麼嗎
[00:00:16.000 --> 00:00:18.000]  維生素大家都知道是甚麼
[00:00:18.000 --> 00:00:20.000]  就是我們廣東人俗稱的維他命
[00:00:20.000 --> 00:00:24.000]  就是廣東人所說的維他命
[00:00:24.000 --> 00:00:26.000]  是我們食物裏面不可以缺少的
[00:00:26.000 --> 00:00:29.000]  是在我們的食物裏面不可缺少的
[00:00:29.000 --> 00:00:31.000]  原因是甚麼呢
[00:00:31.000 --> 00:00:35.000]  原因就是我們生存在這個世界上
[00:00:35.000 --> 00:00:38.000]  原因就是我們生存在這個世界上
[00:00:38.000 --> 00:00:40.000]  受到很多外來的衝擊
[00:00:40.000 --> 00:00:42.000]  受到很多外來的衝擊
[00:00:42.000 --> 00:00:44.000]  例如環境的污染
[00:00:44.000 --> 00:00:46.000]  例如環境的污染
[00:00:46.000 --> 00:00:48.000]  環境的輻射
[00:00:48.000 --> 00:00:49.000]  環境的輻射
[00:00:49.000 --> 00:00:51.000]  我們食物又不是很健康
[00:00:51.000 --> 00:00:53.000]  我們食物又不是很健康
[00:00:53.000 --> 00:00:56.000]  我最喜歡吃的通常是最不健康的
[00:00:56.000 --> 00:00:58.000]  我最喜歡吃的通常都是最不健康的
[00:00:58.000 --> 00:01:01.000]  例如油炸的東西就是最香口的
[00:01:01.000 --> 00:01:06.000]  例如說那些電炸的是最香口的
[00:01:06.000 --> 00:01:08.000]  還有我們生活上的壓力
[00:01:08.000 --> 00:01:09.000]  還有生活上的壓力
[00:01:09.000 --> 00:01:11.000]  工作上的壓力
[00:01:11.000 --> 00:01:12.000]  工作上的壓力
[00:01:12.000 --> 00:01:14.000]  家庭的壓力
[00:01:14.000 --> 00:01:16.000]  兒女給我們的壓力
[00:01:16.000 --> 00:01:18.000]  兒女給的壓力
[00:01:18.000 --> 00:01:21.000]  再加上睡眠不足
[00:01:21.000 --> 00:01:23.000]  再加上睡眠不足
[00:01:23.000 --> 00:01:27.000]  原來這些全部都是很影響我們身體裏面的機能
[00:01:27.000 --> 00:01:30.000]  原來這些全部都是很影響我們身體裏面的機能
[00:01:30.000 --> 00:01:32.000]  它增加我們身體裏面的那些
[00:01:32.000 --> 00:01:34.000]  我們叫做free radical就是游離基
[00:01:34.000 --> 00:01:37.000]  會增加我們身體裏面的所謂的游離基
[00:01:37.000 --> 00:01:41.000]  增加了我們身體裏面氧化的過程加速了
[00:01:41.000 --> 00:01:44.000]  加速了我們體內的氧化的過程
[00:01:44.000 --> 00:01:46.000]  大家知道什麼是氧化嗎
[00:01:46.000 --> 00:01:47.000]  大家知道什麼叫氧化嗎
[00:01:47.000 --> 00:01:51.000]  一塊鐵放在這裏久了它會生鏽就是氧化
[00:01:51.000 --> 00:01:53.000]  這是一塊鐵放在一邊
[00:01:53.000 --> 00:01:55.000]  久了它就會氧化
[00:01:55.000 --> 00:01:57.000]  原來我們的身體也會生鏽
[00:01:57.000 --> 00:02:02.000]  我們的身體也會受化
[00:02:02.000 --> 00:02:04.000]  大家應該都會知道
[00:02:04.000 --> 00:02:06.000]  大家應該也會知道
[00:02:06.000 --> 00:02:07.000]  早上你做一下運動
[00:02:07.000 --> 00:02:09.000]  做一下柔軟體操
[00:02:09.000 --> 00:02:11.000]  早上做一些運動
[00:02:11.000 --> 00:02:14.000]  你發覺關節都開始有很多聲音
[00:02:14.000 --> 00:02:15.000]  以前年輕沒有的
[00:02:15.000 --> 00:02:19.000]  會發覺關節好像有些聲音
[00:02:19.000 --> 00:02:21.000]  比較明顯的時候沒有這個聲音
[00:02:21.000 --> 00:02:22.000]  那就是開始生鏽
[00:02:22.000 --> 00:02:24.000]  那就開始受化
[00:02:24.000 --> 00:02:26.000]  就開始退化
[00:02:26.000 --> 00:02:28.000]  就是開始退化了
[00:02:28.000 --> 00:02:31.000]  退化都不是說很嚴重
[00:02:31.000 --> 00:02:34.000]  退化也不算太嚴重
[00:02:34.000 --> 00:02:35.000]  不是很大件事
[00:02:35.000 --> 00:02:37.000]  我們都預計了會退化
[00:02:37.000 --> 00:02:39.000]  其實也不是什麼很嚴重的事情
[00:02:39.000 --> 00:02:40.000]  因為這個是正常的
[00:02:40.000 --> 00:02:43.000]  但是最糟糕的就是連細胞都可以變異
[00:02:43.000 --> 00:02:47.000]  可是最壞的就是細胞會變異
[00:02:47.000 --> 00:02:49.000]  食物給我們有很多的維他命
[00:02:49.000 --> 00:02:51.000]  食物給我們很多的維他命
[00:02:51.000 --> 00:02:53.000]  當然是健康的食物
[00:02:53.000 --> 00:02:54.000]  當然是健康的食物
[00:02:54.000 --> 00:02:56.000]  健康食物給我們很多的維他命
