
[00:00:00.000 --> 00:00:11.000]  似錄音或錄影的版權是屬基督教宣導會北角堂所有
[00:00:11.000 --> 00:00:14.000]  我們的屬靈傳統之一是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎你將似錄音或錄影的連結傳給親友
[00:00:18.000 --> 00:00:22.000]  懇請注意未經授權請勿轉錄
[00:00:22.000 --> 00:00:25.000]  或剪輯本錄音或錄影
[00:00:25.000 --> 00:00:30.000]  10月好似次度行轉20章32節所講
[00:00:30.000 --> 00:00:32.000]  這道能建立你們
[00:00:32.000 --> 00:00:35.000]  叫你們和一切成聖的人同得基業
[00:00:35.000 --> 00:00:39.000]  兄弟姐妹早晨
[00:00:39.000 --> 00:00:43.000]  我們今天繼續去研讀希伯來書的話語
[00:00:43.000 --> 00:00:45.000]  大家覺得希伯來書難不難
[00:00:45.000 --> 00:00:50.000]  可能這幾個星期都有點新的學習的事情
[00:00:50.000 --> 00:00:55.000]  我們上星期講到耶穌基督是永遠的大祭司
[00:00:55.000 --> 00:00:59.000]  一次有效成就了很重要很重要的救恩
[00:00:59.000 --> 00:01:01.000]  對我們非常有益
[00:01:01.000 --> 00:01:04.000]  到今天接著的經文
[00:01:04.000 --> 00:01:07.000]  聖經就很實際地去勉勵
[00:01:07.000 --> 00:01:09.000]  去勉勵我們作為信徒
[00:01:09.000 --> 00:01:11.000]  要好好把握這份恩典
[00:01:11.000 --> 00:01:14.000]  在基督裡面真的要打好基礎
[00:01:14.000 --> 00:01:16.000]  要獎盡
[00:01:16.000 --> 00:01:18.000]  要打好基礎要獎盡
[00:01:18.000 --> 00:01:21.000]  要落實去實踐這個信仰
[00:01:21.000 --> 00:01:24.000]  我們再低頭一起有個祈禱
[00:01:24.000 --> 00:01:30.000]  親愛的天父上帝
[00:01:30.000 --> 00:01:33.000]  我們知道你對我們的心意是善
[00:01:33.000 --> 00:01:36.000]  你很願意我們繼續去成長
[00:01:36.000 --> 00:01:38.000]  更加親近你
[00:01:38.000 --> 00:01:43.000]  更加能夠活出信徒的樣式
[00:01:43.000 --> 00:01:44.000]  是主你所願意
[00:01:44.000 --> 00:01:47.000]  也對我們自己有益處
[00:01:47.000 --> 00:01:49.000]  主我們感謝你
[00:01:49.000 --> 00:01:50.000]  願意你與我們同在
[00:01:50.000 --> 00:01:53.000]  帶領我們一起領受神你自己的道
[00:01:53.000 --> 00:01:54.000]  我們這樣祈禱
[00:01:54.000 --> 00:01:56.000]  奉耶穌基督的名求
[00:01:56.000 --> 00:01:58.000]  阿們
[00:01:58.000 --> 00:02:00.000]  我記得我第一次去看
[00:02:00.000 --> 00:02:02.000]  希伯來書這一段的經文
[00:02:02.000 --> 00:02:04.000]  印象很深刻
