
[00:00:00.000 --> 00:00:03.920]  在我們生活中也會經歷很多不同的處境
[00:00:03.920 --> 00:00:06.400]  有時我們被人偷東西
[00:00:06.400 --> 00:00:08.080]  有時我們偷別人的東西
[00:00:08.080 --> 00:00:12.680]  但在不同的處境當我們說要有平安的時候
[00:00:12.680 --> 00:00:15.800]  在這個層面的十誡中
[00:00:15.800 --> 00:00:21.000]  神藉著摩西班下的不可偷渡的誡命中
[00:00:21.000 --> 00:00:22.640]  就讓我們有很多的思想
[00:00:22.640 --> 00:00:29.080]  希伯勒文"gnaf"這個字就是偷渡的意思
[00:00:29.080 --> 00:00:33.560]  當你拿走一些不屬於你自己的東西
[00:00:33.560 --> 00:00:38.960]  就是這個字的意義和含義
[00:00:38.960 --> 00:00:42.960]  記得我小時候在西節區長大
[00:00:42.960 --> 00:00:45.840]  有一個公共走廊
[00:00:45.840 --> 00:00:48.400]  公共走廊是人都可以上去的
[00:00:48.400 --> 00:00:52.240]  那個年代的公共屋邨是不會有坑間的
[00:00:52.240 --> 00:00:55.680]  現在好些了,就會有一些閘有坑間
[00:00:55.680 --> 00:01:00.680]  晚上睡覺就會有賊,小偷
[00:01:00.680 --> 00:01:05.080]  偷就要在黑暗裏面進行
[00:01:05.080 --> 00:01:10.440]  當眾人都睡了覺,睡了覺的時候他就偷
[00:01:10.440 --> 00:01:13.880]  夏天的時候當然就不會關窗
[00:01:13.880 --> 00:01:17.680]  有門也不會關門,只會拉了一道閘
[00:01:17.680 --> 00:01:24.840]  因為一家是九口,即父母之外七兄弟姐妹
[00:01:24.840 --> 00:01:27.360]  其實姐姐早就已經嫁了
[00:01:27.360 --> 00:01:32.000]  所以一家八口就住在一個二百四十呎的地方
[00:01:32.000 --> 00:01:36.280]  關上門,有一天晚上我在客廳睡覺
[00:01:36.280 --> 00:01:39.480]  突然間聽到窗戶有聲音
[00:01:39.480 --> 00:01:43.000]  原來有個賊拿了我們這浪三足
[00:01:43.000 --> 00:01:44.840]  然後在前面弄了個勾
[00:01:44.840 --> 00:01:50.440]  就用勾在我們房門口的褲子裏面
[00:01:50.440 --> 00:01:53.840]  因為褲袋裏面有機會有錢包
[00:01:53.840 --> 00:01:58.480]  就用勾,這些當然是慣匪
[00:01:58.480 --> 00:02:04.240]  我睡了覺就聽到,心裏面就很害怕
[00:02:04.240 --> 00:02:09.800]  就叫我爸爸,爸爸一出,叫你偷甚麼就馬上走
[00:02:09.800 --> 00:02:13.560]  所以做賊的人心裏面都很不平安
[00:02:13.560 --> 00:02:17.840]  但是被人偷東西的時候,心裏面都很恐懼
[00:02:17.840 --> 00:02:21.960]  又有一次,金善食真的恐懼了
[00:02:21.960 --> 00:02:24.880]  在黃大仙上潮人山就有一段山路
[00:02:24.880 --> 00:02:28.680]  那一次放學後就上去打乒乓球
[00:02:28.680 --> 00:02:35.160]  打乒乓球因為在山上,潮人山的球檯便宜一點
[00:02:35.160 --> 00:02:38.080]  就去那裏租檯打乒乓球
