
[00:00:00.000 --> 00:00:02.320]  在電影中
[00:00:02.320 --> 00:00:05.760]  曾經有一句經典的金句
[00:00:05.760 --> 00:00:08.680]  不知道大家有沒有印象
[00:00:08.680 --> 00:00:12.880]  這句經典的金句是這樣說的
[00:00:12.880 --> 00:00:15.560]  做人如果沒有夢想
[00:00:15.560 --> 00:00:19.640]  跟一條鹹魚有什麼分別呢?
[00:00:19.640 --> 00:00:22.320]  做人如果沒有夢想
[00:00:22.320 --> 00:00:25.840]  跟一條鹹魚有什麼分別呢?
[00:00:25.840 --> 00:00:28.160]  大家熟不熟悉?
[00:00:28.160 --> 00:00:31.000]  是誰說的?
[00:00:31.000 --> 00:00:33.520]  是周星馳
[00:00:33.520 --> 00:00:38.800]  是周星馳在少林足球的一句經典對白
[00:00:38.800 --> 00:00:42.080]  是周星馳勸黃一飛
[00:00:42.080 --> 00:00:43.680]  另一位明星
[00:00:43.680 --> 00:00:45.960]  告訴他
[00:00:45.960 --> 00:00:50.200]  以唱歌跳舞來包裝少林高的功夫
[00:00:50.200 --> 00:00:51.640]  是可以的
[00:00:51.640 --> 00:00:55.000]  是可以來發揚光大的
[00:00:55.000 --> 00:00:59.680]  所以他就用這句話去勉勵他
[00:00:59.680 --> 00:01:02.120]  做人如果沒有夢想
[00:01:02.120 --> 00:01:06.120]  跟一條鹹魚有什麼分別呢?
[00:01:06.120 --> 00:01:08.000]  頂姐妹
[00:01:08.000 --> 00:01:10.120]  你有沒有夢想?
[00:01:10.120 --> 00:01:11.840]  說得熟悉一點
[00:01:11.840 --> 00:01:14.520]  你有沒有異象?
[00:01:14.520 --> 00:01:16.480]  如果沒有的話
[00:01:16.480 --> 00:01:20.600]  那會怎樣?
[00:01:20.600 --> 00:01:22.360]  如果你問我
[00:01:22.360 --> 00:01:25.600]  在我人生的哲學裏面
[00:01:25.600 --> 00:01:28.240]  人是需要有夢想
[00:01:28.240 --> 00:01:31.520]  人是需要有異象的
[00:01:31.520 --> 00:01:34.960]  甚至我可以擴大一點來說
[00:01:34.960 --> 00:01:36.960]  不單止一個人
[00:01:36.960 --> 00:01:38.720]  是需要這樣
[00:01:38.720 --> 00:01:43.520]  整個信仰的群體都應該是這樣
[00:01:43.520 --> 00:01:45.040]  如果不是
[00:01:45.040 --> 00:01:48.800]  那就會「嘟嘟嘟」這樣
[00:01:48.800 --> 00:01:51.760]  讓我們都有夢想
[00:01:51.760 --> 00:01:55.400]  有異象
[00:01:55.400 --> 00:01:57.400]  讓我們看回聖經
[00:01:57.400 --> 00:02:00.280]  保羅就是一個這樣的人
[00:02:00.280 --> 00:02:03.560]  由他悔改歸向耶穌基督
[00:02:03.560 --> 00:02:06.400]  進入光明的國度之後
[00:02:06.400 --> 00:02:10.960]  他就為上帝努力奮進
[00:02:10.960 --> 00:02:12.320]  他追求夢想
[00:02:12.320 --> 00:02:14.880]  甚至是為主癲狂
[00:02:14.880 --> 00:02:18.840]  今天這個世代我們找不到人為主癲狂
[00:02:18.840 --> 00:02:20.480]  太平靜了
[00:02:20.480 --> 00:02:24.040]  我們看到保羅是有夢想的
