
[00:00:00.000 --> 00:00:02.500]  在今日的講題裏面
[00:00:02.500 --> 00:00:05.260]  我們透過《藥書十記》第七章
[00:00:05.260 --> 00:00:09.340]  我們會有講到失敗中的學習
[00:00:09.340 --> 00:00:10.640]  上星期我提到
[00:00:10.640 --> 00:00:12.980]  稍後會再看《藥書十記》第七到第八章
[00:00:12.980 --> 00:00:14.660]  但有些人看不及的
[00:00:14.660 --> 00:00:16.600]  我再給多一個星期的寬限期
[00:00:16.600 --> 00:00:17.600]  跟你隔壁的朋友說一聲
[00:00:17.600 --> 00:00:19.600]  請你回去看《藥書十記》第八章
[00:00:19.600 --> 00:00:22.740]  在今日的時間關係
[00:00:22.740 --> 00:00:24.460]  我們只能夠講到第七章
[00:00:24.460 --> 00:00:27.640]  是他們攻打耶利哥城之後
[00:00:27.640 --> 00:00:28.760]  所面對的問題
[00:00:28.760 --> 00:00:31.460]  所面對的失敗就是攻打艾城
[00:00:31.460 --> 00:00:33.760]  請你打開聖經《藥書十記》第七章的時候
[00:00:33.760 --> 00:00:35.260]  當你一邊打開一邊講的時候
[00:00:35.260 --> 00:00:36.860]  你會知道我在講什麼
[00:00:36.860 --> 00:00:38.060]  當你打開第七章的時候
[00:00:38.060 --> 00:00:39.160]  你會看到
[00:00:39.160 --> 00:00:43.060]  讀第七章你最少會面對三個問題
[00:00:43.060 --> 00:00:44.460]  第一個問題就是說
[00:00:44.460 --> 00:00:48.360]  我們為什麼上帝不早點提醒約書衙
[00:00:48.360 --> 00:00:50.560]  以致告訴他們
[00:00:50.560 --> 00:00:53.960]  攻打耶利哥的時候
[00:00:53.960 --> 00:00:56.460]  你們當中有人犯了罪
[00:00:56.460 --> 00:00:58.060]  拿了當滅之物
[00:00:59.460 --> 00:01:01.560]  弟兄姐妹請你打開第七章的時候
[00:01:01.560 --> 00:01:02.960]  請你留意
[00:01:02.960 --> 00:01:05.160]  好像看電視劇一樣
[00:01:05.160 --> 00:01:08.760]  有時候我們真的需要多點投入和幻想
[00:01:08.760 --> 00:01:10.460]  去看聖經
[00:01:10.460 --> 00:01:12.960]  因為作者寫作的手法
[00:01:12.960 --> 00:01:14.760]  給讀者一個感覺是什麼
[00:01:14.760 --> 00:01:15.660]  第七章第一節
[00:01:15.660 --> 00:01:17.760]  他一開始就已經說了
[00:01:17.760 --> 00:01:20.460]  以色列人是犯了罪
[00:01:20.460 --> 00:01:22.560]  拿了當滅之物的罪
[00:01:22.560 --> 00:01:25.860]  說老氣要向他們顯現
[00:01:25.860 --> 00:01:27.960]  讀者是知道的
[00:01:27.960 --> 00:01:30.460]  但是到第二節你會看到
[00:01:30.460 --> 00:01:33.760]  約書衙和以色列人是不知道的
[00:01:33.760 --> 00:01:35.760]  所以大家的看法很不一樣
[00:01:35.760 --> 00:01:36.960]  讀者看到第一節之後
[00:01:36.960 --> 00:01:37.960]  你很緊張
[00:01:37.960 --> 00:01:39.260]  神會怎麼做
[00:01:39.260 --> 00:01:41.560]  神的怒氣會怎麼發作
[00:01:41.560 --> 00:01:42.960]  你有些期待
[00:01:42.960 --> 00:01:45.660]  有些驚恐的心情去面對
[00:01:45.660 --> 00:01:48.360]  就好像看電視劇一樣
[00:01:48.360 --> 00:01:50.860]  劇中的女主角不知道
[00:01:50.860 --> 00:01:52.660]  但是你知道那個是壞人
[00:01:52.660 --> 00:01:54.460]  那個壞人正在約女主角出來
[00:01:54.460 --> 00:01:56.160]  想殺她
[00:01:56.160 --> 00:01:57.260]  你會很緊張
[00:01:57.260 --> 00:01:58.060]  因為你知道
[00:01:58.060 --> 00:01:59.260]  但是女主角不知道
[00:01:59.260 --> 00:02:01.260]  現在約書衙記第七章的寫作方法
[00:02:01.260 --> 00:02:03.560]  也是給讀者一個很緊張的氣氛
[00:02:03.560 --> 00:02:05.260]  第七章第一節已經是
[00:02:05.260 --> 00:02:07.060]  就是你要看到
[00:02:07.060 --> 00:02:08.160]  有事會發生
[00:02:08.160 --> 00:02:09.960]  而且這個事是不簡單的事情
[00:02:09.960 --> 00:02:11.660]  因為神的怒氣要發作
[00:02:11.660 --> 00:02:12.760]  但是約書衙不知道
[00:02:12.760 --> 00:02:14.160]  民眾不知道
[00:02:14.160 --> 00:02:15.160]  我們開始問
[00:02:15.160 --> 00:02:17.760]  為什麼神不預告給約書衙知道
[00:02:17.760 --> 00:02:18.560]  告訴他知道
[00:02:18.560 --> 00:02:20.760]  然後等他不上去打一場仗
[00:02:20.760 --> 00:02:23.360]  以致他不會死36個人
[00:02:23.360 --> 00:02:24.760]  這是第一個問題
[00:02:24.760 --> 00:02:26.760]  第二個問題我們會問
[00:02:26.760 --> 00:02:28.560]  約書衙記第七章第五節
[00:02:28.560 --> 00:02:31.160]  阿干一個人犯罪
[00:02:31.160 --> 00:02:33.060]  但是死的不是阿干
[00:02:33.060 --> 00:02:36.160]  死的是36個以色列人
[00:02:36.160 --> 00:02:40.260]  那36個死亡的人是不是很無辜呢
[00:02:40.260 --> 00:02:42.960]  這是我們第二個會遇到
[00:02:42.960 --> 00:02:45.960]  會碰到也會問的問題
[00:02:45.960 --> 00:02:47.960]  第三個問題我們會問
[00:02:47.960 --> 00:02:49.460]  七章十四到十八節
[00:02:49.460 --> 00:02:51.660]  用了五節經文
[00:02:51.660 --> 00:02:53.860]  去找阿干出來
[00:02:53.860 --> 00:02:57.160]  先是由支派開始
[00:02:57.160 --> 00:02:59.660]  接著下去到家族
[00:02:59.660 --> 00:03:01.960]  家族下去到家庭
[00:03:01.960 --> 00:03:04.560]  家庭下去到個人
[00:03:04.560 --> 00:03:07.260]  五節經文寫上來很短
[00:03:07.260 --> 00:03:08.560]  五節經文已經是長了
[00:03:08.560 --> 00:03:09.960]  別人讀起來
[00:03:09.960 --> 00:03:11.060]  但是真正去
[00:03:11.060 --> 00:03:12.760]  這五節經文形容的事情
[00:03:12.760 --> 00:03:14.460]  要實現出來的時候
[00:03:14.460 --> 00:03:16.360]  是花了很長時間
[00:03:16.360 --> 00:03:18.760]  為什麼要這麼累贅
[00:03:18.760 --> 00:03:19.860]  為什麼要這麼複雜
[00:03:19.860 --> 00:03:21.260]  上帝一指出來
[00:03:21.260 --> 00:03:22.060]  當然我們明白
[00:03:22.060 --> 00:03:23.960]  二百多萬以色列人裡面
[00:03:23.960 --> 00:03:25.360]  可能不止一個阿干
[00:03:25.360 --> 00:03:26.660]  但是只要說
[00:03:26.660 --> 00:03:28.160]  由大支派的阿干
[00:03:28.160 --> 00:03:30.460]  不是只有你一指就指出來了
[00:03:30.460 --> 00:03:33.260]  為什麼上帝不用這麼直接了當的方法
[00:03:33.260 --> 00:03:35.960]  要搞一大山這麼複雜的東西
[00:03:35.960 --> 00:03:38.560]  才找阿干出來呢
[00:03:38.560 --> 00:03:41.360]  很明顯這段經文是耶華知道的
[00:03:41.360 --> 00:03:42.660]  不是他不知道的
[00:03:42.660 --> 00:03:44.760]  不是耶華在猜
[00:03:44.760 --> 00:03:45.860]  又不是抽籤
[00:03:45.860 --> 00:03:46.960]  現在這一刻是
[00:03:46.960 --> 00:03:48.760]  逐個支派
[00:03:48.760 --> 00:03:49.760]  逐個家族
[00:03:49.760 --> 00:03:50.760]  逐個家庭
[00:03:50.760 --> 00:03:52.460]  由個人出來
[00:03:52.460 --> 00:03:55.460]  就指出了阿干是犯罪的那個
[00:03:55.460 --> 00:03:57.160]  這三個問題
[00:03:57.160 --> 00:03:58.660]  你看約書一記第七章
[00:03:58.660 --> 00:04:01.760]  至少是你會發問的問題
[00:04:01.760 --> 00:04:04.160]  我們先想回答第一題
[00:04:04.160 --> 00:04:05.960]  第二第三題是留待一會兒
[00:04:05.960 --> 00:04:08.760]  我們講下去的時候會解答
[00:04:08.760 --> 00:04:09.460]  第一個問題
[00:04:09.460 --> 00:04:10.660]  我們很知道
[00:04:10.660 --> 00:04:11.260]  為什麼在第一節節目
[00:04:11.260 --> 00:04:12.360]  為什麼你要讀聖經
[00:04:12.360 --> 00:04:13.260]  跟界定的那種聲音
[00:04:13.260 --> 00:04:15.660]  你要讀聖經
[00:04:15.660 --> 00:04:17.060]  因為在聖經裡面
[00:04:17.060 --> 00:04:18.460]  我們認識神
[00:04:18.460 --> 00:04:19.560]  不止認識神
[00:04:19.560 --> 00:04:21.960]  我們認識神的作為
[00:04:21.960 --> 00:04:23.460]  神的作為是
[00:04:23.460 --> 00:04:26.660]  昔在 今在 永在的上帝
[00:04:26.660 --> 00:04:28.160]  他以前是怎樣
[00:04:28.160 --> 00:04:28.860]  現在是怎樣
[00:04:28.860 --> 00:04:29.860]  將來都會怎樣
[00:04:29.860 --> 00:04:32.360]  上帝是永不改變的
[00:04:32.360 --> 00:04:34.160]  上帝怎樣做事
[00:04:34.160 --> 00:04:35.160]  以往怎樣做事
[00:04:35.160 --> 00:04:35.960]  現在怎樣做事
[00:04:35.960 --> 00:04:37.960]  將來都要怎樣做事
[00:04:37.960 --> 00:04:40.660]  不要忘記上帝發號了命令
[00:04:40.660 --> 00:04:42.960]  宣佈了這個
[00:04:42.960 --> 00:04:45.760]  是祂的原則之後
[00:04:45.760 --> 00:04:49.560]  一次就夠了
[00:04:49.560 --> 00:04:51.760]  是不需要多次
[00:04:51.760 --> 00:04:53.960]  也不需要重覆
[00:04:53.960 --> 00:04:57.760]  我們看夏娃 亞當犯罪
[00:04:57.760 --> 00:04:58.960]  之前耶華說
