
[00:00:00.000 --> 00:00:03.720]  剛才主席也幫我們說了今天的題目
[00:00:03.720 --> 00:00:08.920]  重建城牆2 轉危為機的禱告
[00:00:08.920 --> 00:00:10.880]  意思是有二就是有一
[00:00:10.880 --> 00:00:12.240]  一是什麼時候說的
[00:00:12.240 --> 00:00:14.920]  就是1月1日崇拜那天說的
[00:00:14.920 --> 00:00:17.040]  不知道那天有多少人回來
[00:00:17.040 --> 00:00:18.600]  那天公共假期
[00:00:18.600 --> 00:00:22.680]  由今年開始我都會用這個重建城牆系列
[00:00:22.680 --> 00:00:25.640]  在每個月的第一個主要崇拜
[00:00:25.640 --> 00:00:27.720]  去跟大家分享離棄米記
[00:00:27.720 --> 00:00:30.520]  希望透過離棄米記13章的訊息
[00:00:30.520 --> 00:00:34.440]  能夠讓我們感受到神的話語
[00:00:34.440 --> 00:00:35.720]  像剛才施班說的
[00:00:35.720 --> 00:00:38.560]  神的話語沒有難成的事
[00:00:38.560 --> 00:00:41.760]  神的話語感動了離棄米記要重建城牆
[00:00:41.760 --> 00:00:46.240]  而我們今天也要透過離棄米記的訊息
[00:00:46.240 --> 00:00:49.600]  在今年裏面重建我們土瓜人贈信會
[00:00:49.600 --> 00:00:51.280]  我們的屬靈氣氛
[00:00:51.280 --> 00:00:53.040]  重建我們弟兄姊妹
[00:00:53.040 --> 00:00:54.760]  我們的屬靈領袖
[00:00:54.760 --> 00:00:56.160]  我們的侍奉人員
[00:00:56.160 --> 00:00:59.200]  那份屬靈的信仰
[00:00:59.200 --> 00:01:00.800]  如果還記得
[00:01:00.800 --> 00:01:02.640]  上次第一章
[00:01:02.640 --> 00:01:05.240]  是離棄米記的第一個禱告
[00:01:05.240 --> 00:01:07.320]  當時發生在
[00:01:07.320 --> 00:01:10.040]  亞達薩西王20年的基斯留月
[00:01:10.040 --> 00:01:12.200]  在主前的445年
[00:01:12.200 --> 00:01:13.240]  這個離棄米記
[00:01:13.240 --> 00:01:16.600]  是當時蓬勃於歐洲、亞洲、非洲
[00:01:16.600 --> 00:01:18.760]  三大洲的大帝國
[00:01:18.760 --> 00:01:22.200]  波斯帝國的皇帝的一位酒政
[00:01:22.200 --> 00:01:23.520]  酒政很普通
[00:01:23.520 --> 00:01:25.480]  只是幫皇帝斟酒而已
[00:01:25.480 --> 00:01:26.640]  不是那麼簡單
[00:01:26.640 --> 00:01:29.880]  酒政不僅是幫皇帝斟酒
[00:01:29.880 --> 00:01:31.760]  試酒、安排美酒
[00:01:31.760 --> 00:01:34.760]  更加是幫皇帝試試酒有沒有下毒
[00:01:34.760 --> 00:01:37.200]  你知道很多時候都會暗殺皇帝
[00:01:37.200 --> 00:01:39.920]  可能酒下了什麼藥
[00:01:39.920 --> 00:01:41.440]  所以可想而知
[00:01:41.440 --> 00:01:44.720]  這個角色是很親近皇帝
[00:01:44.720 --> 00:01:47.880]  是皇帝的一個親信
[00:01:47.880 --> 00:01:51.240]  經常陪皇帝去喝酒、作樂
[00:01:51.240 --> 00:01:53.160]  所以是身居要職
[00:01:53.160 --> 00:01:54.760]  得到皇帝的寵愛
[00:01:54.760 --> 00:01:59.880]  而且一定有很多豐厚的恩典
[00:01:59.880 --> 00:02:03.080]  即是國王給他的豐厚的禮物
[00:02:03.080 --> 00:02:04.680]  在他身邊
[00:02:04.680 --> 00:02:09.800]  當時書山城第一章的時候
[00:02:09.800 --> 00:02:11.960]  離棄米問他鄉下
[00:02:11.960 --> 00:02:13.760]  其實離棄米是猶大人
[00:02:13.760 --> 00:02:15.960]  當時以色列已經亡了
[00:02:15.960 --> 00:02:18.720]  他們被俘虜到不同的地方
[00:02:18.720 --> 00:02:20.960]  問自己的鄉下
[00:02:20.960 --> 00:02:23.960]  以色列、耶路撒冷的情況如何
[00:02:23.960 --> 00:02:26.840]  他的兄弟哈拿尼告訴他
[00:02:26.840 --> 00:02:30.920]  我們的國家國破家亡
[00:02:30.920 --> 00:02:32.520]  城牆被毀
[00:02:32.520 --> 00:02:35.240]  人民更加被凌辱
[00:02:35.240 --> 00:02:38.240]  當時離棄米聽完這個情況之後
[00:02:38.240 --> 00:02:43.400]  他流淚禱告禁食了足足四個月
[00:02:43.400 --> 00:02:44.720]  在這四個月裡
[00:02:44.720 --> 00:02:47.360]  他很感受到自己國破家亡
[00:02:47.360 --> 00:02:48.640]  同胞受凌辱
[00:02:48.640 --> 00:02:50.000]  城牆被殺毀
