
[00:00:00.000 --> 00:00:02.480]  路德記的第四章
[00:00:02.480 --> 00:00:04.760]  亦是最後的一章書
[00:00:04.760 --> 00:00:08.240]  我曾經說過路德記真的很有意思
[00:00:08.240 --> 00:00:11.080]  每一章書都有一個重要的主題
[00:00:11.080 --> 00:00:12.420]  例如第一章
[00:00:12.420 --> 00:00:17.040]  是說到以利米勒和拿額米離開了以色列
[00:00:17.040 --> 00:00:21.880]  離開了去到摩訶一個不能夠被神祝福的地方
[00:00:21.880 --> 00:00:25.680]  但是當以利米勒和他們兩個兒子死了之後
[00:00:25.680 --> 00:00:28.920]  拿額米願意回到以色列
[00:00:28.920 --> 00:00:31.600]  帶路德回去
[00:00:31.600 --> 00:00:34.040]  所以第一章的訊息是甚麼
[00:00:34.040 --> 00:00:38.120]  是回到能夠被神祝福的地方
[00:00:38.120 --> 00:00:41.600]  第二章的訊息是說到路德
[00:00:41.600 --> 00:00:44.360]  他願意離開摩訶地
[00:00:44.360 --> 00:00:46.840]  去到一個他不認識的地方
[00:00:46.840 --> 00:00:49.480]  接受一位他不認識的神
[00:00:49.480 --> 00:00:52.960]  所以第二章最主要的主題就是
[00:00:52.960 --> 00:00:56.720]  要改變環境先改變你的內心
[00:00:56.720 --> 00:01:00.520]  他願意跟拿額米回到以色列
[00:01:00.520 --> 00:01:03.640]  他也願意聽神的話語
[00:01:03.640 --> 00:01:05.520]  聽神的律例典章
[00:01:05.520 --> 00:01:07.080]  因為神的律例典章說
[00:01:07.080 --> 00:01:11.520]  他可以到田裡來執拾那些墨水
[00:01:11.520 --> 00:01:14.360]  以致他認識了波亞斯
[00:01:14.360 --> 00:01:16.320]  所以改變了他的心態
[00:01:16.320 --> 00:01:19.600]  也改變了他的環境
[00:01:19.600 --> 00:01:21.120]  第三章
[00:01:21.120 --> 00:01:24.200]  我上次說作好憤內事
[00:01:24.200 --> 00:01:26.400]  來等待主作供
[00:01:26.400 --> 00:01:30.000]  就是路德願意聽拿額米的教導
[00:01:30.000 --> 00:01:31.320]  叫他潔淨自己
[00:01:31.320 --> 00:01:32.640]  高沒自己
[00:01:32.640 --> 00:01:34.440]  和穿上新衣
[00:01:34.440 --> 00:01:37.080]  來向波亞斯示愛
[00:01:37.080 --> 00:01:41.080]  結果波亞斯真的願意娶他為妻
[00:01:41.080 --> 00:01:42.800]  但是上一次我就說
[00:01:42.800 --> 00:01:45.680]  突然間殺出一個情咬金
[00:01:45.680 --> 00:01:49.800]  有個人比波亞斯更加親近伊利米納
[00:01:49.800 --> 00:01:52.000]  今天我們就要看
[00:01:52.000 --> 00:01:54.200]  這件事的發展是怎樣
[00:01:54.200 --> 00:01:57.800]  我叫今天的訊息做「世事難料
[00:01:57.800 --> 00:02:00.280]  但神仍然掌權」
[00:02:00.280 --> 00:02:03.720]  不只是在第四章神仍然掌權
[00:02:03.720 --> 00:02:05.440]  有沒有見到在第一章開始
[00:02:05.440 --> 00:02:06.880]  他已經掌權
[00:02:06.880 --> 00:02:10.000]  他令到伯利恆有糧食
[00:02:10.000 --> 00:02:13.360]  帶領拿額米回到以色列
[00:02:13.360 --> 00:02:14.640]  回到以色列
[00:02:14.640 --> 00:02:18.520]  他又帶領路德到波亞斯的田裡
[00:02:18.520 --> 00:02:21.440]  你有沒有見到神的手不斷地
[00:02:21.440 --> 00:02:23.520]  帶領路德
[00:02:23.520 --> 00:02:25.160]  跟著呢
[00:02:25.160 --> 00:02:27.000]  現在殺出的情咬金
[00:02:27.000 --> 00:02:30.320]  我們見到也在神的掌握當中
[00:02:30.320 --> 00:02:34.480]  一切是跟隨祂的旨意在進行
[00:02:34.480 --> 00:02:36.720]  路德的一開始
[00:02:36.720 --> 00:02:39.200]  就是三場的喪禮
[00:02:39.200 --> 00:02:40.680]  但是結束的時候
[00:02:40.680 --> 00:02:42.040]  我們會今天見到
[00:02:42.040 --> 00:02:46.000]  是一段很美麗的婚姻來結束
[00:02:46.000 --> 00:02:49.440]  第一章是充滿了死亡哭泣
[00:02:49.440 --> 00:02:51.640]  充滿了傷心的事
[00:02:51.640 --> 00:02:53.160]  但是第四章
[00:02:53.160 --> 00:02:55.920]  是記載伯利恆的小鎮常高
[00:02:55.920 --> 00:02:59.320]  是有一個喜氣洋溢的婚禮
[00:02:59.320 --> 00:03:03.080]  就好像詩篇的三十篇第五節告訴我們
[00:03:03.080 --> 00:03:05.640]  一叔雖然有哭泣
[00:03:05.640 --> 00:03:09.160]  早晨便必歡呼
[00:03:09.160 --> 00:03:12.280]  雖然我們世上的事的結局
[00:03:12.280 --> 00:03:14.880]  不是說永遠都是很幸福
[00:03:14.880 --> 00:03:18.160]  不是好像迪士尼樂園的電影一樣
[00:03:18.160 --> 00:03:20.400]  當然是喜劇收場
[00:03:20.400 --> 00:03:23.560]  但是只要我們是接受耶穌基督
[00:03:23.560 --> 00:03:25.520]  跟隨神的話
[00:03:25.520 --> 00:03:29.760]  神不單止是寫我們人生當中第一章的書
[00:03:29.760 --> 00:03:33.920]  也是寫我們人生當中最後的一章書
[00:03:33.920 --> 00:03:36.360]  所以我們絕對不需要懼怕
[00:03:36.360 --> 00:03:38.320]  不需要害怕
[00:03:38.320 --> 00:03:43.120]  這章書第四章的主題很清楚就是救贖
[00:03:43.120 --> 00:03:46.480]  所以有很多救贖的字眼
[00:03:46.480 --> 00:03:48.920]  買賣買回的字眼
[00:03:48.920 --> 00:03:52.200]  一共出現超過十五次
[00:03:52.200 --> 00:03:55.680]  我們知道買賣都是需要付出代價的
[00:03:55.680 --> 00:03:59.040]  贖回也是一樣要付出代價
[00:03:59.040 --> 00:04:02.800]  但是在《述史圖行傳》的二章二十一節怎麼說
[00:04:02.800 --> 00:04:06.800]  凡求告主明的就必得救
[00:04:06.800 --> 00:04:09.200]  這一個救贖
