
[00:00:00.000 --> 00:00:04.520]  這個主題叫化靈為靜
[00:00:04.520 --> 00:00:07.120]  由一個很凌亂的環境裏面
[00:00:07.120 --> 00:00:11.800]  讓神將我們那個凌亂的心
[00:00:11.800 --> 00:00:13.960]  無論你今天帶著甚麼心情來到當中
[00:00:13.960 --> 00:00:17.000]  給我們一個完整的生命
[00:00:17.000 --> 00:00:18.720]  第二堂我們講到碎
[00:00:18.720 --> 00:00:20.560]  碎的意思就是破碎
[00:00:20.560 --> 00:00:22.560]  Brokenness
[00:00:22.560 --> 00:00:27.040]  問一問大家
[00:00:27.040 --> 00:00:29.360]  我很喜歡舉手調查
[00:00:29.360 --> 00:00:35.880]  有沒有人覺得自己都幾完美
[00:00:35.880 --> 00:00:37.000]  有個舉手
[00:00:37.000 --> 00:00:41.440]  八成 覺得自己八成幾完美
[00:00:41.440 --> 00:00:43.640]  有沒有
[00:00:43.640 --> 00:00:45.680]  幾謙 今次
[00:00:45.680 --> 00:00:47.080]  那個舉了縮番
[00:00:47.080 --> 00:00:48.880]  私底下舉給我看
[00:00:48.880 --> 00:00:51.880]  六成 覺得自己都幾完美
[00:00:51.880 --> 00:00:55.360]  OK 都有些自信 不然就很慘
[00:00:55.360 --> 00:01:02.040]  第三個就是有沒有人覺得自己是一個破碎的人
[00:01:02.040 --> 00:01:04.360]  嘩 都有些手
[00:01:04.360 --> 00:01:06.600]  破碎的意思就是說你有Brokenness
[00:01:06.600 --> 00:01:09.280]  你覺得自己很
[00:01:09.280 --> 00:01:10.880]  有時不想站在別人面前
[00:01:10.880 --> 00:01:14.280]  讓人看到自己的真相
[00:01:14.280 --> 00:01:17.080]  破碎的人
[00:01:17.080 --> 00:01:20.680]  昨晚幾個弟兄姊妹跟我分享
[00:01:20.680 --> 00:01:21.960]  他們看了一套電影
[00:01:21.960 --> 00:01:24.120]  我覺得我錯過了一個機會
[00:01:24.120 --> 00:01:26.320]  那個電影叫做The Dropbox
[00:01:26.320 --> 00:01:28.320]  有沒有人看過這套電影
[00:01:28.320 --> 00:01:29.680]  原來很好看
[00:01:29.680 --> 00:01:32.360]  是一套寫實的福音電影
[00:01:32.360 --> 00:01:36.280]  我看了前奏三分鐘
[00:01:36.280 --> 00:01:37.400]  嘩 很感人
[00:01:37.400 --> 00:01:38.680]  是講什麼
[00:01:38.680 --> 00:01:39.920]  播了三天之後就沒有了
[00:01:39.920 --> 00:01:40.840]  不知道什麼時候再播
[00:01:40.840 --> 00:01:41.880]  有機會再看
[00:01:41.880 --> 00:01:45.320]  講到原來這件事情
[00:01:45.320 --> 00:01:49.160]  就是發生在南韓現在這個年代裏面
[00:01:49.160 --> 00:01:52.400]  居然在一個這麼先進的國家裏面
[00:01:52.400 --> 00:01:55.200]  仍然是南韓
[00:01:55.200 --> 00:01:55.920]  算不算先進
[00:01:55.920 --> 00:01:58.000]  你今天買過Samsung的電話
[00:01:58.000 --> 00:01:59.400]  原來這個地方最大
[00:01:59.400 --> 00:02:02.960]  但當中有這麼多破碎的問題是
[00:02:02.960 --> 00:02:04.600]  原來他們有一種文化
[00:02:04.600 --> 00:02:06.480]  仍然不接納那些你出生的時候
[00:02:06.480 --> 00:02:08.480]  單親媽媽生了個嬰兒
[00:02:08.480 --> 00:02:10.960]  或者你出生的時候你是Disabled
[00:02:10.960 --> 00:02:13.680]  他們就會扔在街上
[00:02:13.680 --> 00:02:15.280]  因為他們的文化
[00:02:15.280 --> 00:02:17.360]  不接納這些小朋友
[00:02:17.360 --> 00:02:18.480]  那你明白我說什麼
[00:02:18.480 --> 00:02:19.400]  中國人以前有
[00:02:19.400 --> 00:02:21.040]  現在你在香港都不會見到這些情況
[00:02:21.040 --> 00:02:22.760]  即是扔了個嬰兒在街上
[00:02:22.760 --> 00:02:24.360]  這個牧師李牧師
[00:02:24.360 --> 00:02:27.240]  就在教會開了一個叫The Drop Box
[00:02:27.240 --> 00:02:29.360]  就是你不要你給我
[00:02:29.360 --> 00:02:31.760]  教會就說這個牧師
[00:02:31.760 --> 00:02:34.440]  就是去收養這些小朋友
[00:02:34.440 --> 00:02:37.160]  他說這些生命在上帝的眼中來講
[00:02:37.160 --> 00:02:38.560]  每一個都重要
[00:02:38.560 --> 00:02:40.320]  今天我不是講這個李牧師
[00:02:40.320 --> 00:02:42.360]  我在講在這個世界裏面
[00:02:42.360 --> 00:02:46.800]  仍然有這麼多破碎的情況出現
[00:02:46.800 --> 00:02:51.000]  在美國一個婚姻與宗教研究裏面
[00:02:51.000 --> 00:02:53.840]  就講了一樣東西
[00:02:53.840 --> 00:02:56.160]  他說原來這個世界裏面
[00:02:56.160 --> 00:02:58.560]  現在有很多的小朋友
[00:02:58.560 --> 00:03:00.600]  他們
[00:03:00.600 --> 00:03:01.160]  怎麼說呢
[00:03:01.160 --> 00:03:03.720]  他說在你的親生父母未有離異的情況之下
