
[00:00:00.000 --> 00:00:04.320]  我們看文書第十四章二十六節四字的經文
[00:00:04.320 --> 00:00:09.000]  我們看一下明素記十四章二十六節的經文
[00:00:09.000 --> 00:00:11.000]  我們讀出來
[00:00:30.000 --> 00:00:44.000]  因此第一代的以色列人不能進入迦南地
[00:00:44.000 --> 00:00:51.000]  所以他們只能在曠野流浪
[00:00:51.000 --> 00:00:56.000]  足足流浪了四十年
[00:00:56.000 --> 00:01:01.000]  經過了大約四十年的時間
[00:01:01.000 --> 00:01:04.000]  摩西死了
[00:01:04.000 --> 00:01:15.000]  耶和華神為了要兌現他對以色列人祖宗亞伯拉罕的應許
[00:01:15.000 --> 00:01:25.000]  這個應許就是幫助以色列人渡過約旦河進入迦南地
[00:01:25.000 --> 00:01:32.000]  讓他們可以承受那裏的地方成為他們的產業
[00:01:32.000 --> 00:01:43.000]  於是神就對摩西的幫手約書亞說
[00:01:43.000 --> 00:01:46.000]  第五節到第七節第一章
[00:01:46.000 --> 00:01:52.000]  你平生的日子必無一人能在你面前站立得住
[00:01:52.000 --> 00:01:56.000]  我怎樣與摩西同在也必照樣與你同在
[00:01:56.000 --> 00:02:00.000]  我必不撇下你也不丟棄你
[00:02:00.000 --> 00:02:06.000]  你當剛強壯膽因為你必使這百姓承受那地為業
[00:02:06.000 --> 00:02:11.000]  就是我向他們列祖啟示應許賜給他們的地
[00:02:11.000 --> 00:02:19.000]  只要剛強大大的壯膽謹守遵行我僕人摩西所吩咐你一切的律法
[00:02:19.000 --> 00:02:26.000]  不可撇你左右使你無論往哪裏去都可以順利
[00:02:26.000 --> 00:02:32.000]  耶和華把一個任務交給約書亞
[00:02:32.000 --> 00:02:38.000]  可以告訴我約書亞的任務是什麼呢
[00:02:38.000 --> 00:02:45.000]  在剛才那幾節聖經當中
[00:02:45.000 --> 00:02:51.000]  我們返回上一節看看
[00:02:51.000 --> 00:02:54.000]  大家看到嗎
[00:02:54.000 --> 00:03:01.000]  約書亞的任務是什麼
[00:03:01.000 --> 00:03:12.000]  你必使這百姓承受那地為業
[00:03:12.000 --> 00:03:23.000]  留意到神首先應許他必與約書亞同在
[00:03:23.000 --> 00:03:30.000]  人如果有神的同在就大有能力
[00:03:30.000 --> 00:03:38.000]  也必不會被神丟棄
[00:03:38.000 --> 00:03:45.000]  為了要完成神所教託的任務
[00:03:45.000 --> 00:03:50.000]  約書亞就應該做兩件事
[00:03:50.000 --> 00:04:05.000]  就是首先要剛強壯膽
[00:04:05.000 --> 00:04:10.000]  有沒有留意到這個字詞在短短兩節裏已經出現了兩次
[00:04:10.000 --> 00:04:16.000]  有沒有留意到這兩個字詞在短短兩節的經文裏出現了兩次呢
[00:04:16.000 --> 00:04:21.000]  第二個他要做的事就是要謹守遵行摩西的律法
[00:04:21.000 --> 00:04:25.000]  第二就是他要謹守遵行摩西的律法
[00:04:25.000 --> 00:04:31.000]  是遵行摩西一切的律法
[00:04:31.000 --> 00:04:35.000]  接著我們看第九節
[00:04:35.000 --> 00:04:37.000]  我岐沒有吩咐你嗎
[00:04:37.000 --> 00:04:42.000]  你當剛強壯膽不要懼怕也不要驚慌
[00:04:42.000 --> 00:04:48.000]  因為你無論往那裏去也好你的神必與你同在
[00:04:48.000 --> 00:04:52.000]  到了第九節神是第三次吩咐約書亞
[00:04:52.000 --> 00:04:54.000]  你當剛強壯膽
[00:04:54.000 --> 00:04:58.000]  到了第九節神第三次吩咐約書亞
[00:04:58.000 --> 00:05:00.000]  你當剛強壯膽
[00:05:00.000 --> 00:05:04.000]  可見人如果要達成神的吩咐或者託付
