
[00:00:00.000 --> 00:00:03.000]  耶穌願禰那個願人豐盛
[00:00:03.000 --> 00:00:08.560]  那個愛深深的臨在這間教會
[00:00:08.560 --> 00:00:10.200]  在這個地上
[00:00:10.200 --> 00:00:11.720]  讓每一個人
[00:00:11.720 --> 00:00:14.120]  無論相信還是沒相信禰的
[00:00:14.120 --> 00:00:19.320]  都感受到主禰為他們犧牲的愛
[00:00:19.320 --> 00:00:24.800]  耶穌我願禰今天親自在這裡向我們說話
[00:00:24.800 --> 00:00:28.120]  讓我們再一次在這個殿當中
[00:00:28.120 --> 00:00:30.520]  感受到禰的同在
[00:00:30.520 --> 00:00:33.320]  我們與禰有一個接觸
[00:00:33.320 --> 00:00:36.120]  我們祈禱敬拜交托
[00:00:36.120 --> 00:00:39.520]  奉獻是奉耶穌基督得勝的明子祈求
[00:00:39.520 --> 00:00:40.320]  阿們
[00:00:40.320 --> 00:00:41.920]  好請坐
[00:00:41.920 --> 00:00:48.520]  現在科技真的很快
[00:00:48.520 --> 00:00:52.120]  如果大家有獎賞的
[00:00:52.120 --> 00:00:54.120]  你會發現很多的祝福
[00:00:54.120 --> 00:00:56.120]  今天看都看不明白
[00:00:56.120 --> 00:00:58.120]  有一個區裡面寫的祝福
[00:00:58.120 --> 00:01:00.120]  是用圖像去表達
[00:01:00.120 --> 00:01:01.120]  我都不太明白
[00:01:01.120 --> 00:01:02.120]  總之就很棒
[00:01:02.120 --> 00:01:04.120]  新年嘛
[00:01:04.120 --> 00:01:06.120]  祝福不怕多
[00:01:06.120 --> 00:01:08.120]  陳牧師已經用了我的祝福了
[00:01:08.120 --> 00:01:10.120]  我就不用祝福了
[00:01:10.120 --> 00:01:12.120]  在我們崇拜程序表裡
[00:01:12.120 --> 00:01:13.120]  在我的講道里
[00:01:13.120 --> 00:01:15.120]  我覺得第一個就是要和大家祝福
[00:01:15.120 --> 00:01:17.120]  就是用了祭祀的祝福
[00:01:17.120 --> 00:01:19.120]  大家可以打開程序表
[00:01:19.120 --> 00:01:20.120]  再來一次
[00:01:20.120 --> 00:01:23.120]  其實剛才那個比較原文一點
[00:01:23.120 --> 00:01:25.120]  我們用一些生活化的話
[00:01:25.120 --> 00:01:27.120]  騷政已經拿了
[00:01:27.120 --> 00:01:29.120]  因為騷政祝福你
