
[00:00:00.000 --> 00:00:03.600]  如果讓你去介紹自己,你會怎樣介紹?
[00:00:03.600 --> 00:00:05.480]  又不會傳咪高峰給你
[00:00:05.480 --> 00:00:08.240]  但是我們每個人都會有自己的名字
[00:00:08.240 --> 00:00:12.440]  可能你都會說一下你的工作是什麼
[00:00:12.440 --> 00:00:17.080]  如果我介紹羅牧師是在神學院教宣教的
[00:00:17.080 --> 00:00:26.280]  神學院教宣教的宣教科老師的職份是做什麼的?
[00:00:26.280 --> 00:00:29.520]  培育、訓練、宣教的工人
[00:00:29.520 --> 00:00:33.000]  其實原來我們每一個人不只是我們的名字
[00:00:33.000 --> 00:00:37.280]  不只是我們的title、我們的位份
[00:00:37.280 --> 00:00:38.640]  不只是我們的職業
[00:00:38.640 --> 00:00:42.240]  其實通常我們的職業、我們的身份
[00:00:42.240 --> 00:00:47.160]  是跟我們帶有一份的使命息息相關的
[00:00:47.160 --> 00:00:48.840]  是緊扣的
[00:00:48.840 --> 00:00:50.360]  譬如我們有老師
[00:00:50.360 --> 00:00:52.240]  老師是個身份
[00:00:52.240 --> 00:00:55.600]  老師的使命就是作育、應才
[00:00:55.600 --> 00:00:57.280]  教好你要教的書
[00:00:57.280 --> 00:00:58.520]  我們有消防員
[00:00:58.520 --> 00:01:01.360]  消防員的身份
[00:01:01.360 --> 00:01:02.960]  消防員的身份是做什麼的?
[00:01:02.960 --> 00:01:04.840]  使命是什麼?
[00:01:04.840 --> 00:01:06.560]  救火、救人
[00:01:06.560 --> 00:01:11.600]  所以我們的身份其實是跟我們的使命緊扣著的
[00:01:11.600 --> 00:01:13.440]  是息息相關的
[00:01:13.440 --> 00:01:14.600]  就是說
[00:01:14.600 --> 00:01:19.440]  如果我們的身份跟我們的使命脫勾的話
[00:01:19.440 --> 00:01:21.080]  那有什麼後果呢?
[00:01:21.080 --> 00:01:23.120]  說笑而已
[00:01:23.120 --> 00:01:28.680]  我們上一代有時候小時候去沙灘
[00:01:28.680 --> 00:01:31.960]  沙灘裡面會有個救生員的那個叫做
[00:01:31.960 --> 00:01:33.920]  救生員的那個塔
[00:01:33.920 --> 00:01:37.560]  小時候看譚詠麟的電影
[00:01:37.560 --> 00:01:39.760]  救生員塔上面那些
[00:01:39.760 --> 00:01:42.920]  男孩子的救生員在那裡做些什麼的?
[00:01:42.920 --> 00:01:44.040]  在那裡看女孩子
[00:01:44.040 --> 00:01:46.040]  就是這樣說而已
[00:01:46.040 --> 00:01:47.680]  脫勾啊!你明白嗎?
[00:01:47.680 --> 00:01:49.480]  他明明有個身份的
[00:01:49.480 --> 00:01:50.920]  他有個使命的
[00:01:50.920 --> 00:01:55.320]  但是他可以忘記了那個使命的
[00:01:55.320 --> 00:01:56.480]  又再說一下
[00:01:56.480 --> 00:01:59.400]  身份是有長有短的
[00:01:59.400 --> 00:02:04.720]  譬如我今早是沙灘的崇拜港員
[00:02:04.720 --> 00:02:09.040]  那我這個身份多久呢?會持續
[00:02:09.040 --> 00:02:10.320]  下個禮拜當然沒有我的身份
[00:02:10.320 --> 00:02:12.560]  其實兩個小時後已經沒有我的身份了
[00:02:12.560 --> 00:02:14.120]  是會expire的
[00:02:14.120 --> 00:02:15.440]  是會完的
[00:02:15.440 --> 00:02:16.240]  那個身份
[00:02:16.240 --> 00:02:17.120]  我以前呢
[00:02:17.120 --> 00:02:18.640]  現在是神學院教書
[00:02:18.640 --> 00:02:20.720]  現在在聯會那裡做總幹事
[00:02:20.720 --> 00:02:22.120]  我以前呢
[00:02:22.120 --> 00:02:23.080]  我很小的時候開始
[00:02:23.080 --> 00:02:24.760]  我二十二歲開始傳道
[00:02:24.760 --> 00:02:26.080]  雖然說有二十多年傳道
[00:02:26.080 --> 00:02:28.040]  但現在還是四十多歲
[00:02:28.040 --> 00:02:29.320]  是不是很感恩?
[00:02:29.320 --> 00:02:30.960]  我二十二歲開始傳道
[00:02:30.960 --> 00:02:32.440]  我頭十九年
[00:02:32.440 --> 00:02:36.280]  我就在福音前線那裡做宣教的工作
[00:02:36.280 --> 00:02:38.480]  十九年長還是短?
[00:02:38.480 --> 00:02:39.520]  OK啦!是吧?
[00:02:39.520 --> 00:02:41.760]  也有上一年日
[00:02:41.760 --> 00:02:43.480]  但是都會完的
