
[00:00:00.000 --> 00:00:06.000]  領召會 午安 新年快樂
[00:00:06.000 --> 00:00:13.000]  我想問問大家 新年期間 最多人恭喜你們些甚麼
[00:00:13.000 --> 00:00:17.000]  有多少人被人恭喜過發財的舉手
[00:00:17.000 --> 00:00:21.000]  嘩 那有多少個發財的舉手
[00:00:21.000 --> 00:00:25.000]  很難是吧 因為是利是
[00:00:25.000 --> 00:00:29.000]  還有呢 恭喜你甚麼
[00:00:29.000 --> 00:00:33.000]  身體健康 有多少人恭喜你身體健康的舉手
[00:00:33.000 --> 00:00:35.000]  不要吃製了
[00:00:35.000 --> 00:00:40.000]  還有 出入平安 有多少人有恭喜過你出入平安
[00:00:40.000 --> 00:00:44.000]  舉手 這麼少嗎
[00:00:44.000 --> 00:00:46.000]  很需要平安
[00:00:46.000 --> 00:00:50.000]  我們發覺到新年期間 恭喜我們那些東西
[00:00:50.000 --> 00:00:56.000]  和我們恭喜人那些 絕大部份是接受的東西
[00:00:56.000 --> 00:01:00.000]  同意嗎 去拿的 去有的
[00:01:00.000 --> 00:01:05.000]  有沒有人恭喜你斯比壽更為有福
[00:01:05.000 --> 00:01:08.000]  有的舉手
[00:01:08.000 --> 00:01:10.000]  沒有
[00:01:10.000 --> 00:01:14.000]  我今天是用聖經的 恭喜
[00:01:14.000 --> 00:01:19.000]  和大家分享 到底我們應該恭喜甚麼
[00:01:19.000 --> 00:01:23.000]  我們先做一個禱告
[00:01:23.000 --> 00:01:26.000]  親愛的主耶穌 多謝祢
[00:01:26.000 --> 00:01:29.000]  由歲首到年終
[00:01:29.000 --> 00:01:32.000]  祢的愛常常顧念我們的需要
[00:01:32.000 --> 00:01:34.000]  從沒有離開過我們
[00:01:34.000 --> 00:01:37.000]  我們為一切感恩
[00:01:37.000 --> 00:01:40.000]  求祢幫助我們 因為這樣的緣故
[00:01:40.000 --> 00:01:45.000]  亦都有一個願意回報祢恩典的心
[00:01:45.000 --> 00:01:50.000]  帶領我們 當我們去到神的話語裏面的時候
[00:01:50.000 --> 00:01:55.000]  更加清楚 祢要我們追求的是甚麼
[00:01:55.000 --> 00:01:59.000]  保守我們的心 奉耶穌基督的名字
[00:01:59.000 --> 00:02:01.000]  各位電影姐妹
[00:02:01.000 --> 00:02:05.000]  希伯來書 今天我們去到最後一章
[00:02:05.000 --> 00:02:08.000]  和大家分享十三章
[00:02:08.000 --> 00:02:12.000]  書信都有一個特定的格式
[00:02:12.000 --> 00:02:16.000]  就是開頭的部份是教義為主
[00:02:16.000 --> 00:02:20.000]  到後半段就是生活為主
[00:02:20.000 --> 00:02:23.000]  開頭的部份是和我們的生命有關
[00:02:23.000 --> 00:02:27.000]  即是我們怎樣得到豐盛的人生
[00:02:27.000 --> 00:02:29.000]  是得方面有關
[00:02:29.000 --> 00:02:32.000]  到後半段是生活有關
[00:02:32.000 --> 00:02:34.000]  是我們的付出有關
[00:02:34.000 --> 00:02:39.000]  是因為這樣 我們看到整個保羅的書信也好
[00:02:39.000 --> 00:02:41.000]  一般的書信 普通的書信也好
[00:02:41.000 --> 00:02:44.000]  都是按著這個特定的格式
