
[00:00:00.000 --> 00:00:06.800]  今天分享的這段經文是在馬可福音5:21-43
[00:00:06.800 --> 00:00:10.220]  但是如果我們很熟悉聖經的時候
[00:00:10.220 --> 00:00:15.300]  我們會知道這段經文的其中一個故事
[00:00:15.300 --> 00:00:20.000]  艾魯的女兒快要離開的時候
[00:00:20.000 --> 00:00:25.540]  這段故事也會在路加福音記載
[00:00:25.540 --> 00:00:30.840]  但是為什麼在福音書裏面
[00:00:30.840 --> 00:00:32.840]  雖然是同一段經文
[00:00:32.840 --> 00:00:37.880]  但是馬可的技術或多或少有些許不同
[00:00:37.880 --> 00:00:43.800]  並且要將12年患血流病的女人這件事
[00:00:43.800 --> 00:00:46.040]  很黏連地放在這裏
[00:00:46.040 --> 00:00:48.480]  是有它的意思在當中
[00:00:48.480 --> 00:00:51.180]  我在這裏起了一個題目
[00:00:51.180 --> 00:00:56.280]  兩極黏於基督就是一個方華正茂
[00:00:56.280 --> 00:00:58.020]  不應該說是方華正茂
[00:00:58.020 --> 00:01:00.760]  應該說是一個錢包待放的少女
[00:01:00.760 --> 00:01:04.880]  她去著她父母的希望
[00:01:04.880 --> 00:01:06.980]  一直進化的時候突如其來
[00:01:06.980 --> 00:01:08.900]  人生裏有一個風暴
[00:01:08.900 --> 00:01:10.900]  她也不知道要面臨死亡
[00:01:10.900 --> 00:01:17.740]  同樣地一個本來是方華正茂的女性
[00:01:17.740 --> 00:01:19.540]  因著12年患血流病
[00:01:19.540 --> 00:01:22.400]  她就圓華盡逝去到絕望當中
[00:01:22.400 --> 00:01:25.840]  但是無論身處在什麼處境也好
[00:01:25.840 --> 00:01:30.040]  她們都在同一個點遇見耶穌
[00:01:30.040 --> 00:01:36.960]  其實我們的生命真正需要什麼呢?
[00:01:36.960 --> 00:01:39.120]  我們以為自己很清楚
[00:01:39.120 --> 00:01:40.820]  我們生命需要什麼
[00:01:40.820 --> 00:01:43.220]  或者信仰當我們祈求上帝的時候
[00:01:43.220 --> 00:01:46.380]  我們以為自己很清楚我們需要什麼東西
[00:01:46.380 --> 00:01:50.100]  但其實我們真正的需要或者生命需要的東西
[00:01:50.100 --> 00:01:52.100]  我們未必知道
[00:01:52.100 --> 00:01:54.800]  但是透過禱告
[00:01:54.800 --> 00:01:57.360]  透過有很多種種的事件
[00:01:57.360 --> 00:01:59.360]  與耶穌基督相遇的時候
[00:01:59.360 --> 00:02:03.520]  我們本來只是去到這個地步
[00:02:03.520 --> 00:02:06.800]  但是當我們與耶穌相會的時候
[00:02:06.800 --> 00:02:10.700]  耶穌就會帶我們進入不同的地步
[00:02:10.700 --> 00:02:12.860]  同樣地在聖經裏面
[00:02:12.860 --> 00:02:19.480]  這兩個主角可能他們的生命只是想著好起來
[00:02:19.480 --> 00:02:26.860]  又或者能夠讓他回復某些地位
[00:02:26.860 --> 00:02:29.880]  但是耶穌希望他的生命
[00:02:29.880 --> 00:02:33.720]  不只是限制於他所想的
[00:02:33.720 --> 00:02:39.360]  而是上帝讓他可以開闊他的眼界
[00:02:39.360 --> 00:02:42.660]  這段經文《馬可福音》第五章
[00:02:42.660 --> 00:02:45.200]  與之前第四章
[00:02:45.200 --> 00:02:49.120]  耶穌到理海、平靜風和海
[00:02:49.120 --> 00:02:52.700]  和去到格拉森人的地方
[00:02:52.700 --> 00:02:57.800]  趕走群鬼的一段經文息息相關
[00:02:57.800 --> 00:03:01.200]  因為有很多動詞、有很多字句
[00:03:01.200 --> 00:03:03.200]  都是很連接的
[00:03:03.200 --> 00:03:04.840]  為什麼我這樣說呢?
[00:03:04.840 --> 00:03:08.840]  第一就是祈求、央求這個字
[00:03:08.840 --> 00:03:13.200]  因為當耶穌去到格拉森人的地方
[00:03:13.200 --> 00:03:16.580]  鬼就央求耶穌離開
[00:03:16.580 --> 00:03:22.020]  同樣地那群格拉森人也央求耶穌離開他們
[00:03:22.020 --> 00:03:23.880]  所以「求」這個字
[00:03:23.880 --> 00:03:28.280]  就是串連在第四章、第五章
[00:03:28.280 --> 00:03:29.520]  而那個祈求
[00:03:29.520 --> 00:03:34.800]  他們也不知道為什麼耶穌基督在他們身上作出好事
[00:03:34.800 --> 00:03:38.160]  這群格拉森人要求耶穌離開
[00:03:38.160 --> 00:03:40.760]  所以鬼也求耶穌離開
[00:03:40.760 --> 00:03:42.580]  人也求耶穌離開
[00:03:42.580 --> 00:03:44.380]  你說是不是很有趣呢?
[00:03:44.380 --> 00:03:45.400]  同樣地
[00:03:45.400 --> 00:03:49.200]  那群人看到格拉森人被鬼附的人
[00:03:49.200 --> 00:03:50.880]  他們心裡明白了
[00:03:50.880 --> 00:03:52.100]  即是回復正常
[00:03:52.100 --> 00:03:56.100]  而這個被耶穌治好的人
[00:03:56.100 --> 00:03:58.440]  這個從前被鬼附的人
[00:03:58.440 --> 00:03:59.980]  他也求耶穌
[00:03:59.980 --> 00:04:01.200]  他求耶穌做什麼呢?
[00:04:01.200 --> 00:04:04.660]  求耶穌讓他可以跟從祂
[00:04:04.660 --> 00:04:09.280]  但是耶穌也不依照著祂自己的心願
[00:04:09.280 --> 00:04:12.360]  要讓他有更大的使命
[00:04:12.360 --> 00:04:13.260]  是怎樣呢?
[00:04:13.260 --> 00:04:14.680]  回到他家裡
[00:04:14.680 --> 00:04:19.460]  因為他家裡已經很久沒有擁有這個兒子了
[00:04:19.460 --> 00:04:23.500]  並且這個常住在格拉森的墳營的地方
[00:04:23.500 --> 00:04:27.180]  後來聖經的《馬可福音》
[00:04:27.180 --> 00:04:28.140]  怎樣記載呢?
[00:04:28.140 --> 00:04:30.860]  他從這個墳營這個好笑的地方
[00:04:30.860 --> 00:04:32.220]  走遍底加玻利
