
[00:00:00.000 --> 00:00:08.840]  早安,兄弟姊妹,父母,祖父母,孩子,年輕人,所有人!
[00:00:08.840 --> 00:00:14.300]  兄弟姊妹,朋友,祖父母,父母,所有小朋友,早安!
[00:00:14.300 --> 00:00:16.840]  早安!
[00:00:16.840 --> 00:00:23.900]  哇,真是太高興了,我們可以讓所有人一起在這裏敬拜神!
[00:00:23.900 --> 00:00:29.700]  我們實在很高興,我們今天可以一起來到這裏,敬拜神!
[00:00:29.700 --> 00:00:34.600]  I remember last time when I was here, it was the Thanksgiving day.
[00:00:34.600 --> 00:00:39.000]  我記得上次來的時候,就是上年的感恩節。
[00:00:39.000 --> 00:00:46.400]  I was so touching to see family members worship together as one big group.
[00:00:46.400 --> 00:00:52.400]  我們見到不同的家庭,就是同一個 unit 一齊去敬拜神,實在令我好感動。
[00:00:52.400 --> 00:00:55.600]  Today I witnessed that again here today.
[00:00:55.600 --> 00:00:57.400]  今天我又再次見到了。
[00:00:57.400 --> 00:01:02.300]  Last time especially, I was so touched that when I see everyone,
[00:01:02.300 --> 00:01:07.400]  the adults are laying hands on the children and youth to say a blessing on them.
[00:01:07.400 --> 00:01:10.600]  上次你記不記得,我們見到有祖父母,有父母,
[00:01:10.600 --> 00:01:14.500]  把祂的手按在我們的小朋友上面去祝福他們。
[00:01:14.500 --> 00:01:19.000]  But it is regardless of if they are blood related.
[00:01:19.000 --> 00:01:25.200]  Some adults, they don't have children around, or youth, they don't have any parents around them.
[00:01:25.200 --> 00:01:30.600]  They still get the blessing from someone in this big family to lay hands on them.
[00:01:30.600 --> 00:01:34.100]  但是這個祝福的關係不止於一個血緣關係,
[00:01:34.100 --> 00:01:37.900]  因為我們知道有一些弟兄姊妹說他們沒有小朋友,
[00:01:37.900 --> 00:01:42.500]  但是他們仍然用他們的手按在下一代,去祝福他們。
[00:01:42.500 --> 00:01:47.500]  That is to show God's love among us like one big family.
[00:01:47.500 --> 00:01:49.100]  Let's say praise the Lord together.
[00:01:49.100 --> 00:01:53.500]  就是這樣見到我們神的祝福在我們中間,我們一起說讚美主。
[00:01:53.500 --> 00:01:55.700]  Praise the Lord.
[00:01:55.700 --> 00:01:58.500]  Very good. And today we are going to do that again.
