
[00:00:00.000 --> 00:00:02.640]  啟示錄第1到第3章告訴我們
[00:00:02.640 --> 00:00:03.480]  司徒約翰說
[00:00:03.480 --> 00:00:06.040]  神叫他寫信給當時七間教會
[00:00:06.040 --> 00:00:10.000]  向他們宣告神的稱讚、鼓勵和斥責
[00:00:10.000 --> 00:00:12.000]  然後在啟示錄第4、第5章
[00:00:12.000 --> 00:00:14.000]  我們看到約翰向我們展示
[00:00:14.000 --> 00:00:15.560]  在將來永恆的時刻
[00:00:15.560 --> 00:00:18.760]  所有屬於神的人都要聚集在天上
[00:00:18.760 --> 00:00:21.360]  在神面前一同歡欣敬拜
[00:00:21.360 --> 00:00:24.880]  讚頌那位滿有榮耀的三一真神
[00:00:24.880 --> 00:00:26.600]  然後到啟示錄第6章
[00:00:26.600 --> 00:00:27.560]  我們開始看到
[00:00:27.560 --> 00:00:31.480]  是我們常常經常說的七印七號七腕的開始
[00:00:31.480 --> 00:00:34.000]  啟示錄第6章出現了
[00:00:34.000 --> 00:00:35.520]  代表災難來臨的七印
[00:00:35.520 --> 00:00:38.440]  然後在啟示錄第7章是一個插曲
[00:00:38.440 --> 00:00:41.720]  提到在末後災難當中受苦的基督徒
[00:00:41.720 --> 00:00:43.280]  他們自終會得勝
[00:00:43.280 --> 00:00:47.120]  並且好像啟示錄第4、第5章的描述一樣
[00:00:47.120 --> 00:00:49.280]  會和所有歷世歷代
[00:00:49.280 --> 00:00:51.200]  來自各民各族各方的信徒
[00:00:51.200 --> 00:00:52.720]  一起敬拜那位愛他們的神
[00:00:52.720 --> 00:00:53.520]  就是說在末後
[00:00:53.520 --> 00:00:54.680]  在很多災難當中
[00:00:54.680 --> 00:00:56.120]  仍然有很多基督徒堅持他們的信仰
[00:00:56.120 --> 00:00:56.880]  他們是得勝的
[00:00:56.880 --> 00:00:58.960]  於是他們和歷世歷代
[00:00:58.960 --> 00:00:59.920]  可能在災難
[00:00:59.920 --> 00:01:01.400]  可能在順暢的環境當中
[00:01:01.400 --> 00:01:02.120]  信主的人
[00:01:02.120 --> 00:01:04.800]  我們一起都在天上來敬拜這位主
[00:01:04.800 --> 00:01:08.240]  然後上星期
[00:01:08.240 --> 00:01:09.600]  或者說應該前一個星期
[00:01:09.600 --> 00:01:10.880]  因為上星期是福音送拜
[00:01:10.880 --> 00:01:12.800]  前個星期我們進入啟示錄的7號
[00:01:12.800 --> 00:01:15.880]  在啟示錄第8章第6節
[00:01:15.880 --> 00:01:17.560]  是這樣記載
[00:01:17.560 --> 00:01:20.520]  他說拿著七支浩蟲的七位天使
[00:01:20.520 --> 00:01:21.920]  預備好要吹號
[00:01:21.920 --> 00:01:23.960]  前面我們看到
[00:01:23.960 --> 00:01:26.560]  已經說了第一到第四支浩蟲吹響的時候
[00:01:26.560 --> 00:01:28.480]  出現了的災難
[00:01:28.480 --> 00:01:29.680]  如果我們記得
[00:01:29.680 --> 00:01:30.840]  一至四號的災難
[00:01:30.840 --> 00:01:32.520]  說的是自然界的災難
[00:01:32.520 --> 00:01:34.520]  今天我們看這段經文
[00:01:34.520 --> 00:01:35.480]  如果我們剛才讀的時候
[00:01:35.480 --> 00:01:36.320]  我們發覺
[00:01:36.320 --> 00:01:38.600]  這第五支浩蟲吹響的時候
[00:01:38.600 --> 00:01:41.440]  當中的災難
[00:01:41.440 --> 00:01:42.400]  不再是大自然
[00:01:42.400 --> 00:01:43.640]  就是不再是我們生外
[00:01:43.640 --> 00:01:46.360]  這個災難好像是在說
[00:01:46.360 --> 00:01:49.480]  是和我們人有關
[00:01:49.480 --> 00:01:54.520]  當約翰聽到第五支浩蟲吹響之後
[00:01:55.200 --> 00:01:57.120]  他就看見一顆星
[00:01:57.120 --> 00:02:00.000]  從天上墜落到地上
[00:02:00.000 --> 00:02:01.680]  關於這顆星
[00:02:01.680 --> 00:02:03.280]  歷史上有不同的簡介
[00:02:03.280 --> 00:02:04.680]  不同的學者有不同的看法
[00:02:04.680 --> 00:02:07.800]  但我只要選最多人
[00:02:07.800 --> 00:02:08.680]  或者最有說服力
[00:02:08.680 --> 00:02:10.360]  或者普遍比較接受的
[00:02:10.360 --> 00:02:12.040]  都認為這顆星
[00:02:12.040 --> 00:02:14.720]  是似墜落的天使
[00:02:14.720 --> 00:02:15.280]  撒旦
[00:02:15.280 --> 00:02:16.280]  當然我們聽過的
[00:02:16.280 --> 00:02:17.040]  有些人覺得
[00:02:17.040 --> 00:02:18.080]  沒理由是撒旦的
[00:02:18.080 --> 00:02:19.240]  就是沒理由給一根鑰匙
[00:02:19.240 --> 00:02:20.360]  開墓對坑的
[00:02:20.360 --> 00:02:21.200]  應該是天使
[00:02:21.200 --> 00:02:21.880]  但是
[00:02:21.880 --> 00:02:23.480]  普遍大部分人都接受
