
[00:00:00.000 --> 00:00:01.820]  戴英智媒主內平安
[00:00:01.820 --> 00:00:07.380]  我們看聖經有兩個方法
[00:00:07.380 --> 00:00:10.400]  上個星期都講過,你可以微觀
[00:00:10.400 --> 00:00:12.140]  也可以宏觀
[00:00:12.140 --> 00:00:15.680]  微觀就是我們每一章、每節
[00:00:15.680 --> 00:00:18.900]  甚至每個字,我們都去分析
[00:00:18.900 --> 00:00:22.240]  這個都是一個很好的學習
[00:00:22.240 --> 00:00:25.300]  因為你可以看看聖經不同的版本
[00:00:25.300 --> 00:00:29.260]  甚至如果你懂的話,可以看看聖經的原文
[00:00:29.320 --> 00:00:33.020]  大家知道舊約原文就是希伯來文
[00:00:33.020 --> 00:00:34.900]  新約就是希臘文
[00:00:34.900 --> 00:00:38.880]  我們可以看看究竟原意,作者的原意是甚麼
[00:00:38.880 --> 00:00:42.720]  但有時太過微觀
[00:00:42.720 --> 00:00:46.640]  我們站得太近,站得太近看的東西就不夠闊
[00:00:46.640 --> 00:00:49.740]  很多時候我們有一個很大的問題
[00:00:49.740 --> 00:00:51.880]  就是我們變了斷章取義
[00:00:51.880 --> 00:00:55.060]  拿過一個字,拿過一句就去解讀
[00:00:55.060 --> 00:00:57.540]  用自己的方法去解讀
[00:00:57.540 --> 00:01:01.580]  就說這就是上帝和我們說的說話
[00:01:01.580 --> 00:01:03.500]  未必是對的
[00:01:03.500 --> 00:01:07.620]  宏觀也有一個好處,就是你可以退後幾步
[00:01:07.620 --> 00:01:11.700]  你可以看看整個的大環境
[00:01:11.700 --> 00:01:14.260]  究竟今天上帝和我們說了甚麼說話
[00:01:14.260 --> 00:01:18.940]  說到你未記,很多時候我們覺得上帝都不是在和我們說說話
[00:01:18.940 --> 00:01:22.700]  他的憲制其實對我們意義不大
[00:01:22.700 --> 00:01:26.120]  大家剛才看希伯來書最後那一節
[00:01:26.120 --> 00:01:29.240]  我看了最後一節,我們說到
[00:01:29.240 --> 00:01:32.380]  不需要再為這些東西
[00:01:32.380 --> 00:01:35.260]  去憲制了,不需要為罪憲制了
[00:01:35.260 --> 00:01:39.780]  既然不需要的話,究竟我們還在看你未記做甚麼
