
[00:00:00.000 --> 00:00:05.120]  很多基督徒很羨慕聖經裏面的一些屬靈、偉人
[00:00:05.120 --> 00:00:08.440]  譬如舊約的阿伯拉罕
[00:00:08.440 --> 00:00:11.260]  或者新約的始童保羅
[00:00:11.260 --> 00:00:15.880]  如果我的生命好像他們般燦爛
[00:00:15.880 --> 00:00:20.740]  所以我今日要跟大家分享一個題目
[00:00:20.740 --> 00:00:24.580]  你怎樣可以念到你的屬靈生命好像他們一樣呢?
[00:00:24.580 --> 00:00:28.920]  如果你看那些偉人
[00:00:29.180 --> 00:00:33.780]  其實你會發現他們的生命有很多跌宕
[00:00:33.780 --> 00:00:36.100]  有強項、有弱點
[00:00:36.100 --> 00:00:39.680]  有些弱點比你的弱點更嚴峻
[00:00:39.680 --> 00:00:41.200]  但他們都練成
[00:00:41.200 --> 00:00:44.020]  他們可以做,你都可以
[00:00:44.020 --> 00:00:50.680]  如果你將這個屬靈生命比喻為屬靈武功
[00:00:50.680 --> 00:00:52.980]  屬靈武功是怎樣練成的呢?
[00:00:52.980 --> 00:00:56.060]  今日我要跟你分享一個秘笈
[00:00:56.060 --> 00:00:58.360]  一個屬靈武功的秘笈
[00:00:58.880 --> 00:01:02.200]  這個秘笈你練成就不得了
[00:01:02.200 --> 00:01:05.020]  你就是登峰造極、爐火純青
[00:01:05.020 --> 00:01:09.120]  這個秘笈只有一招
[00:01:09.120 --> 00:01:11.420]  這招很容易練的
[00:01:11.420 --> 00:01:15.520]  不難,我不敢說很容易練,但每個人都可以練到
[00:01:15.520 --> 00:01:18.840]  無論你是年長或者年幼
[00:01:18.840 --> 00:01:21.400]  無論你是聰明或者愚蠢
[00:01:21.400 --> 00:01:24.220]  無論你是讀書多還是讀書少
[00:01:24.220 --> 00:01:26.020]  無論你是有錢還是沒錢
[00:01:26.020 --> 00:01:27.300]  都沒有分別
[00:01:27.300 --> 00:01:28.580]  都可以練到
[00:01:28.580 --> 00:01:32.680]  所以這個屬靈秘笈是很公平的
[00:01:32.680 --> 00:01:35.740]  這個秘笈不是我自己寫出來的
