
[00:00:00.000 --> 00:00:02.000]  鳳子明問一下電影節目平安
[00:00:02.000 --> 00:00:03.720]  鳳子問一下電影節目平安
[00:00:03.720 --> 00:00:09.480]  我今天跟大家研究《耶利密書》第四章開始
[00:00:09.480 --> 00:00:13.400]  今天和大家研究、研讀《耶利密書》第四章
[00:00:13.400 --> 00:00:15.080]  有幾個分題的
[00:00:15.080 --> 00:00:15.960]  現在第一個分題就是
[00:00:15.960 --> 00:00:18.840]  第一就是《當悔改和警醒》
[00:00:18.840 --> 00:00:21.400]  第一個題目是《當悔改和進行》
[00:00:24.960 --> 00:00:31.960]  星期四(週四)英國大選
[00:00:31.960 --> 00:00:42.160]  文翠珊的保守黨政府和國會議席有大多數
[00:00:42.160 --> 00:00:46.160]  減到少過半數
[00:00:46.160 --> 00:00:49.560]  這個majority government現在成為minority government
[00:00:49.560 --> 00:00:51.800]  這個大多數政府變成一個少數政府
[00:00:53.960 --> 00:00:56.160]  報紙說她豪賭輸了
[00:00:56.160 --> 00:00:58.360]  報紙都說她是豪賭輸了
[00:00:58.360 --> 00:01:00.760]  那我想一想
[00:01:00.760 --> 00:01:03.960]  如果她在大選之前
[00:01:03.960 --> 00:01:08.160]  留意黨內來反對她的聲音
[00:01:08.160 --> 00:01:12.760]  黨內外反對她的聲音
[00:01:12.760 --> 00:01:16.160]  不要提前選舉
[00:01:16.160 --> 00:01:18.160]  她還有兩年好日子過
[00:01:18.160 --> 00:01:20.560]  她應該還有兩年好日子過
[00:01:20.560 --> 00:01:22.560]  那我今天看《Globe and Mail》呢
[00:01:22.560 --> 00:01:24.560]  今天我看這個《郵報》
[00:01:24.560 --> 00:01:25.560]  反對她的情緒呢
[00:01:25.560 --> 00:01:27.560]  反對她的情緒呢
[00:01:27.560 --> 00:01:29.560]  她弄了一個橫幅
[00:01:29.560 --> 00:01:31.560]  橫幅
[00:01:31.560 --> 00:01:33.560]  叫蓬勒
[00:01:33.560 --> 00:01:35.560]  那些很poetic
[00:01:35.560 --> 00:01:38.560]  有英文的寫在上面
[00:01:38.560 --> 00:01:42.560]  Let June be the end of May
[00:01:42.560 --> 00:01:48.560]  讓六月成為May最後的任期
[00:01:48.560 --> 00:01:50.560]  大家明白了嗎
[00:01:50.560 --> 00:01:52.560]  大家明白了嗎
[00:01:52.560 --> 00:01:58.560]  所以那些標題是poetic很漂亮的
[00:01:58.560 --> 00:02:00.560]  就是有些標題非常漂亮
