
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹,我們一起禱告
[00:00:02.000 --> 00:00:05.000]  天父,我們多謝祢,因為祢自己的話語
[00:00:05.000 --> 00:00:07.000]  成為我們的帶領和鼓勵
[00:00:07.000 --> 00:00:10.000]  願祢自己今天也是跟我們講說話
[00:00:10.000 --> 00:00:13.000]  我們這樣禱告,奉耶穌基督的命祈求,下門
[00:00:13.000 --> 00:00:17.000]  繼續去講的時候,上一次就講到
[00:00:17.000 --> 00:00:20.000]  其實在《路加福音》第九章開始
[00:00:20.000 --> 00:00:24.000]  主耶穌就是想去耶路撒冷
[00:00:24.000 --> 00:00:26.000]  所以《路加福音》在某個程度上
[00:00:26.000 --> 00:00:30.000]  就好像是一段延伸了的
[00:00:30.000 --> 00:00:34.000]  講到主耶穌想去耶路撒冷受死的
[00:00:34.000 --> 00:00:38.000]  一個祭罪的行程
[00:00:38.000 --> 00:00:42.000]  在這個行程當中
[00:00:42.000 --> 00:00:46.000]  上一次也都講到主耶穌的心
[00:00:46.000 --> 00:00:49.000]  是很迫切的,因為祂知道
[00:00:49.000 --> 00:00:52.000]  這個福音所帶來的,雖然會挑起紛爭
[00:00:52.000 --> 00:00:56.000]  好像令到地上燒起來
[00:00:56.000 --> 00:00:58.000]  但是這個是一個煉靜的過程
[00:00:58.000 --> 00:01:01.000]  將人的生命可以煉靜,可以預備好
[00:01:01.000 --> 00:01:05.000]  接受神所帶來的救贖
[00:01:05.000 --> 00:01:07.000]  今天我們繼續講的時候
[00:01:07.000 --> 00:01:11.000]  你看回這裡,繼續承接之前所講
[00:01:11.000 --> 00:01:13.000]  祂說耶穌往耶路撒冷去
[00:01:13.000 --> 00:01:16.000]  繼續是,所以祂不是一次的提及
[00:01:16.000 --> 00:01:18.000]  在《路加福音》不斷的提及
[00:01:18.000 --> 00:01:21.000]  其實這個是耶穌的行程
[00:01:21.000 --> 00:01:26.000]  祂好像是最後上耶路撒冷那段路
[00:01:26.000 --> 00:01:29.000]  是一個用放大鏡的角度
[00:01:29.000 --> 00:01:31.000]  來給我們去看
[00:01:31.000 --> 00:01:33.000]  主耶穌怎樣去預備
[00:01:33.000 --> 00:01:36.000]  上耶路撒冷,上十字架呢
[00:01:36.000 --> 00:01:38.000]  而在這個預備的過程當中
[00:01:38.000 --> 00:01:41.000]  祂有什麼要去交代
[00:01:41.000 --> 00:01:43.000]  要去記錄下來
[00:01:43.000 --> 00:01:45.000]  希望我們明白的呢
[00:01:45.000 --> 00:01:50.000]  你知道當你走到最後一程路的時候
[00:01:50.000 --> 00:01:54.000]  要離別,或者要離開
[00:01:54.000 --> 00:01:57.000]  你是將最重要的東西
[00:01:57.000 --> 00:02:01.000]  都希望是給人去交代
[00:02:01.000 --> 00:02:03.000]  交代得清楚,對不對
[00:02:03.000 --> 00:02:07.000]  其實有類似這樣的意境
[00:02:07.000 --> 00:02:09.000]  有類似這樣的情況
[00:02:09.000 --> 00:02:11.000]  所以這一段的路
[00:02:11.000 --> 00:02:13.000]  主耶穌希望在《路加福音》這裡
[00:02:13.000 --> 00:02:16.000]  是想我們去明白
[00:02:16.000 --> 00:02:18.000]  在這個過程當中
[00:02:18.000 --> 00:02:20.000]  今天所讀這段經文
[00:02:20.000 --> 00:02:23.000]  有些都頗有趣
[00:02:23.000 --> 00:02:25.000]  祂就說到在路上
[00:02:25.000 --> 00:02:27.000]  當然主耶穌一路
[00:02:27.000 --> 00:02:31.000]  祂不只是走一段旅程
[00:02:31.000 --> 00:02:32.000]  祂去到哪裡
[00:02:32.000 --> 00:02:36.000]  祂也會去各城各鄉教訓人
[00:02:36.000 --> 00:02:37.000]  那就有趣了
[00:02:37.000 --> 00:02:39.000]  就說有一個人問祂
[00:02:39.000 --> 00:02:40.000]  問主耶穌
[00:02:40.000 --> 00:02:43.000]  主啊,得救的人少麼
[00:02:43.000 --> 00:02:45.000]  得救的人少麼
[00:02:45.000 --> 00:02:47.000]  可能這個人問的時候
[00:02:47.000 --> 00:02:49.000]  他就觀察到一件事
[00:02:49.000 --> 00:02:53.000]  可能很多人默不關心
[00:02:53.000 --> 00:02:55.000]  可能很多人的回應
[00:02:55.000 --> 00:02:58.000]  是很冷淡
[00:02:58.000 --> 00:03:01.000]  所以他就問
[00:03:01.000 --> 00:03:03.000]  得救的人是否少呢
[00:03:03.000 --> 00:03:06.000]  他就問主耶穌
[00:03:06.000 --> 00:03:09.000]  剛才我們就讀完這段經文
[00:03:09.000 --> 00:03:10.000]  我就問你一個問題
[00:03:10.000 --> 00:03:12.000]  當主耶穌被人這樣問
[00:03:12.000 --> 00:03:15.000]  得救的人少麼的時候
[00:03:15.000 --> 00:03:18.000]  祂有沒有回答這個人的問題
[00:03:18.000 --> 00:03:20.000]  祂有沒有回答
[00:03:20.000 --> 00:03:23.000]  有沒有
[00:03:23.000 --> 00:03:26.000]  很有趣
[00:03:26.000 --> 00:03:29.000]  譬如我現在問大家這個問題的時候
[00:03:29.000 --> 00:03:31.000]  我看見有些人就抬頭
[00:03:31.000 --> 00:03:33.000]  有些人就轉頭
[00:03:33.000 --> 00:03:36.000]  如果是斬釘切鐵的
[00:03:36.000 --> 00:03:38.000]  就不會有人抬頭
[00:03:38.000 --> 00:03:39.000]  有人轉頭
[00:03:39.000 --> 00:03:40.000]  意思來講
[00:03:40.000 --> 00:03:43.000]  主耶穌其實是沒有正面地回答
[00:03:43.000 --> 00:03:44.000]  但是是不是沒有回答
[00:03:44.000 --> 00:03:45.000]  又不是
[00:03:45.000 --> 00:03:46.000]  又有答案
[00:03:46.000 --> 00:03:49.000]  後面也有答案
[00:03:49.000 --> 00:03:50.000]  但是
[00:03:50.000 --> 00:03:51.000]  有趣的是
[00:03:51.000 --> 00:03:54.000]  祂沒有正面地回答
[00:03:54.000 --> 00:03:56.000]  你就問一個問題
[00:03:56.000 --> 00:03:58.000]  為什麼祂不正面地回答
[00:03:58.000 --> 00:04:01.000]  有沒有想過
[00:04:01.000 --> 00:04:06.000]  為什麼祂不正面地回答
[00:04:06.000 --> 00:04:07.000]  所以接下來說的東西
[00:04:07.000 --> 00:04:09.000]  不是一個正面的答案
[00:04:09.000 --> 00:04:10.000]  其實這個問題
[00:04:10.000 --> 00:04:11.000]  是很簡單的
