
[00:00:00.000 --> 00:00:07.800]  今天分享的題目是「撒加利亞眾 傳揚基督的拯救和平安」
[00:00:07.800 --> 00:00:10.600]  你說什麼是「撒加利亞眾」呢?
[00:00:10.600 --> 00:00:13.000]  一會兒我們會讀到的
[00:00:13.000 --> 00:00:15.200]  今天我想首先問問大家
[00:00:15.200 --> 00:00:18.100]  如果我們在朋友吃飯的裏面
[00:00:18.100 --> 00:00:20.800]  或者跟朋友聯繫的裏面
[00:00:20.800 --> 00:00:25.300]  你有什麼好東西想跟別人分享呢?
[00:00:25.300 --> 00:00:28.600]  如果大家記得我上一次講到的時候
[00:00:28.600 --> 00:00:31.600]  我就講過「北上的智慧」
[00:00:31.600 --> 00:00:35.300]  我相信現在很多時候我們跟朋友吃飯
[00:00:35.300 --> 00:00:36.700]  或者聊天的時候
[00:00:36.700 --> 00:00:41.400]  我們都會分享一下很多北上吃飯的好消息
[00:00:41.400 --> 00:00:44.700]  有什麼好地方北上吃飯好
[00:00:44.700 --> 00:00:46.700]  去哪裏吃東西便宜
[00:00:46.700 --> 00:00:48.400]  哪裏吃東西好吃
[00:00:48.400 --> 00:00:50.600]  很多時候當我們分享的時候
[00:00:50.600 --> 00:00:53.900]  現在都很流行將連結發給別人
[00:00:53.900 --> 00:00:56.900]  我那天有人發了連結給我
[00:00:56.900 --> 00:00:59.000]  說那裏的東西很好吃
[00:00:59.000 --> 00:01:01.900]  於是你就開始發給你的朋友
[00:01:01.900 --> 00:01:03.500]  接著你又轉發給其他人
[00:01:03.500 --> 00:01:05.300]  說這個地方好吃
[00:01:05.300 --> 00:01:08.500]  現在不單可以跟別人分享連結
[00:01:08.500 --> 00:01:09.700]  有時候更加好
[00:01:09.700 --> 00:01:14.400]  就是你跟他分享那個餐廳經理的微信
[00:01:14.400 --> 00:01:16.900]  你有了那個餐廳經理的微信
[00:01:16.900 --> 00:01:20.400]  你就可以直接在那裏找那個經理訂位
[00:01:20.400 --> 00:01:23.700]  我最近都收到了一個經理的微信
[00:01:23.700 --> 00:01:27.900]  今晚我訂了去北上
[00:01:27.900 --> 00:01:30.100]  去那間餐廳吃飯
[00:01:30.100 --> 00:01:31.100]  為什麼呢
[00:01:31.100 --> 00:01:34.200]  因為我有一筆帳還沒找
[00:01:34.200 --> 00:01:35.700]  我今晚會找帳
[00:01:35.700 --> 00:01:36.400]  為什麼呢
[00:01:36.400 --> 00:01:39.000]  因為有一位我認識了很久的姐妹
[00:01:39.000 --> 00:01:43.400]  她曾經在教會一個聚會裏面抽到大獎
[00:01:43.400 --> 00:01:45.400]  就是跟牧者吃飯
[00:01:45.400 --> 00:01:46.500]  所以她說
[00:01:46.500 --> 00:01:50.400]  我抽了大獎這麼久你都還沒找帳
[00:01:50.400 --> 00:01:53.400]  我說今晚找帳今晚找帳
[00:01:53.400 --> 00:01:58.400]  所以今晚我、Zoey、這位我親愛的姐妹
[00:01:58.400 --> 00:01:59.400]  還有Parsley
[00:01:59.400 --> 00:02:03.100]  我們四個會一起北上吃飯
[00:02:03.100 --> 00:02:04.100]  所以不要緊
[00:02:04.100 --> 00:02:06.100]  我會將我們吃飯的開心事
[00:02:06.100 --> 00:02:08.100]  在社交媒體跟大家分享
[00:02:08.100 --> 00:02:10.400]  大家會知道我真的找了帳
[00:02:10.400 --> 00:02:14.300]  還有今晚我們會很開心地去吃飯
[00:02:14.300 --> 00:02:17.600]  除了分享北上吃東西的好消息
[00:02:17.600 --> 00:02:22.700]  我上次說過是抽盲口玩具的智慧
[00:02:22.700 --> 00:02:26.600]  原來抽盲口玩具都需要有很多好消息
[00:02:26.600 --> 00:02:32.200]  我就在社交媒體裏面加入了一個盲口玩具的社交群組
[00:02:32.200 --> 00:02:36.100]  裏面有很多盲口玩具的好消息
[00:02:36.100 --> 00:02:41.500]  例如在哪一間分店可以買到你很喜歡的玩偶
[00:02:41.500 --> 00:02:45.500]  哪一間分店某一隻玩偶有補貨
[00:02:45.500 --> 00:02:47.800]  我看到Stephanie好像很有興趣
[00:02:47.800 --> 00:02:53.100]  在哪一間分店那些玩偶已經賣光了
[00:02:53.100 --> 00:02:55.400]  或者在哪一間分店實時拍攝了
[00:02:55.400 --> 00:02:59.100]  「嘩!隊伍很長,大家找我第二間」
[00:02:59.100 --> 00:03:04.000]  又或者哪一間分店的新系列剛剛入貨
[00:03:04.000 --> 00:03:08.700]  所以我們有時都會在社交媒體分享這些好消息
[00:03:08.700 --> 00:03:11.400]  如果你是一個足球迷
[00:03:11.400 --> 00:03:14.600]  你知不知道接下來香港有什麼好消息
[00:03:14.600 --> 00:03:16.100]  大家知不知道
[00:03:16.100 --> 00:03:26.800]  在7月會有三隊英超球隊和一隊以格的勁女會來香港比賽
[00:03:26.800 --> 00:03:28.100]  是不是好消息?
[00:03:28.100 --> 00:03:29.400]  好消息!
[00:03:29.400 --> 00:03:31.100]  我更加有好消息
[00:03:31.100 --> 00:03:33.400]  因為有位親愛的弟兄哥捉住我跟我說
[00:03:33.400 --> 00:03:35.900]  「Eugene,我請你看」
[00:03:35.900 --> 00:03:37.300]  是不是好消息?
[00:03:37.300 --> 00:03:39.000]  是啊!
[00:03:39.000 --> 00:03:40.500]  他還問我哪裏有空
[00:03:40.500 --> 00:03:42.400]  於是我就回覆他,哪裏有空
[00:03:42.400 --> 00:03:45.800]  我昨天第一堂崇拜收到好消息
[00:03:45.800 --> 00:03:49.100]  他說「Eugene,我買到票了!」
[00:03:49.100 --> 00:03:50.200]  我好感動
[00:03:50.200 --> 00:03:52.800]  所以接下來我將會和他一起看
[00:03:52.800 --> 00:03:56.000]  「利物浦對埃斯米蘭」
[00:03:56.000 --> 00:03:57.300]  是不是好消息?
[00:03:57.300 --> 00:03:59.800]  是啊!好消息!
[00:03:59.800 --> 00:04:03.700]  我弟弟其實是一個利物浦球迷
