
[00:00:00.000 --> 00:00:03.500]  各位電影姐妹,復活節蒙恩
[00:00:03.500 --> 00:00:06.800]  大家都知道今天是復活節的主日崇拜
[00:00:06.800 --> 00:00:10.300]  亦是我們很快樂的日子
[00:00:10.300 --> 00:00:13.900]  或許我們很多時候都有其他事情想起
[00:00:13.900 --> 00:00:17.100]  但更加在復活節的時候
[00:00:17.100 --> 00:00:20.800]  我們想到我們信仰一個最核心的部份
[00:00:20.800 --> 00:00:24.200]  就是耶穌基督得勝了死亡
[00:00:24.200 --> 00:00:28.700]  而我們亦都會承受上帝賜給我們的復活
[00:00:28.700 --> 00:00:31.500]  這個訊息永遠是我們最快樂
[00:00:31.500 --> 00:00:34.300]  最感恩的一個原因
[00:00:34.300 --> 00:00:37.800]  所以今天我們回來教會崇拜
[00:00:37.800 --> 00:00:40.200]  不單止我們一起唱詩、一起祈禱
[00:00:40.200 --> 00:00:42.400]  我們一起感恩快樂
[00:00:42.400 --> 00:00:44.100]  所以我都想大家
[00:00:44.100 --> 00:00:45.300]  你都可以在旁邊
[00:00:45.300 --> 00:00:48.400]  你和你的電影姐妹都一起去鼓勵
[00:00:48.400 --> 00:00:51.100]  感謝神主耶穌復活了
[00:00:58.100 --> 00:01:00.000]  感謝神主耶穌復活了
[00:01:00.000 --> 00:01:02.800]  我們都領受復活的應許
[00:01:02.800 --> 00:01:06.200]  我們今天一起來思想聖經的說話
[00:01:06.200 --> 00:01:09.300]  再清楚知道主給我們的復活
[00:01:09.300 --> 00:01:12.100]  大家坐在一起我們同心再祈禱
[00:01:28.300 --> 00:01:29.900]  但是主啊
[00:01:29.900 --> 00:01:33.300]  祢有權柄放棄自己的生命
[00:01:33.300 --> 00:01:36.000]  亦都有權柄取回
[00:01:36.000 --> 00:01:39.800]  主啊 因為祢原本就是生命的主宰
[00:01:39.800 --> 00:01:42.100]  主啊 是祢自己奇妙地
[00:01:42.100 --> 00:01:45.500]  在死亡當中復活過來
[00:01:45.500 --> 00:01:46.800]  主啊 我們感謝祢
[00:01:46.800 --> 00:01:48.700]  我們讚美祢自己
