
[00:00:00.000 --> 00:00:03.400]  主,我們感謝祢透過聖經的話語
[00:00:03.400 --> 00:00:06.900]  讓我們更加紮實地去認識祢
[00:00:06.900 --> 00:00:11.400]  認識祢是一位憐憫世界
[00:00:11.400 --> 00:00:14.400]  在貧寒、困苦的人
[00:00:14.400 --> 00:00:18.400]  也要祢的教會實踐使命
[00:00:18.400 --> 00:00:23.400]  去執行公義和憐憫的工作
[00:00:23.400 --> 00:00:24.800]  求祢幫助我們
[00:00:24.800 --> 00:00:28.400]  讓我們的心能夠同主同步
[00:00:28.400 --> 00:00:29.900]  透過今日的訊息
[00:00:29.900 --> 00:00:33.400]  也再一次提醒、激勵
[00:00:33.400 --> 00:00:36.900]  我們要在世界成為祢的炎、祢的光
[00:00:36.900 --> 00:00:39.900]  禱告,奉基督耶穌聖名,阿們
[00:00:39.900 --> 00:00:43.400]  今日我們的訊息
[00:00:43.400 --> 00:00:48.400]  是探討基督徒生活在這個社會、世界
[00:00:48.400 --> 00:00:52.400]  在政權底下的角色和態度
[00:00:52.400 --> 00:00:56.400]  而我自己其實對於這個課題
[00:00:56.400 --> 00:00:59.400]  我真的自問是陌生的
[00:00:59.400 --> 00:01:04.400]  因為我自己是生長在殖民地時代
[00:01:04.400 --> 00:01:07.400]  或者是後殖民地時代
[00:01:07.400 --> 00:01:11.400]  有人甚至叫我們這一代叫X世代
[00:01:11.400 --> 00:01:13.400]  甚麼也不是
[00:01:13.400 --> 00:01:15.400]  這邊不是人,那邊不是人
[00:01:15.400 --> 00:01:17.400]  我坦白承認
[00:01:17.400 --> 00:01:21.400]  我其實對政治這個議題是陌生
[00:01:21.400 --> 00:01:23.400]  甚至可以說是冷漠
[00:01:23.400 --> 00:01:25.400]  當我自己成長的時候
[00:01:25.400 --> 00:01:29.400]  我的教科書只有一科社會
[00:01:29.400 --> 00:01:32.400]  那科社會其實是有標準答案
[00:01:32.400 --> 00:01:36.400]  你背完那些問題,答案就可以了
[00:01:36.400 --> 00:01:41.400]  所以其實我們不懂得獨立去思考社會的問題
[00:01:41.400 --> 00:01:44.400]  幸好還有一科叫中國歷史
[00:01:44.400 --> 00:01:49.400]  但是它對近代香港和中英的關係
[00:01:49.400 --> 00:01:51.400]  這些是隻字不提的
[00:01:51.400 --> 00:01:53.400]  大家都知道為甚麼
[00:01:53.400 --> 00:01:57.400]  因為殖民地的社會不需要你知太多
[00:01:57.400 --> 00:02:02.400]  越知得多,你就越問得多,越反對得多
[00:02:02.400 --> 00:02:04.400]  我們那個年代有一句說話叫
[00:02:04.400 --> 00:02:07.400]  讀死書,死讀書和讀書死
[00:02:07.400 --> 00:02:10.400]  我們沉醉於功名學問
[00:02:10.400 --> 00:02:15.400]  不需要理會政治通識
[00:02:15.400 --> 00:02:17.400]  我記得我自己六四
[00:02:17.400 --> 00:02:20.400]  我也提過,六四我和同學去北京
[00:02:20.400 --> 00:02:22.400]  那個時候
[00:02:22.400 --> 00:02:25.400]  我們搞學運,我們只是搞旅行
[00:02:25.400 --> 00:02:28.400]  當時我真的發生了事
[00:02:28.400 --> 00:02:30.400]  我回到香港才知道
[00:02:30.400 --> 00:02:33.400]  原來政治是真的會死人的
[00:02:33.400 --> 00:02:35.400]  我少年的時代
[00:02:35.400 --> 00:02:39.400]  有一次我在一個地茅的茶樓和我爸爸去喝茶
[00:02:39.400 --> 00:02:43.400]  突然我發現我爸爸平時在家裡很沉默
[00:02:43.400 --> 00:02:47.400]  去和同台的叔叔講政治的時候
[00:02:47.400 --> 00:02:50.400]  原來講得很深入
[00:02:50.400 --> 00:02:53.400]  他也沒有受過甚麼高深的教育
[00:02:53.400 --> 00:02:56.400]  但為甚麼他會對政治這麼關心呢
[00:02:56.400 --> 00:03:00.400]  我自己可能只是聽聽和笑笑
[00:03:00.400 --> 00:03:04.400]  但他真的好像現在的維園伯伯
[00:03:04.400 --> 00:03:06.400]  要和你死過
[00:03:06.400 --> 00:03:09.400]  那時我都不太明白
[00:03:09.400 --> 00:03:11.400]  到今天我才清楚一點
[00:03:11.400 --> 00:03:15.400]  其實他是真真正正經歷過政治的洗禮
[00:03:15.400 --> 00:03:17.400]  他經歷過二次世界大戰
[00:03:17.400 --> 00:03:19.400]  他打過日本人
[00:03:19.400 --> 00:03:21.400]  他做過軍醫的助手
[00:03:21.400 --> 00:03:24.400]  他也經歷過國共的內戰
[00:03:24.400 --> 00:03:25.400]  大陸的變色
[00:03:25.400 --> 00:03:28.400]  是逃亡到香港的那個年代的人
[00:03:28.400 --> 00:03:32.400]  所以難怪一個平時斯斯文文的好好先生
[00:03:32.400 --> 00:03:35.400]  會這樣激烈的和同台的人說起
[00:03:35.400 --> 00:03:38.400]  共產黨XX,共產黨XX
[00:03:38.400 --> 00:03:41.400]  他頸上的青筋是證明這件事
[00:03:41.400 --> 00:03:45.400]  真的對他曾經生死攸關
[00:03:45.400 --> 00:03:49.400]  我亦都在今天開始覺醒
[00:03:49.400 --> 00:03:53.400]  我現在每天都會早上聽收音機,看報紙
[00:03:53.400 --> 00:03:56.400]  可能亦都是因為人到中年的關係
[00:03:56.400 --> 00:03:59.400]  好像人到中年會關心多點政治
[00:03:59.400 --> 00:04:05.400]  我知道我們關心的政治,民生,經濟
[00:04:05.400 --> 00:04:07.400]  這些問題
[00:04:07.400 --> 00:04:10.400]  其實很影響我們今天自己的生活
[00:04:10.400 --> 00:04:15.400]  亦都影響我自己在牧羊的群羊
[00:04:15.400 --> 00:04:19.400]  教會大大小小的弟兄姊妹
[00:04:19.400 --> 00:04:21.400]  或者身邊的大眾
[00:04:21.400 --> 00:04:25.400]  其實裏面有很多很重要的事在發生
[00:04:25.400 --> 00:04:27.400]  作為一個基督徒
[00:04:27.400 --> 00:04:30.400]  我自己亦都欣著我成長的年代
[00:04:30.400 --> 00:04:33.400]  那時候教會是比較少講政治
[00:04:33.400 --> 00:04:37.400]  因為我們有一種觀念叫做政教分離
[00:04:37.400 --> 00:04:39.400]  我們不會多講政治
[00:04:39.400 --> 00:04:42.400]  因為覺得同信仰不可以混為一談
[00:04:42.400 --> 00:04:44.400]  但是漸漸
[00:04:44.400 --> 00:04:46.400]  或者我所理解的那種
[00:04:46.400 --> 00:04:48.400]  殺該的物歸給殺該
[00:04:48.400 --> 00:04:50.400]  神的物歸給神
[00:04:50.400 --> 00:04:52.400]  這種所謂性俗而分的
[00:04:52.400 --> 00:04:54.400]  不問世事的態度
[00:04:54.400 --> 00:04:57.400]  不是真正聖經講給我們聽的意思
[00:04:57.400 --> 00:04:59.400]  或者更正確講
[00:04:59.400 --> 00:05:02.400]  其實我們福音的一部份
[00:05:02.400 --> 00:05:05.400]  是要去關心神託付給我們
[00:05:05.400 --> 00:05:08.400]  對這個世界管治的問題
