
[00:00:00.000 --> 00:00:04.320]  奉勸命問候弟兄姐妹平安
[00:00:04.320 --> 00:00:11.740]  我和大家一路在讀耶律密書
[00:00:11.740 --> 00:00:20.160]  今次的經文是耶律密和上帝講的很個人性的問題
[00:00:20.160 --> 00:00:26.620]  是耶律密和上帝的私人談話
[00:00:26.620 --> 00:00:31.040]  個人性的
[00:00:31.040 --> 00:00:38.200]  看看他和上帝那種親密的親切
[00:00:38.200 --> 00:00:42.120]  會看到耶律密和上帝的親密關係
[00:00:42.120 --> 00:00:47.240]  我現在來到十一章的十八節
[00:00:47.240 --> 00:00:52.780]  我們來到本文的十一章十八節
[00:00:52.780 --> 00:00:59.820]  這一段就去到十二章的六節
[00:00:59.820 --> 00:01:02.860]  那是叫做一段
[00:01:02.860 --> 00:01:06.620]  在神學上叫做pericope
[00:01:06.620 --> 00:01:09.420]  這個字你要讀神學才懂的
[00:01:09.420 --> 00:01:17.640]  如果不是paragraph就叫做pericope
[00:01:17.640 --> 00:01:22.000]  就是你要讀神學才能明白這個字的含義
[00:01:22.000 --> 00:01:24.100]  是英文字來的
[00:01:24.100 --> 00:01:32.060]  來自拉丁文或者希臘文
[00:01:32.060 --> 00:01:37.540]  是包括了耶律密一個信念
[00:01:37.540 --> 00:01:40.160]  就包含了耶律密的一個信念
[00:01:40.160 --> 00:01:43.000]  這個字的譯字是甚麼呢 譬如信念和信條
[00:01:43.000 --> 00:01:44.380]  就是confession來的
[00:01:44.380 --> 00:01:46.840]  信念和信條
[00:01:46.840 --> 00:01:49.080]  聖會信條 這些有沒有讀過
[00:01:49.080 --> 00:01:51.680]  聖會信條
[00:01:51.680 --> 00:01:55.460]  confession就是在神面前的承認
[00:01:55.460 --> 00:01:57.000]  就是在神面前承認
[00:01:57.000 --> 00:01:59.740]  走開自己的腎 你是怎樣怎樣的上帝
[00:01:59.740 --> 00:02:03.080]  這個叫做confession
[00:02:03.080 --> 00:02:08.380]  在今天的現今的modern translation
[00:02:08.380 --> 00:02:09.960]  在現代的翻譯
[00:02:09.960 --> 00:02:11.340]  我要借用天主教
[00:02:11.340 --> 00:02:12.460]  我要借用天主教
[00:02:12.460 --> 00:02:13.540]  告解
[00:02:13.540 --> 00:02:14.660]  告誡
[00:02:14.660 --> 00:02:16.420]  在神父面前是不是要告解
[00:02:16.420 --> 00:02:17.620]  在神父面前是不是要告誡
[00:02:17.620 --> 00:02:19.080]  這個字是confession
[00:02:19.080 --> 00:02:19.660]  就是confession
[00:02:19.660 --> 00:02:20.780]  揭開自己的心
[00:02:20.780 --> 00:02:22.520]  打開自己的心
[00:02:22.520 --> 00:02:25.900]  那他在
[00:02:25.900 --> 00:02:30.300]  他自我在上帝面前揭開他的心
[00:02:30.300 --> 00:02:32.300]  在上帝面前打開自己的心
[00:02:32.300 --> 00:02:33.980]  但上帝有的很好
[00:02:33.980 --> 00:02:35.180]  上帝很好
[00:02:35.180 --> 00:02:36.780]  上帝有揭開他的心給他
[00:02:36.780 --> 00:02:38.500]  上帝揭開他的心給他
[00:02:38.500 --> 00:02:40.260]  告訴他
[00:02:40.260 --> 00:02:42.340]  你將來遇到些甚麼
[00:02:42.340 --> 00:02:44.740]  你將來會遇到甚麼
[00:02:44.740 --> 00:02:46.340]  大家看不看得到好處
[00:02:46.340 --> 00:02:47.500]  大家有沒有看得到好處
[00:02:47.500 --> 00:02:49.180]  你在上帝面前打開你的心
[00:02:49.180 --> 00:02:50.900]  你在你上帝面前打開你的心
[00:02:50.900 --> 00:02:53.500]  上帝告訴你將來遇到甚麼
[00:02:53.500 --> 00:02:54.780]  是你現在不知道的事
[00:02:54.780 --> 00:02:56.620]  就是說你將來會遇到甚麼事情
[00:02:56.620 --> 00:02:58.540]  你現在不知道
[00:02:58.540 --> 00:03:01.260]  所以confession有好處的
[00:03:01.260 --> 00:03:03.700]  尤其是你confess your sin
[00:03:03.700 --> 00:03:06.940]  特別是在你這個
[00:03:06.940 --> 00:03:08.140]  在神的面前認罪
[00:03:08.140 --> 00:03:09.820]  在神的面前認罪
[00:03:09.820 --> 00:03:11.900]  有你的好處
[00:03:11.900 --> 00:03:14.860]  在神的面前承認自己的軟弱
[00:03:14.860 --> 00:03:18.980]  在神的面前承認自己的無知
[00:03:18.980 --> 00:03:21.340]  承認自己的無知
[00:03:21.340 --> 00:03:22.700]  在人來看你很蠢的
[00:03:22.700 --> 00:03:23.940]  在人來看你很愚蠢的
[00:03:23.940 --> 00:03:24.820]  在神面前呢
[00:03:24.820 --> 00:03:25.980]  在神的面前呢
[00:03:25.980 --> 00:03:27.180]  聰明
[00:03:27.180 --> 00:03:29.540]  他會將更好的事告訴你
[00:03:29.540 --> 00:03:31.380]  將更好的事告訴你
[00:03:31.380 --> 00:03:35.900]  所以大家可以讀聖經一件事
[00:03:35.900 --> 00:03:37.820]  同人相處
[00:03:37.820 --> 00:03:40.020]  同上帝相處
[00:03:40.020 --> 00:03:41.900]  是相反的
[00:03:41.900 --> 00:03:42.820]  在人面前
[00:03:42.820 --> 00:03:43.780]  在人面前
[00:03:43.780 --> 00:03:45.140]  沒有被抽的日子
[00:03:45.140 --> 00:03:48.140]  在上帝面前
[00:03:48.140 --> 00:03:49.100]  在上帝面前
[00:03:49.100 --> 00:03:51.020]  你不怕將你醜惡的事
[00:03:51.020 --> 00:03:54.980]  不要將自己醜惡的事情告訴他
[00:03:54.980 --> 00:03:56.540]  他會原諒你愛你的
