
[00:00:00.000 --> 00:00:02.000]  第一次會讓我們先聽神的導議
[00:00:02.000 --> 00:00:03.340]  讓我們先同心的祈禱
[00:00:03.340 --> 00:00:06.180]  聽到之前先同心禱告
[00:00:06.180 --> 00:00:08.800]  慈悲的父神多謝祢
[00:00:08.800 --> 00:00:10.800]  祢讓我們能夠回到祢
[00:00:10.800 --> 00:00:12.080]  藉著祢的說話
[00:00:12.080 --> 00:00:15.040]  讓我們能夠明白祢是怎樣的位主
[00:00:15.040 --> 00:00:16.840]  求祢與我們同在
[00:00:16.840 --> 00:00:17.740]  特別是祢的靈
[00:00:17.740 --> 00:00:18.800]  誘導我們
[00:00:18.800 --> 00:00:21.300]  能夠將上帝祢的屬性
[00:00:21.300 --> 00:00:25.200]  清楚的藉著我們在地上的生活
[00:00:25.200 --> 00:00:27.000]  能夠活化在人的當中
[00:00:27.000 --> 00:00:29.000]  讓我們成為主祢的見證
[00:00:29.000 --> 00:00:30.800]  成為主祢誘導人
[00:00:30.800 --> 00:00:32.800]  回到永恆裏面的路標
[00:00:32.800 --> 00:00:34.600]  求祢的幫助
[00:00:34.600 --> 00:00:35.500]  我親愛的父神
[00:00:35.500 --> 00:00:38.600]  願神祢讓我們能夠再次回來
[00:00:38.600 --> 00:00:41.200]  一起來打開祢的說話
[00:00:41.200 --> 00:00:45.000]  一起來明白祢是怎樣的一位主
[00:00:45.000 --> 00:00:47.100]  也讓我們成為上帝
[00:00:47.100 --> 00:00:51.200]  在永恆生命道路上面的一個路標
[00:00:51.200 --> 00:00:53.300]  讓還沒有先聽主祢的人
[00:00:53.300 --> 00:00:55.100]  他能夠藉著我們
[00:00:55.100 --> 00:00:57.200]  獲出主祢的樣式
[00:00:57.200 --> 00:01:00.200]  能夠指他們往哪個方向
[00:01:00.200 --> 00:01:01.900]  來當明白主祢
[00:01:01.900 --> 00:01:03.200]  求祢的幫助
[00:01:03.200 --> 00:01:04.900]  讓我們今天的講道
[00:01:04.900 --> 00:01:08.400]  聽道完全在祢的掌握當中
[00:01:08.400 --> 00:01:09.900]  Dear Heavenly Father
[00:01:09.900 --> 00:01:12.100]  Thanks again that you let us have another opportunity
[00:01:12.100 --> 00:01:13.500]  to open the Bible
[00:01:13.500 --> 00:01:16.500]  and let us learn who you are
[00:01:16.500 --> 00:01:18.400]  Help us through your Holy Spirit
[00:01:18.400 --> 00:01:20.200]  Without your Holy Spirit
[00:01:20.200 --> 00:01:23.300]  we don't see our shortcomings
[00:01:23.300 --> 00:01:27.100]  but also let us to know how to regenerate
[00:01:27.100 --> 00:01:28.200]  through your word of God
[00:01:28.200 --> 00:01:29.700]  So now today
[00:01:29.700 --> 00:01:32.500]  we pray once again
[00:01:32.500 --> 00:01:33.800]  we ask for your Holy Spirit
[00:01:33.800 --> 00:01:34.800]  guide us through
[00:01:34.800 --> 00:01:38.200]  through our understanding about your characters
[00:01:38.200 --> 00:01:42.000]  and we can testify your belief
[00:01:42.000 --> 00:01:46.500]  and also your characters on the earth
[00:01:46.500 --> 00:01:49.300]  so that become a sign for the people
[00:01:49.300 --> 00:01:52.500]  to know which way they can find the eternity
[00:01:52.500 --> 00:01:55.200]  We pray in the name of our Lord Jesus Christ
[00:01:55.200 --> 00:01:57.000]  Amen
[00:01:57.000 --> 00:02:04.100]  基督徒在這個世界有什麼作用?
[00:02:04.100 --> 00:02:06.300]  基督徒在這個世界有什麼作用?
[00:02:06.300 --> 00:02:09.600]  在上個星期我們已經看過
[00:02:09.600 --> 00:02:11.200]  在上個星期我們看過
[00:02:11.200 --> 00:02:13.200]  基督徒存在這個世界裏面
[00:02:13.200 --> 00:02:15.200]  其中一個最重要的角色
[00:02:15.200 --> 00:02:17.000]  基督徒存在這個世界裏面
[00:02:17.000 --> 00:02:19.000]  其中一個最重要的角色
[00:02:19.000 --> 00:02:21.600]  就是暴露這個世界的醜惡
[00:02:21.600 --> 00:02:23.600]  就是暴露這個世界的醜惡
[00:02:23.600 --> 00:02:27.000]  不過怎樣暴露這個世界的醜惡呢?
[00:02:27.000 --> 00:02:29.000]  怎樣暴露這個世界的醜惡呢?
[00:02:29.000 --> 00:02:32.300]  是不是我們的工作就要不斷揭人私隱呢?
[00:02:32.300 --> 00:02:34.600]  我們的工作是不是要把別人的私隱揭開呢?
[00:02:34.600 --> 00:02:38.100]  或者不斷去進行向不同人的指控呢?
[00:02:38.100 --> 00:02:40.800]  還是指控不同的人呢?
[00:02:40.800 --> 00:02:43.400]  這個其實就是一個很大的學問
[00:02:43.400 --> 00:02:45.800]  也是今天我們所講的這個題目
[00:02:45.800 --> 00:02:47.800]  其實這是一個很大的學問
[00:02:47.800 --> 00:02:49.200]  也是我們今天要講的
[00:02:49.200 --> 00:02:52.000]  神明的子民活在這個世界當中的作用
[00:02:52.000 --> 00:02:54.000]  神明活在這個世界當中的作用
[00:02:54.000 --> 00:02:55.200]  神明活在這個世界當中的作用
[00:02:55.200 --> 00:02:57.200]  第二講
[00:02:57.200 --> 00:02:59.200]  今天我們會看第十三節
[00:02:59.200 --> 00:02:59.200]  今天我們會看第十三節
[00:02:59.200 --> 00:03:02.200]  直到去第二十二節的經文
[00:03:02.200 --> 00:03:02.200]  直到去第二十二節的經文
[00:03:02.200 --> 00:03:06.000]  今天我們看第十三到二十二節的經文
[00:03:06.000 --> 00:03:06.000]  今天我們看第十三到二十二節的經文
[00:03:06.000 --> 00:03:07.600]  不過在還沒看完經文之前
[00:03:07.600 --> 00:03:07.600]  不過在還沒看完經文之前
[00:03:07.600 --> 00:03:09.600]  我想跟大家分享一個故事
[00:03:09.600 --> 00:03:11.600]  在我沒看這個經文之前
[00:03:11.600 --> 00:03:13.200]  我想和大家分享一個故事
[00:03:13.200 --> 00:03:16.600]  在一個很炎熱的國家裏面
[00:03:16.600 --> 00:03:16.600]  在一個很炎熱的國家裏面
[00:03:16.600 --> 00:03:18.600]  在一個很炎熱的國家裏面
[00:03:18.600 --> 00:03:20.600]  就有兩兄弟
[00:03:20.600 --> 00:03:22.600]  就有兩兄弟
[00:03:22.600 --> 00:03:22.600]  這兩兄弟因為他們的國家還是燒炭等等這些能源
[00:03:22.600 --> 00:03:24.600]  這兩兄弟因為他們的國家還是燒炭等等這些能源
[00:03:24.600 --> 00:03:26.600]  這兩兄弟因為他們的國家還是燒炭等等這些能源
[00:03:26.600 --> 00:03:28.600]  這兩兄弟因為他們的國家還是燒炭等等這些能源
[00:03:28.600 --> 00:03:30.600]  就是他們還採用這種燒炭的能源
[00:03:30.600 --> 00:03:32.600]  就是他們還採用這種燒炭的能源
[00:03:32.600 --> 00:03:34.600]  所以他們從小父母就在家裏工作
[00:03:34.600 --> 00:03:36.600]  所以他們從小父母就在家裏工作
[00:03:36.600 --> 00:03:38.600]  他們就叫小朋友去買炭
[00:03:38.600 --> 00:03:40.600]  他們就叫小朋友去買炭
[00:03:40.600 --> 00:03:42.600]  就是在家裏做事的時候就跟小朋友說
[00:03:42.600 --> 00:03:42.600]  就是在家裏做事的時候就跟小朋友說
[00:03:42.600 --> 00:03:44.600]  你們兩個去買點炭回來
[00:03:44.600 --> 00:03:50.600]  於是小朋友就哥哥帶著弟弟去買炭的地方
[00:03:50.600 --> 00:03:50.600]  於是小朋友就哥哥帶著弟弟去買炭的地方
[00:03:50.600 --> 00:03:52.600]  於是小朋友就哥哥帶著弟弟去買炭的地方
[00:03:52.600 --> 00:03:54.600]  弟弟就是很紳士的性格
[00:03:54.600 --> 00:03:56.600]  弟弟就是很紳士的性格
[00:03:56.600 --> 00:03:58.600]  弟弟就是很紳士的性格
[00:03:58.600 --> 00:04:00.600]  弟弟就是很紳士的性格
[00:04:00.600 --> 00:04:02.600]  弟弟就是很紳士的性格
[00:04:02.600 --> 00:04:04.600]  弟弟就是很紳士的性格
[00:04:04.600 --> 00:04:06.600]  弟弟就是很紳士的性格
[00:04:06.600 --> 00:04:08.600]  弟弟就是很紳士的性格
[00:04:08.600 --> 00:04:10.600]  弟弟就是很紳士的性格
[00:04:10.600 --> 00:04:12.600]  弟弟就是很紳士的性格
[00:04:12.600 --> 00:04:14.600]  哥哥是無所謂的
[00:04:14.600 --> 00:04:16.600]  哥哥無所謂
[00:04:16.600 --> 00:04:18.600]  於是小朋友就哥哥帶著拖鞋去買炭
[00:04:18.600 --> 00:04:18.600]  於是小朋友就哥哥帶著拖鞋去買炭
[00:04:18.600 --> 00:04:20.600]  於是小朋友就哥哥帶著拖鞋去買炭
[00:04:20.600 --> 00:04:22.600]  弟弟就是很紳士的性格
[00:04:22.600 --> 00:04:24.600]  弟弟就是很紳士的性格
[00:04:24.600 --> 00:04:26.600]  弟弟就是很紳士的性格
[00:04:26.600 --> 00:04:28.600]  弟弟就是很紳士的性格
