
[00:00:00.000 --> 00:00:02.460]  各位金庸姐妹朋友們早安
[00:00:02.460 --> 00:00:05.580]  要跟各位來分享訊息
[00:00:05.580 --> 00:00:11.980]  我主日最高興的就是能夠看到大家
[00:00:11.980 --> 00:00:13.480]  所以
[00:00:13.480 --> 00:00:16.780]  其實我還能夠站在神的面前
[00:00:16.780 --> 00:00:19.500]  在聖殿裡面敬拜讚美我們的神
[00:00:19.500 --> 00:00:21.960]  為祂來分享訊息
[00:00:21.960 --> 00:00:25.920]  這訊息不是說在這裡演講
[00:00:25.920 --> 00:00:28.740]  乃是從神來的話語
[00:00:29.180 --> 00:00:31.660]  我們的神是幼靜幼火的神
[00:00:31.660 --> 00:00:32.760]  Hallelujah
[00:00:32.760 --> 00:00:34.140]  是的
[00:00:34.140 --> 00:00:36.360]  我們第一個禮拜
[00:00:36.360 --> 00:00:39.480]  我都要講我們教會的意象
[00:00:39.480 --> 00:00:42.440]  教會是什麼意象啊
[00:00:42.440 --> 00:00:47.240]  靈魂體心聖合一
[00:00:47.240 --> 00:00:51.880]  所以這是我們今天我們的講題
[00:00:51.880 --> 00:00:54.640]  靈魂體的心聖合一
[00:00:56.760 --> 00:01:00.120]  另外我要在我講的論點
[00:01:00.120 --> 00:01:03.880]  我要講靈魂體到底有什麼作用
[00:01:03.880 --> 00:01:07.800]  我們要這個靈魂體幹什麼
[00:01:07.800 --> 00:01:08.860]  是不是
[00:01:08.860 --> 00:01:13.520]  那我們的靈魂體是需要什麼
[00:01:13.520 --> 00:01:15.080]  還有
[00:01:15.080 --> 00:01:17.940]  很明顯的需要被充電
[00:01:17.940 --> 00:01:20.240]  需要克服
[00:01:20.240 --> 00:01:21.800]  因為
[00:01:21.800 --> 00:01:25.580]  就如司祺漢說願他興旺
[00:01:25.580 --> 00:01:27.240]  願我衰微
[00:01:27.240 --> 00:01:30.300]  這就是我的老我我的舊我
[00:01:30.300 --> 00:01:31.980]  我那個老靈
[00:01:31.980 --> 00:01:34.020]  要衰退下去
[00:01:34.020 --> 00:01:39.320]  那最後要跟各位說天國在人間
[00:01:39.320 --> 00:01:42.120]  這是我們的神
[00:01:42.120 --> 00:01:43.860]  Hallelujah讚美神
[00:01:43.860 --> 00:01:51.440]  那麼意象是靈魂體心聖合一
[00:01:51.440 --> 00:01:55.240]  這個靈英文是講說Spirit
[00:01:55.780 --> 00:01:59.220]  在創世紀二章七節說神用塵土造人
[00:01:59.220 --> 00:02:01.720]  在人的鼻孔吹了一口氣
[00:02:01.720 --> 00:02:04.360]  人就成了有靈的活人
[00:02:04.360 --> 00:02:06.240]  靈叫亞當
[00:02:06.240 --> 00:02:09.140]  所以亞當 Adam
[00:02:09.140 --> 00:02:10.860]  他的意思就是人
[00:02:10.860 --> 00:02:14.120]  是一個living creature
[00:02:14.120 --> 00:02:17.700]  所以我們說人為萬物之靈
[00:02:17.700 --> 00:02:19.220]  就是這個意思
[00:02:19.220 --> 00:02:21.420]  魂呢
