
[00:00:00.000 --> 00:00:06.000]  好開心又可以同大家喺星期日見面一齊嘅敬拜
[00:00:06.000 --> 00:00:11.000]  四月份開始呢,我哋會開始一個新嘅講道系列啦
[00:00:11.000 --> 00:00:15.000]  咁啱,壽虎節同埋復活節都係四月
[00:00:15.000 --> 00:00:18.000]  所以喺四月份呢,我哋會有一個新嘅系列
[00:00:18.000 --> 00:00:23.000]  就稱之為「跟從耶穌,Follow Christ」
[00:00:23.000 --> 00:00:27.000]  所以喺四月份呢,希望我哋可以將我哋嘅焦點
[00:00:27.000 --> 00:00:34.000]  我哋嘅注意力重新放返喺主耶穌基督嘅身上
[00:00:34.000 --> 00:00:38.000]  嚟到睇一睇喺唔同嘅經文入面
[00:00:38.000 --> 00:00:42.000]  關於我哋點樣要跟從耶穌呢,有啲咩嘅提醒
[00:00:42.000 --> 00:00:45.000]  咁今日呢我哋會先睇一段經文
[00:00:45.000 --> 00:00:49.000]  就係馬帝福音嘅十六章,二十一到二十六節
[00:00:49.000 --> 00:00:51.000]  我哋會睇呢節經文呢
[00:00:51.000 --> 00:00:55.000]  點樣提醒我哋喺決定要跟隨耶穌嘅時候
[00:00:55.000 --> 00:00:57.000]  或者已經跟隨咗好多年月
[00:00:57.000 --> 00:01:00.000]  咁其實對我哋有啲咩特別嘅提醒呢
[00:01:00.000 --> 00:01:04.000]  咁我分大概兩點或者三點睇時間
[00:01:04.000 --> 00:01:06.000]  如果唔夠時間就停喺第二點
[00:01:06.000 --> 00:01:11.000]  咁第一點就係,我哋先嚟睇一段經文
[00:01:11.000 --> 00:01:17.000]  我哋睇一睇點樣去明白點解主耶穌必須犧牲呢
[00:01:17.000 --> 00:01:21.000]  咁呢段經文呢,馬帝福音係咁講嘅,十六章二十一節
[00:01:21.000 --> 00:01:27.000]  從嗰時候開始呢佢係耶穌清楚地指示門徒
[00:01:27.000 --> 00:01:30.000]  說我必須上耶路撒冷去
[00:01:30.000 --> 00:01:38.000]  在長老祭司和經學教師手下受許多苦難
[00:01:38.000 --> 00:01:42.000]  然後呢必須並且被殺害
[00:01:42.000 --> 00:01:45.000]  第三日將復活
[00:01:45.000 --> 00:01:50.000]  跟住彼得就拉主耶穌到一邊勸咗佢說
[00:01:50.000 --> 00:01:56.000]  主,這事絕不可能臨到你身上
[00:01:56.000 --> 00:01:59.000]  主耶穌就轉身對彼得說
[00:01:59.000 --> 00:02:01.000]  他說撒冷,走開
[00:02:01.000 --> 00:02:03.000]  你是我的半腳石
[00:02:03.000 --> 00:02:07.000]  因為你所想的不是上帝的想法
[00:02:07.000 --> 00:02:10.000]  而是人的想法
[00:02:10.000 --> 00:02:14.000]  經文講下從嗰時候開始呢其實係一個轉折點嚟
[00:02:14.000 --> 00:02:17.000]  就係話喺呢個時候之前呢
[00:02:17.000 --> 00:02:20.000]  主耶穌並冇話畀佢哋聽呢件事
[00:02:20.000 --> 00:02:22.000]  但係從呢個時候開始
[00:02:22.000 --> 00:02:25.000]  主耶穌就不斷提呢件事
[00:02:25.000 --> 00:02:30.000]  所以喺三卷福音書入面呢其實呢個都係一個轉折點
[00:02:30.000 --> 00:02:34.000]  咁你話轉折點發生咩事呢?前面發生咩事呢?
[00:02:34.000 --> 00:02:36.000]  咁其實上一段嘅經文上文呢
[00:02:36.000 --> 00:02:40.000]  就係講到門徒跟咗主耶穌一段時間
[00:02:40.000 --> 00:02:42.000]  於是主耶穌就問佢話
[00:02:42.000 --> 00:02:45.000]  外面嘅人講話係邊個呢?
[00:02:45.000 --> 00:02:48.000]  你知唔知外面嘅人點樣講喎?
[00:02:48.000 --> 00:02:50.000]  咁就考下你啦,跟咗我兩年幾囉,係咪?
[00:02:50.000 --> 00:02:52.000]  咁問下你知唔知你跟緊邊個先?
[00:02:52.000 --> 00:02:54.000]  咁外面嘅人點樣講喎?
[00:02:54.000 --> 00:02:57.000]  因為跟住佢哋講話,黑外面嘅人有啲人話呢
[00:02:57.000 --> 00:02:59.000]  就話你係斯西約翰
[00:02:59.000 --> 00:03:02.000]  有啲人呢就話你係以塞亞
[00:03:02.000 --> 00:03:04.000]  有啲人話你係耶利米
[00:03:04.000 --> 00:03:08.000]  我哋人呢,喜歡揀側啲Title畀人㗎嘛,係咪?
[00:03:08.000 --> 00:03:12.000]  就好似當年呢個哥倫布發現新大陸都一樣
[00:03:12.000 --> 00:03:16.000]  原先佢諗住搵條海路去印度
[00:03:16.000 --> 00:03:19.000]  結果嚟到America,係咪?
