
[00:00:00.000 --> 00:00:03.000]  各位仔影師妹,主內平安
[00:00:03.000 --> 00:00:07.000]  剛才是一首很美麗的詩歌
[00:00:07.000 --> 00:00:10.000]  是一首願意一生奉獻秘處
[00:00:10.000 --> 00:00:11.000]  為什麼?
[00:00:11.000 --> 00:00:14.000]  因為上帝已經揀選了這一代
[00:00:14.000 --> 00:00:17.000]  去到成為祂美好的活祭
[00:00:17.000 --> 00:00:21.000]  我們祈求主,無論是青少年
[00:00:21.000 --> 00:00:24.000]  無論我望下去,應該全部都是青年
[00:00:24.000 --> 00:00:26.000]  我們每一個
[00:00:26.000 --> 00:00:28.000]  都是能夠在這一代裡面
[00:00:28.000 --> 00:00:31.000]  去到被上帝揀選,成為一個活祭
[00:00:31.000 --> 00:00:33.000]  我們聽上帝的道之前
[00:00:33.000 --> 00:00:35.000]  我們一起有個祈禱
[00:00:35.000 --> 00:00:38.000]  慈悲仁愛的天父,多謝你
[00:00:38.000 --> 00:00:41.000]  你揀選我們,造就我們
[00:00:41.000 --> 00:00:44.000]  生出我們,成為你的兒女
[00:00:44.000 --> 00:00:46.000]  寶貴的見證
[00:00:46.000 --> 00:00:49.000]  讓我們能夠獲取你永恆的道
[00:00:49.000 --> 00:00:51.000]  真理的永恆
[00:00:51.000 --> 00:00:54.000]  讓我們的心意更新而變化
[00:00:54.000 --> 00:00:55.000]  我們多謝主
[00:00:55.000 --> 00:00:58.000]  祈求主,你給我們有個謙卑的心
[00:00:58.000 --> 00:01:00.000]  去到聆聽你寶貴的道
[00:01:00.000 --> 00:01:02.000]  也幫助孩子
[00:01:02.000 --> 00:01:04.000]  講解你的話語清楚
[00:01:04.000 --> 00:01:06.000]  我們同心謙卑去到領受
[00:01:06.000 --> 00:01:09.000]  禱告是奉耶穌基督名頭
[00:01:09.000 --> 00:01:10.000]  阿們
[00:01:10.000 --> 00:01:12.000]  今天是青少年主日
[00:01:12.000 --> 00:01:14.000]  其實我都知道
[00:01:14.000 --> 00:01:17.000]  青少年應該在這裡
[00:01:17.000 --> 00:01:18.000]  大家都是青年
[00:01:18.000 --> 00:01:20.000]  我們每一個
[00:01:20.000 --> 00:01:22.000]  都是很需要上帝的話語
[00:01:22.000 --> 00:01:24.000]  成為我們的明光和指引
[00:01:24.000 --> 00:01:26.000]  我今天特意選了一段經文
[00:01:26.000 --> 00:01:28.000]  就是來自《雅各書》的
[00:01:28.000 --> 00:01:31.000]  第一章十二到第十八節的經文
[00:01:31.000 --> 00:01:32.000]  這段經文
[00:01:32.000 --> 00:01:33.000]  如果你看的時候
[00:01:33.000 --> 00:01:35.000]  你就明白它的主題
[00:01:35.000 --> 00:01:36.000]  其實是很簡單的
[00:01:36.000 --> 00:01:38.000]  那個主題就叫做試探
[00:01:38.000 --> 00:01:40.000]  又或者有些譯法
[00:01:40.000 --> 00:01:42.000]  就譯做試煉
[00:01:42.000 --> 00:01:43.000]  我相信無論是青少年
[00:01:43.000 --> 00:01:45.000]  無論是我們每一個位的青年
[00:01:45.000 --> 00:01:48.000]  都能夠對這個課題是很重視
[00:01:48.000 --> 00:01:50.000]  我們看一看
[00:01:50.000 --> 00:01:52.000]  其實無論它譯做試煉
[00:01:52.000 --> 00:01:54.000]  又或者譯做試探
[00:01:54.000 --> 00:01:56.000]  在原文的希臘文裡面
[00:01:56.000 --> 00:01:58.000]  只是同一隻字
[00:01:58.000 --> 00:01:59.000]  那樣
[00:01:59.000 --> 00:02:00.000]  我們怎樣
[00:02:00.000 --> 00:02:02.000]  什麼情況應該譯做試煉
[00:02:02.000 --> 00:02:04.000]  什麼情況應該譯做試探
[00:02:04.000 --> 00:02:07.000]  我們只能夠透過上下文的場景
[00:02:07.000 --> 00:02:09.000]  去解釋這隻字的意思
[00:02:09.000 --> 00:02:10.000]  簡單來講
[00:02:10.000 --> 00:02:13.000]  試煉是來自上帝
[00:02:13.000 --> 00:02:15.000]  試煉的目的
[00:02:15.000 --> 00:02:17.000]  是要增加信徒的信心
[00:02:17.000 --> 00:02:20.000]  考驗他在困難當中的情況底下
[00:02:20.000 --> 00:02:23.000]  怎樣持定他真實的信仰
[00:02:23.000 --> 00:02:25.000]  帶給我們信心的增長
[00:02:25.000 --> 00:02:27.000]  當然上帝是存知的
[00:02:27.000 --> 00:02:29.000]  所以試煉的目的
[00:02:29.000 --> 00:02:31.000]  其實不是要上帝去明白
[00:02:31.000 --> 00:02:33.000]  這個人到底是不是有信心
[00:02:33.000 --> 00:02:36.000]  而是要讓那個當事人
[00:02:36.000 --> 00:02:38.000]  去明白自己生命的情況
[00:02:38.000 --> 00:02:41.000]  所以試煉是來自上帝
[00:02:41.000 --> 00:02:44.000]  他的目的是一個美善的目的
[00:02:44.000 --> 00:02:46.000]  但是試探不同
[00:02:46.000 --> 00:02:50.000]  試探是來自撒旦和自己的私慾
[00:02:50.000 --> 00:02:53.000]  他的目的是讓人有利犯罪
[00:02:53.000 --> 00:02:54.000]  步向死亡
[00:02:54.000 --> 00:02:56.000]  因此我們只能夠透過
[00:02:56.000 --> 00:02:58.000]  經文的上下文的場景
[00:02:58.000 --> 00:03:01.000]  去理解那隻希臘文的意思
[00:03:01.000 --> 00:03:03.000]  什麼時候譯做試煉
[00:03:03.000 --> 00:03:04.000]  什麼時候譯做試探
[00:03:04.000 --> 00:03:06.000]  而今天這段經文
[00:03:06.000 --> 00:03:08.000]  它一定是譯做試探
[00:03:08.000 --> 00:03:11.000]  因為它是存有一個負面的意思
[00:03:11.000 --> 00:03:14.000]  今天的講到主要分為三點
[00:03:14.000 --> 00:03:16.000]  十二到十八節
[00:03:16.000 --> 00:03:18.000]  第一點只有一節
[00:03:18.000 --> 00:03:19.000]  就是十二節
[00:03:19.000 --> 00:03:22.000]  主要說明什麼叫做有福的人
[00:03:22.000 --> 00:03:23.000]  而第二點
[00:03:23.000 --> 00:03:25.000]  我們就必須看一看它的格式
[00:03:25.000 --> 00:03:29.000]  十五節其實有一個字叫做「生出」
[00:03:29.000 --> 00:03:31.000]  然後你要發現
[00:03:31.000 --> 00:03:34.000]  十八節同樣地都出現同一隻字
[00:03:34.000 --> 00:03:35.000]  也是「生出」
[00:03:35.000 --> 00:03:41.000]  不過十五節就是「生出死來」
[00:03:41.000 --> 00:03:45.000]  十八節就是「真到生出我們」
[00:03:45.000 --> 00:03:47.000]  那麼這種「生出」的用法
[00:03:47.000 --> 00:03:51.000]  就為十三到十八節的經文分為兩段
[00:03:51.000 --> 00:03:53.000]  第一段就是「生出」
[00:03:53.000 --> 00:03:56.000]  每一段都用「生出」這隻字作為總結
[00:03:56.000 --> 00:04:00.000]  十三到十五節是「生出死亡」
[00:04:00.000 --> 00:04:04.000]  十六到十八節是「真到生出我們」
[00:04:04.000 --> 00:04:07.000]  所以十三到十五節
[00:04:07.000 --> 00:04:09.000]  是說明負面的東西
[00:04:09.000 --> 00:04:12.000]  十六到十八節是說明正面的東西
[00:04:12.000 --> 00:04:15.000]  因為兩者有不同的「生出」
[00:04:15.000 --> 00:04:17.000]  所以就有不同的結果
[00:04:17.000 --> 00:04:22.000]  成為信徒抉擇兩條路的不同方向
[00:04:22.000 --> 00:04:25.000]  所以我們今天的講題就叫做兩條路
[00:04:25.000 --> 00:04:30.000]  十三到十五節是「死亡之路」
[00:04:30.000 --> 00:04:34.000]  十六到十八節是「生命之路」
[00:04:34.000 --> 00:04:37.000]  我們一生都要作出這個抉擇
[00:04:37.000 --> 00:04:39.000]  所以我們事不宜遲
[00:04:39.000 --> 00:04:40.000]  我們去到第一點
[00:04:40.000 --> 00:04:42.000]  看看那個經文說什麼
[00:04:42.000 --> 00:04:45.000]  他就在第十二節這樣說
[00:04:45.000 --> 00:04:48.000]  「忍受試探的人是有福的」
[00:04:48.000 --> 00:04:50.000]  「因為他經過試驗」
[00:04:50.000 --> 00:04:52.000]  他譯作「試驗」應該譯作「試探」
[00:04:52.000 --> 00:04:57.000]  「經過試探以後必得著生命的冠冕」
[00:04:57.000 --> 00:05:01.000]  「者是主應許給那些愛他之人的」
[00:05:01.000 --> 00:05:03.000]  這個是第十二節
[00:05:03.000 --> 00:05:08.000]  在原文看來「有福的」那一字應該放在最前
