
[00:00:00.000 --> 00:00:03.500]  粵語堂的各位弟兄姊妹們 主內平安
[00:00:03.500 --> 00:00:08.000]  謝謝你們給我這個機會 讓我再次地來到粵語堂講道
[00:00:08.000 --> 00:00:12.500]  也求聖靈帶領我們講的和聽的都能夠同感異靈
[00:00:12.500 --> 00:00:16.000]  雖然有一些語言上的障礙
[00:00:16.000 --> 00:00:21.500]  我們也能夠完全無誤地聽懂神的信息
[00:00:21.500 --> 00:00:26.000]  我不知道各位有沒有這樣的一種心路歷程
[00:00:26.000 --> 00:00:30.500]  就是有的時候覺得自己的人生很迷茫
[00:00:30.500 --> 00:00:34.000]  覺得自己好像站在一個十字路口
[00:00:34.000 --> 00:00:37.500]  走了很多很多的路 似乎哪兒哪兒都不對
[00:00:37.500 --> 00:00:44.500]  然後你會覺得生命當中 上帝一直在給你關門
[00:00:44.500 --> 00:00:48.500]  我不知道這是不是你的生命的現狀
[00:00:48.500 --> 00:00:53.500]  可能真正相信上帝的人
[00:00:53.500 --> 00:00:58.500]  一定會在這個時候就問上帝 爲什麼
[00:00:58.500 --> 00:01:03.000]  爲什麼你讓我在人生中走了這麼多彎路
[00:01:03.000 --> 00:01:05.000]  有的時候是很短
[00:01:05.000 --> 00:01:08.500]  我們每一個人都會在生命的某一個階段
[00:01:08.500 --> 00:01:13.000]  陷入一種抑鬱也好 焦慮也好 迷茫也好
[00:01:13.000 --> 00:01:18.000]  有的人這個狀態很長 時間很長
[00:01:18.000 --> 00:01:21.000]  有的人甚至長達幾十年
[00:01:21.000 --> 00:01:23.500]  他回首他的一輩子兜兜轉轉
[00:01:23.500 --> 00:01:26.500]  好像都沒有走到一個正確的方向
[00:01:26.500 --> 00:01:33.500]  然後我們就會問說 上帝你是什麼意思呢
[00:01:33.500 --> 00:01:37.500]  我希望今天我們在分享這段經文
[00:01:37.500 --> 00:01:40.500]  講保羅第二次的宣教旅程
[00:01:40.500 --> 00:01:46.500]  這段經文的時候可以給我們一些小小的啓示
[00:01:46.500 --> 00:01:52.500]  我們的使徒行傳現在進入第十六章
[00:01:52.500 --> 00:01:58.500]  也就是保羅開始了他第二次的宣教旅程
[00:01:58.500 --> 00:02:02.000]  他第一次的宣教旅程主要是在小亞西亞
[00:02:02.000 --> 00:02:05.000]  也就是今天依然是在亞洲這一帶
[00:02:05.000 --> 00:02:09.500]  然後上帝突然給保羅一個帶領
[00:02:09.500 --> 00:02:12.000]  要讓保羅去到歐洲
[00:02:12.000 --> 00:02:16.500]  這就是一個第十六章的開頭
[00:02:16.500 --> 00:02:19.000]  但經文是這樣記載的
[00:02:19.000 --> 00:02:25.000]  經文說聖靈禁止他們在亞西亞講道
[00:02:25.000 --> 00:02:31.000]  於是他們就經過 我讓大家來看這幅地圖
[00:02:31.000 --> 00:02:35.000]  首先聖靈說禁止他們在亞西亞講道
[00:02:35.000 --> 00:02:38.000]  於是保羅他們沒有辦法
[00:02:38.000 --> 00:02:40.500]  他們禁止了 他們就開始走
[00:02:40.500 --> 00:02:44.000]  他們就往東北方向走
[00:02:44.000 --> 00:02:46.000]  他們經過佛里加
[00:02:46.000 --> 00:02:49.000]  接着又往北走經過加拉泰
[00:02:49.000 --> 00:02:51.000]  然後他們又往西繞了一點
[00:02:51.000 --> 00:02:54.000]  到了美西亞的邊界
[00:02:54.000 --> 00:02:57.000]  聖靈說他們就想往畢推尼去
[00:02:57.000 --> 00:02:59.500]  耶穌的靈卻不許
[00:02:59.500 --> 00:03:04.000]  他們就越過美西亞到了特羅亞
[00:03:04.000 --> 00:03:09.500]  這就是上帝的一個很奇妙的帶領
[00:03:09.500 --> 00:03:11.500]  什麼帶領呢
[00:03:11.500 --> 00:03:15.000]  讓人有點感覺不舒服
[00:03:15.000 --> 00:03:18.500]  甚至是一個冰冷和殘忍的事實
[00:03:18.500 --> 00:03:22.500]  禁止 關門
[00:03:22.500 --> 00:03:26.000]  走了好多的路 然後又不許
[00:03:26.000 --> 00:03:29.000]  你知道這一個禁止 一個不許
[00:03:29.000 --> 00:03:33.000]  保羅他們這麼多人 一個團隊
[00:03:33.000 --> 00:03:36.500]  走了多出八百公里的路
[00:03:36.500 --> 00:03:42.000]  有可能多費了好幾個月的時間
[00:03:42.000 --> 00:03:44.500]  爲什麼
[00:03:44.500 --> 00:03:49.000]  我想大家如果要是保羅團隊中的一員
[00:03:49.000 --> 00:03:50.000]  如果你是希臘的話
[00:03:50.000 --> 00:03:53.000]  你是他的副手或者你是保羅的話
