
[00:00:00.000 --> 00:00:06.880]  眨眼2017年都差不多到尾聲
[00:00:06.880 --> 00:00:12.320]  過去一年我們都彼此勉勵一起學習
[00:00:12.320 --> 00:00:17.800]  思想和實踐一個課題
[00:00:17.800 --> 00:00:20.880]  不知大家心中有沒有數呢?
[00:00:20.880 --> 00:00:26.920]  這個課題是建立健康的教會
[00:00:26.920 --> 00:00:29.440]  建立健康的教會
[00:00:29.440 --> 00:00:32.400]  當我們講到建立健康的教會的時候
[00:00:32.400 --> 00:00:38.400]  教會不只是指著我們的禮拜堂
[00:00:38.400 --> 00:00:41.240]  雖然是很美好
[00:00:41.240 --> 00:00:44.200]  但真正的意思建立健康的教會
[00:00:44.200 --> 00:00:47.320]  就是指著建立我們這個群體
[00:00:47.320 --> 00:00:49.720]  教會是門徒群體
[00:00:49.720 --> 00:00:56.320]  教會是神所愛的一群子民
[00:00:56.320 --> 00:00:59.920]  讓我們去建立這個群體
[00:00:59.920 --> 00:01:04.240]  而更加讓我們這個群體是健康的群體
[00:01:04.240 --> 00:01:05.400]  所以在今年裏面
[00:01:05.400 --> 00:01:09.560]  我們就嘗試透過不同的層面去思想
[00:01:09.560 --> 00:01:13.760]  我們可以怎樣去建立起我們這個門徒群體
[00:01:13.760 --> 00:01:15.680]  這個信仰群體
[00:01:15.680 --> 00:01:19.600]  以致我們更加的健康
[00:01:19.600 --> 00:01:21.480]  我很想和頂姐妹分享的
[00:01:21.480 --> 00:01:24.560]  在今年裏面就有七方面
[00:01:24.560 --> 00:01:29.520]  而過去我們已經是講了有五方面
[00:01:29.520 --> 00:01:31.320]  我們要建立健康的群體
[00:01:31.320 --> 00:01:32.360]  建立你和我
[00:01:32.360 --> 00:01:33.760]  第一樣東西
[00:01:33.760 --> 00:01:37.760]  就是我們需要和神有美好的關係
[00:01:37.760 --> 00:01:39.800]  還記不記得
[00:01:39.800 --> 00:01:41.320]  切勿遠離神
[00:01:41.320 --> 00:01:43.960]  總要親近神
[00:01:43.960 --> 00:01:46.160]  神就是我們的一切
[00:01:46.160 --> 00:01:48.840]  沒有了神甚麼都不存在
[00:01:48.840 --> 00:01:53.400]  所以我們一定要努力的去建立和神一個美好的關係
