
[00:00:00.000 --> 00:00:06.000]  不知道大家上個星期有沒有看《查理斯三世》的加冕儀式呢?
[00:00:06.000 --> 00:00:09.000]  我是沒有看,太悶了
[00:00:09.000 --> 00:00:13.000]  不過偶爾看到兩個鏡頭,看到那個查理斯
[00:00:13.000 --> 00:00:16.000]  很累很累,都可以明白的
[00:00:16.000 --> 00:00:19.000]  不過無論他怎樣的疲倦
[00:00:19.000 --> 00:00:23.000]  始終這個儀式,他都等了一輩子了
[00:00:23.000 --> 00:00:27.000]  所以我相信那一天那一刻,他真的極度的興奮
[00:00:27.000 --> 00:00:29.000]  對他來說相當的重要
[00:00:29.000 --> 00:00:34.000]  大家可以想像從王子變成一個國王
[00:00:34.000 --> 00:00:38.000]  是一個很重要、很重大的身份的改變
[00:00:38.000 --> 00:00:43.000]  不再是查理斯王子,如果是巴黎,是查理斯三世
[00:00:43.000 --> 00:00:50.000]  雖然在英國的君主制度,現在的君主制度
[00:00:50.000 --> 00:00:54.000]  現今的國王可能真的沒有什麼實際的權力
[00:00:54.000 --> 00:00:58.000]  更加多的可能只不過是象徵式的意義
[00:00:58.000 --> 00:01:02.000]  但我們也不能否認一個事實
[00:01:02.000 --> 00:01:06.000]  就是一個人如何活出他的身份
[00:01:06.000 --> 00:01:09.000]  很大程度上定義了他人生的方向
[00:01:09.000 --> 00:01:12.000]  或者是他所發揮的影響力
[00:01:12.000 --> 00:01:15.000]  對於查理斯三世來說
[00:01:15.000 --> 00:01:17.000]  我相信其實他有了這個身份之後
[00:01:17.000 --> 00:01:21.000]  他大可以運用這個新的身份
[00:01:21.000 --> 00:01:26.000]  可以改善、加強對其他國家的關係
[00:01:26.000 --> 00:01:28.000]  不過這樣說吧
[00:01:28.000 --> 00:01:30.000]  根據他過往的表現
[00:01:30.000 --> 00:01:33.000]  我相信這件事也很難會發生的了
[00:01:33.000 --> 00:01:35.000]  不過我們今天所看的故事
[00:01:35.000 --> 00:01:39.000]  以斯帖是一個剛剛相反的例子
[00:01:39.000 --> 00:01:42.000]  他從一個平凡的女子
[00:01:42.000 --> 00:01:47.000]  現今成為波斯閣的皇后
[00:01:47.000 --> 00:01:49.000]  這個身份的改變
[00:01:49.000 --> 00:01:53.000]  可以說讓他生命不再一樣
[00:01:53.000 --> 00:01:57.000]  故事告訴我們
[00:01:57.000 --> 00:02:00.000]  他也善用了這個身份
[00:02:00.000 --> 00:02:04.000]  來避免了他的民族
[00:02:04.000 --> 00:02:07.000]  他的百姓的種族清洗
