
[00:00:00.000 --> 00:00:02.820]  我們今天要講
[00:00:02.820 --> 00:00:06.760]  以色列人是如何渡過約旦河
[00:00:06.760 --> 00:00:09.820]  其實我們每個人的生命當中
[00:00:09.820 --> 00:00:11.820]  都可能有很多約旦河
[00:00:11.820 --> 00:00:14.080]  我們需要渡過
[00:00:14.080 --> 00:00:17.720]  很多時候我們都不懂得如何渡過
[00:00:17.720 --> 00:00:19.580]  今天我們就看看
[00:00:19.580 --> 00:00:21.380]  透過以色列人
[00:00:21.380 --> 00:00:25.380]  如何被約書亞帶領
[00:00:25.380 --> 00:00:27.380]  渡過約旦河來學習
[00:00:27.380 --> 00:00:30.960]  我們如何能夠渡過我們生命中的約旦河
[00:00:30.960 --> 00:00:33.460]  先講講一些背景
[00:00:33.460 --> 00:00:36.260]  在約書亞紀的一章一至二節
[00:00:36.260 --> 00:00:38.260]  神對約書亞說
[00:00:38.260 --> 00:00:39.560]  摩西死了
[00:00:39.560 --> 00:00:43.500]  你要起來和衆百姓渡過約旦河
[00:00:43.500 --> 00:00:46.740]  往我所賜給以色列人的地去
[00:00:46.740 --> 00:00:49.460]  其實早在摩西的時候
[00:00:49.460 --> 00:00:52.000]  在生命紀的六章二十三節
[00:00:52.000 --> 00:00:54.000]  摩西已經說
[00:00:54.000 --> 00:00:57.000]  神將我們從那裏領出來
[00:00:57.000 --> 00:01:00.000]  要領我們進入他向我們列祖
[00:01:00.000 --> 00:01:03.000]  起誓應許之地
[00:01:03.000 --> 00:01:05.000]  把這地賜給我們
[00:01:05.000 --> 00:01:09.000]  神帶領以色列人出捆綁
[00:01:09.000 --> 00:01:11.500]  出了圍爐之家
[00:01:11.500 --> 00:01:13.500]  要進入應許之地
[00:01:13.500 --> 00:01:16.000]  踏過紅海出埃及
[00:01:16.000 --> 00:01:18.000]  踏過約旦河
[00:01:18.000 --> 00:01:20.000]  現在要進入應許之地
[00:01:20.000 --> 00:01:25.500]  約書亞叫以色列人去到約旦河邊
[00:01:25.500 --> 00:01:28.000]  在那裏停留三天
[00:01:28.000 --> 00:01:30.000]  在那裏等候
[00:01:30.000 --> 00:01:32.000]  大家如果注意的話
[00:01:32.000 --> 00:01:34.000]  聖經裏面有很多三天
[00:01:34.000 --> 00:01:36.000]  上一次和大家說
