
[00:00:00.000 --> 00:00:03.360]  在開始今天聚會之前
[00:00:03.360 --> 00:00:06.560]  我們先做一個禱告
[00:00:06.560 --> 00:00:09.320]  阿爸婆剛才孩子問的時候
[00:00:09.320 --> 00:00:12.160]  幾乎所有的手都舉起來了
[00:00:12.160 --> 00:00:14.520]  那這都是您的恩典領導
[00:00:14.520 --> 00:00:17.960]  是您自己親自揀選的
[00:00:17.960 --> 00:00:20.200]  我們都是罪人
[00:00:20.200 --> 00:00:23.320]  但是剛才因為我們舉了手
[00:00:23.320 --> 00:00:26.080]  我們是蒙恩的罪人
[00:00:26.080 --> 00:00:27.920]  在您的恩典當中
[00:00:27.920 --> 00:00:29.680]  雖然過去我們犯了罪
[00:00:29.680 --> 00:00:34.640]  可是主耶穌為我們的過犯死在十字架上
[00:00:34.640 --> 00:00:39.440]  那祂替我們擔當了一切的罪
[00:00:39.440 --> 00:00:41.880]  主耶穌我們謝謝您
[00:00:41.880 --> 00:00:44.680]  願今天在這裡孩子所分享的
[00:00:44.680 --> 00:00:47.320]  是我生命的當中的經歷
[00:00:47.320 --> 00:00:48.880]  是神您的恩典
[00:00:48.880 --> 00:00:50.640]  是您的祝福
[00:00:50.640 --> 00:00:52.880]  願孩子所分享出來的
[00:00:52.880 --> 00:00:55.960]  讓聽到的弟兄姐妹跟朋友們
[00:00:55.960 --> 00:00:58.520]  同樣可以得到幫助
[00:00:58.520 --> 00:01:03.720]  因為這些都是神您行在孩子生命當中的恩典
[00:01:03.720 --> 00:01:06.760]  禱告奉耶穌基督的名
[00:01:06.760 --> 00:01:07.680]  Amen
[00:01:07.680 --> 00:01:18.200]  既然當下大家幾乎都舉手了
[00:01:18.200 --> 00:01:19.800]  那我們知道
[00:01:19.800 --> 00:01:22.320]  宇宙萬物的創造者
[00:01:22.320 --> 00:01:23.760]  祂是我們天上的爸爸
[00:01:23.760 --> 00:01:24.520]  祂愛我們
[00:01:24.520 --> 00:01:25.640]  祂創造我們
[00:01:25.640 --> 00:01:28.600]  數算祂的恩典數不盡講不完
[00:01:28.600 --> 00:01:31.720]  而今天這裡我特別要數算的是
[00:01:31.720 --> 00:01:34.160]  祂所創造的時間
[00:01:34.160 --> 00:01:36.520]  不停朝前走
