
[00:00:00.000 --> 00:00:02.000]  慈明門後丁子妹平安
[00:00:02.000 --> 00:00:04.000]  後丁子妹平安
[00:00:04.000 --> 00:00:08.000]  我們來到耶利米蘇的第七章三十節
[00:00:08.000 --> 00:00:10.000]  我們來到耶利米蘇七章三十節
[00:00:10.000 --> 00:00:12.000]  我的題目就是
[00:00:12.000 --> 00:00:16.000]  耶利米在聖殿門口的宣講第五講
[00:00:16.000 --> 00:00:20.000]  我的題目是在聖殿門口之宣講第五講
[00:00:20.000 --> 00:00:24.000]  第五講是因為我將次序排到第五
[00:00:24.000 --> 00:00:26.000]  因為我的次序排在第五
[00:00:26.000 --> 00:00:29.000]  所以我給這個題目是講災難的神諭
[00:00:29.000 --> 00:00:31.000]  災難的神諭
[00:00:31.000 --> 00:00:33.000]  是講審判
[00:00:33.000 --> 00:00:39.000]  為什麼要審判呢?
[00:00:39.000 --> 00:00:46.000]  因為猶大向耶和華不忠
[00:00:46.000 --> 00:00:55.000]  上帝要藉著耶利米講出你們不忠的後果
[00:00:55.000 --> 00:00:59.000]  有災難有審判
[00:00:59.000 --> 00:01:01.000]  好不好聽?
[00:01:01.000 --> 00:01:03.000]  不好聽
[00:01:03.000 --> 00:01:05.000]  好不好做?
[00:01:05.000 --> 00:01:07.000]  不好做
[00:01:07.000 --> 00:01:14.000]  耶利米說我要做神的僕人
[00:01:14.000 --> 00:01:16.000]  這是苦差
[00:01:16.000 --> 00:01:23.000]  所以我看到耶利米做了一個不可能完成的事情
[00:01:23.000 --> 00:01:25.000]  沒有人喜歡做的
[00:01:25.000 --> 00:01:27.000]  你講的事情沒有人喜歡聽的
[00:01:27.000 --> 00:01:29.000]  上帝要你講
[00:01:29.000 --> 00:01:31.000]  上帝要你講
[00:01:31.000 --> 00:01:34.000]  你會不會volunteer這份工作呢?
[00:01:34.000 --> 00:01:36.000]  你會不會說我主動要去做這份工作呢?
[00:01:36.000 --> 00:01:38.000]  耶利米其實很苦的
[00:01:38.000 --> 00:01:39.000]  耶利米很苦
[00:01:39.000 --> 00:01:40.000]  他不想做
[00:01:40.000 --> 00:01:41.000]  他不想做
[00:01:41.000 --> 00:01:42.000]  上帝叫你做呢?
[00:01:42.000 --> 00:01:43.000]  上帝叫你做呢?
[00:01:43.000 --> 00:01:44.000]  不講不行
[00:01:44.000 --> 00:01:45.000]  不講不行
[00:01:45.000 --> 00:01:46.000]  不做不行
[00:01:46.000 --> 00:01:47.000]  不做不行
[00:01:47.000 --> 00:01:48.000]  那他怎麼做?
[00:01:48.000 --> 00:01:50.000]  他怎麼做?
[00:01:50.000 --> 00:01:51.000]  他聽上帝的話
[00:01:51.000 --> 00:01:52.000]  他聽上帝的話
[00:01:52.000 --> 00:01:55.000]  不是看觀眾的對象喜不喜歡
[00:01:55.000 --> 00:01:57.000]  不是說觀眾喜不喜歡
[00:01:57.000 --> 00:01:59.000]  這個給我們一個什麼模特兒?
[00:01:59.000 --> 00:02:01.000]  這是真正上帝的僕人
[00:02:01.000 --> 00:02:03.000]  這才是真正上帝的僕人
[00:02:03.000 --> 00:02:05.000]  不是喜歡講人聽的話
[00:02:05.000 --> 00:02:08.000]  不是喜歡講人所喜歡聽的話
[00:02:08.000 --> 00:02:11.000]  要講上帝要你講的東西
[00:02:11.000 --> 00:02:14.000]  要講上帝要你講的話
