
[00:00:00.000 --> 00:00:25.000]  《約翰福音》第十章第一至十節
[00:00:30.000 --> 00:00:32.000]  我們一起去思想
[00:00:32.000 --> 00:00:34.000]  「我就是門」
[00:00:34.000 --> 00:00:36.000]  這是耶穌說的話
[00:00:36.000 --> 00:00:38.000]  說到門
[00:00:38.000 --> 00:00:41.000]  不同的家庭都有不同的門
[00:00:41.000 --> 00:00:44.000]  我不知道大家有沒有想過
[00:00:44.000 --> 00:00:45.000]  我們的教會
[00:00:45.000 --> 00:00:46.000]  就在這一層
[00:00:46.000 --> 00:00:48.000]  我叫Main Floor
[00:00:48.000 --> 00:00:50.000]  這一層究竟有多少道門呢?
[00:00:50.000 --> 00:00:52.000]  譬如兩道門那些
[00:00:52.000 --> 00:00:54.000]  兩道門開的那些叫一道
[00:00:54.000 --> 00:00:55.000]  那些只計算一道
[00:00:55.000 --> 00:00:57.000]  你猜我們這個Main Floor
[00:00:57.000 --> 00:00:59.000]  有多少道門呢?
[00:00:59.000 --> 00:01:01.000]  我曾經問過
[00:01:01.000 --> 00:01:03.000]  祖堂又問過禮拜六的堂
[00:01:03.000 --> 00:01:05.000]  《大紀元》都猜不到
[00:01:05.000 --> 00:01:06.000]  有些說多過五十
[00:01:06.000 --> 00:01:07.000]  有些說六十
[00:01:07.000 --> 00:01:10.000]  有些說是七十
[00:01:10.000 --> 00:01:12.000]  其實Main Floor有多少道門呢?
[00:01:12.000 --> 00:01:15.000]  我們這一層樓有106道門
[00:01:15.000 --> 00:01:16.000]  106道
[00:01:16.000 --> 00:01:17.000]  你看看
[00:01:17.000 --> 00:01:21.000]  當你建堂的基金
[00:01:21.000 --> 00:01:23.000]  很多錢都用來整門
[00:01:23.000 --> 00:01:25.000]  106道門
[00:01:25.000 --> 00:01:27.000]  二樓有多少道門呢?
[00:01:27.000 --> 00:01:31.000]  二樓樓上有49道門
[00:01:31.000 --> 00:01:33.000]  不知道有這麼多道門
[00:01:33.000 --> 00:01:35.000]  我都不知道教會有這麼多道門
