
[00:00:00.000 --> 00:00:03.480]  我今天講題就是遇上肚餓的耶穌
[00:00:03.480 --> 00:00:04.760]  大家肚不肚餓啊?
[00:00:04.760 --> 00:00:05.900]  都肚餓吧?
[00:00:05.900 --> 00:00:08.480]  沒吃下午茶嗎?這麼近APM
[00:00:08.480 --> 00:00:11.320]  我都有點肚餓
[00:00:11.320 --> 00:00:15.500]  我們先看看耶穌怎樣肚餓吧
[00:00:15.500 --> 00:00:19.760]  有一段經文我想跟大家讀一次
[00:00:19.760 --> 00:00:22.920]  來吧,1,2,3
[00:00:22.920 --> 00:00:30.160]  早晨,回城的時候,他餓了
[00:00:30.160 --> 00:00:35.080]  看見路旁有一棵無花果樹,就走到庚前
[00:00:35.080 --> 00:00:39.920]  在樹上找不到什麼,只有葉子,就對樹說
[00:00:39.920 --> 00:00:43.560]  從今以後,你永不結果子
[00:00:43.560 --> 00:00:46.480]  那無花果樹立刻枯幹
[00:00:46.480 --> 00:00:49.640]  門徒看見了,驚訝地說
[00:00:49.640 --> 00:00:53.680]  無花果樹怎麼立刻枯幹了呢?
[00:00:53.680 --> 00:00:55.720]  耶穌回答他們
[00:00:55.720 --> 00:00:57.720]  我實在告訴你們
[00:00:57.720 --> 00:01:00.560]  你們若有信心,不疑說
[00:01:00.560 --> 00:01:04.080]  不但能行我對無花果樹所行的事
[00:01:04.080 --> 00:01:06.160]  就是對這座山樹
[00:01:06.160 --> 00:01:10.240]  離開此地,投在海裡,也會實現
[00:01:10.240 --> 00:01:13.120]  你們禱告,無論求什麼
[00:01:13.120 --> 00:01:15.880]  只要信,就必得著
[00:01:15.880 --> 00:01:20.920]  今天看這段經文的時候,一開始就說我
[00:01:20.920 --> 00:01:23.400]  在我自己的教會,我就是林馬堂
[00:01:23.400 --> 00:01:26.360]  不知道有沒有人知道林馬堂在哪,是南丫島
[00:01:26.360 --> 00:01:29.600]  有朋友可以來找我
[00:01:29.600 --> 00:01:32.880]  我去這間教會,我的頂尖姐妹就說
[00:01:32.880 --> 00:01:35.560]  我是李淑妍宣教師,我很喜歡吃東西
[00:01:35.560 --> 00:01:37.440]  因為很多時候,我都說「食」
[00:01:37.440 --> 00:01:40.520]  我用「食」來做很多比喻,或者去生命
[00:01:40.520 --> 00:01:42.680]  生活裡面的結合
[00:01:42.680 --> 00:01:46.120]  再看這段經文的時候,又是說「食」
[00:01:46.120 --> 00:01:49.240]  耶穌想吃東西,祂肚子餓
[00:01:49.240 --> 00:01:52.240]  遇上肚子餓的耶穌,會是怎樣的呢?
[00:01:52.240 --> 00:01:56.360]  剛才說了,有些人肚子餓,又未吃茶
[00:01:56.360 --> 00:01:59.680]  平時肚子餓會怎樣呢?
[00:01:59.680 --> 00:02:02.640]  很肚餓,有沒有人試過很肚餓,很肚餓的時候
[00:02:02.640 --> 00:02:05.080]  而未找到東西吃的時候,會怎樣呢?
[00:02:05.080 --> 00:02:08.280]  可能你告訴我,生理的反應就是胃痛
[00:02:08.280 --> 00:02:14.040]  有沒有很想吃東西,有沒有試過呢?
[00:02:14.040 --> 00:02:15.360]  有些人有
[00:02:15.360 --> 00:02:17.920]  有些人其實真的沒有試過肚子餓
[00:02:17.920 --> 00:02:21.440]  隨手吃東西,到處都有東西吃
[00:02:21.440 --> 00:02:25.800]  我想肚子餓這件事,真的見仁見智
[00:02:25.800 --> 00:02:30.360]  有時候我去做事的時候
[00:02:30.360 --> 00:02:33.400]  我覺得多忙都好,先吃東西
[00:02:33.400 --> 00:02:35.880]  無謂之後捱壞身體
[00:02:35.880 --> 00:02:38.240]  所以都要預時間吃東西
[00:02:38.240 --> 00:02:40.920]  所以有時候頂屎妹會覺得
[00:02:40.920 --> 00:02:44.320]  我以前帶著學生,他們多忙,做到頭暈身痛
[00:02:44.320 --> 00:02:47.520]  我會set個時間,一定全部人停下來先吃東西
[00:02:47.520 --> 00:02:50.280]  既然都有計劃的話,不如先吃東西
[00:02:50.280 --> 00:02:54.640]  不用自己發脾氣,或者發惡,好像耶穌那樣
[00:02:54.640 --> 00:02:57.320]  耶穌今天在這段經文裡面說了一件事
[00:02:57.320 --> 00:02:59.360]  你不能讓我洗你棵樹
[00:02:59.360 --> 00:03:02.440]  你自刺之後就不能去結果節了
[00:03:02.440 --> 00:03:06.120]  這段經文我想如何看,或者有接觸過
[00:03:06.120 --> 00:03:08.320]  其實都很容易去明白
[00:03:08.320 --> 00:03:12.240]  所以今天很感恩,既買隊選的詩歌
[00:03:12.240 --> 00:03:17.080]  不知是否配合,也因為我先給了經文去配合
[00:03:17.080 --> 00:03:19.440]  或是趁機預備
[00:03:19.440 --> 00:03:21.280]  其實可能今天這段經文說完之後
[00:03:21.280 --> 00:03:23.080]  你剛才唱的那兩首詩歌
[00:03:23.080 --> 00:03:25.000]  你應該知道你應該怎樣
[00:03:25.000 --> 00:03:29.200]  當你遇上肚餓的耶穌的時候,應該是怎樣
[00:03:29.200 --> 00:03:31.040]  肚餓的耶穌,肚子餓的時候
[00:03:31.040 --> 00:03:34.240]  肚子餓的時候我們會找東西吃
[00:03:34.240 --> 00:03:38.280]  耶穌當時其實是在40天禁食之後
