
[00:00:00.000 --> 00:00:04.000]  第一次我們一同低頭祈禱
[00:00:30.000 --> 00:00:32.000]  到祢面前來的時候
[00:00:32.000 --> 00:00:34.000]  按著祢豐盛的慈愛
[00:00:34.000 --> 00:00:36.000]  將祢的恩賢賜給我們
[00:00:36.000 --> 00:00:38.000]  求主這個時候
[00:00:38.000 --> 00:00:40.000]  讓祢卑微的僕人
[00:00:40.000 --> 00:00:42.000]  能夠口中的言語
[00:00:42.000 --> 00:00:44.000]  心中的意念
[00:00:44.000 --> 00:00:46.000]  都能夠蒙元了
[00:00:46.000 --> 00:00:48.000]  所以聽我們的禱告
[00:00:48.000 --> 00:00:50.000]  奉耶穌名字祈求
[00:00:50.000 --> 00:00:56.000]  過去我們在香港生活
[00:00:56.000 --> 00:00:58.000]  不要說太久了
[00:00:58.000 --> 00:01:00.000]  我們都覺得
[00:01:00.000 --> 00:01:02.000]  安定繁榮是最重要的
[00:01:02.000 --> 00:01:04.000]  但到今時今日
[00:01:04.000 --> 00:01:06.000]  發覺這些名詞
[00:01:06.000 --> 00:01:08.000]  很多時候
[00:01:08.000 --> 00:01:10.000]  如果沒有真真正正
[00:01:10.000 --> 00:01:12.000]  神自己的
[00:01:12.000 --> 00:01:14.000]  作為在其中
[00:01:14.000 --> 00:01:16.000]  恐怕我們都安日以久
[00:01:16.000 --> 00:01:20.000]  看到世界各地很多的動盪
[00:01:20.000 --> 00:01:22.000]  很多的擾亂
[00:01:22.000 --> 00:01:24.000]  或許我們會為人祈禱
[00:01:24.000 --> 00:01:26.000]  關心一下
[00:01:26.000 --> 00:01:28.000]  不過始終
[00:01:28.000 --> 00:01:30.000]  都有一些隔岸觀火的感覺
[00:01:30.000 --> 00:01:32.000]  不知道大家對
[00:01:32.000 --> 00:01:34.000]  伊波拉有什麼感覺
[00:01:34.000 --> 00:01:36.000]  我想伊波拉
[00:01:36.000 --> 00:01:38.000]  不及沙士那麼厲害
[00:01:38.000 --> 00:01:40.000]  是不是
[00:01:40.000 --> 00:01:42.000]  伊波拉不及沙士那麼厲害
[00:01:42.000 --> 00:01:44.000]  不是
[00:01:44.000 --> 00:01:46.000]  但對我們的感受來說
[00:01:46.000 --> 00:01:48.000]  沙士和伊波拉哪裏影響較大
[00:01:48.000 --> 00:01:52.000]  第一次會求主幫助我們
[00:01:52.000 --> 00:01:54.000]  在這個世上活著的時候
[00:01:54.000 --> 00:01:56.000]  看事物
[00:01:56.000 --> 00:01:58.000]  不是單單
[00:01:58.000 --> 00:02:00.000]  有血肉之軀
[00:02:00.000 --> 00:02:02.000]  就憑血氣行事
[00:02:02.000 --> 00:02:04.000]  讓我們既然屬於神的人
[00:02:04.000 --> 00:02:06.000]  成為神的賢女
[00:02:06.000 --> 00:02:08.000]  我們都應該是時間
[00:02:08.000 --> 00:02:10.000]  醒一醒
[00:02:10.000 --> 00:02:12.000]  因為
[00:02:12.000 --> 00:02:14.000]  神的賢女
[00:02:14.000 --> 00:02:16.000]  應該有
[00:02:16.000 --> 00:02:18.000]  神的靈在心中
[00:02:18.000 --> 00:02:20.000]  世界大戰
[00:02:20.000 --> 00:02:22.000]  街頭巷鬥
[00:02:22.000 --> 00:02:24.000]  社會衝突
[00:02:24.000 --> 00:02:26.000]  甚至乎家庭
[00:02:26.000 --> 00:02:28.000]  有糾紛
[00:02:28.000 --> 00:02:32.000]  看來是表面的現象
[00:02:32.000 --> 00:02:34.000]  我在擔心
[00:02:34.000 --> 00:02:36.000]  其實都不是擔心
[00:02:36.000 --> 00:02:38.000]  感謝神
[00:02:38.000 --> 00:02:40.000]  到目前為止
[00:02:40.000 --> 00:02:42.000]  在我們堂會裏面
[00:02:42.000 --> 00:02:44.000]  尚未有教會的撕裂
[00:02:44.000 --> 00:02:46.000]  但是
[00:02:46.000 --> 00:02:48.000]  若然我們不警覺
[00:02:48.000 --> 00:02:50.000]  我相信
[00:02:50.000 --> 00:02:52.000]  我相信
[00:02:52.000 --> 00:02:54.000]  這種的現象
[00:02:54.000 --> 00:02:56.000]  是會出現的
[00:02:56.000 --> 00:03:00.000]  我們稱為神的賢女
[00:03:00.000 --> 00:03:02.000]  心裏面若果仍然
[00:03:02.000 --> 00:03:04.000]  剛硬
[00:03:04.000 --> 00:03:06.000]  不肯悔改
[00:03:06.000 --> 00:03:08.000]  我今早很早醒
[00:03:08.000 --> 00:03:10.000]  真的很早醒
[00:03:10.000 --> 00:03:12.000]  為了要講這篇訊息
[00:03:12.000 --> 00:03:14.000]  當我醒後在神面前祈禱的時候
[00:03:14.000 --> 00:03:16.000]  我突然間
[00:03:16.000 --> 00:03:18.000]  這十幾天未想過的問題
[00:03:18.000 --> 00:03:20.000]  不知道你們知不知道
[00:03:20.000 --> 00:03:22.000]  我在想什麼問題
[00:03:22.000 --> 00:03:24.000]  如果主耶穌在現在回來
[00:03:24.000 --> 00:03:28.000]  主耶穌在現在回來
[00:03:28.000 --> 00:03:30.000]  請問
[00:03:30.000 --> 00:03:32.000]  哪些人可以被提
[00:03:32.000 --> 00:03:36.000]  各持己見的人
[00:03:36.000 --> 00:03:40.000]  仍然心中以自己為主的人
