
[00:00:00.000 --> 00:00:02.000]  今天跟大家講到的題目是
[00:00:02.000 --> 00:00:04.000]  誰為領袖評分數
[00:00:04.000 --> 00:00:07.000]  大家先想想
[00:00:07.000 --> 00:00:09.000]  認為一個好的領袖
[00:00:09.000 --> 00:00:11.000]  最重要是甚麼條件呢?
[00:00:11.000 --> 00:00:13.000]  大家覺得一個好的領袖最重要是甚麼條件呢?
[00:00:13.000 --> 00:00:18.000]  另外當我們講到領袖的時候
[00:00:18.000 --> 00:00:21.000]  不知你心裏立刻想起甚麼人呢?
[00:00:21.000 --> 00:00:24.000]  領袖,你會想起甚麼人呢?
[00:00:24.000 --> 00:00:29.000]  其實每一個人在他人生的某一個階段
[00:00:29.000 --> 00:00:31.000]  或者某一個場合
[00:00:31.000 --> 00:00:33.000]  他都會承擔起一些領導的責任
[00:00:33.000 --> 00:00:35.000]  譬如小時候
[00:00:35.000 --> 00:00:37.000]  可能在家裏面
[00:00:37.000 --> 00:00:39.000]  如果你有幾兄弟姐妹
[00:00:39.000 --> 00:00:41.000]  你是哥哥姐姐的話
[00:00:41.000 --> 00:00:43.000]  你可能就是你弟弟妹妹的領袖
[00:00:43.000 --> 00:00:45.000]  當你讀書的時候
[00:00:45.000 --> 00:00:47.000]  可能老師選擇你做班長
[00:00:47.000 --> 00:00:49.000]  或者行長
[00:00:49.000 --> 00:00:51.000]  或者一些小組的組長
[00:00:51.000 --> 00:00:53.000]  你也是領袖
[00:00:53.000 --> 00:00:55.000]  到你工作的時候
[00:00:55.000 --> 00:00:57.000]  在你工作的單位裏面
[00:00:57.000 --> 00:00:59.000]  管理層,你也會管理一些同事
[00:00:59.000 --> 00:01:01.000]  成家立室
[00:01:01.000 --> 00:01:03.000]  你做了家長
[00:01:03.000 --> 00:01:05.000]  你又要照顧你的子女
[00:01:05.000 --> 00:01:07.000]  你也是子女的領袖
[00:01:07.000 --> 00:01:09.000]  又或者我們甚麼都不是
[00:01:09.000 --> 00:01:11.000]  你可能回來教會
[00:01:11.000 --> 00:01:13.000]  有時候在聚會裏面
[00:01:13.000 --> 00:01:15.000]  小組的組合
[00:01:15.000 --> 00:01:17.000]  主持人說我們討論完之後
[00:01:17.000 --> 00:01:19.000]  請人出來報告一下
[00:01:19.000 --> 00:01:21.000]  你也成為一個領袖
[00:01:21.000 --> 00:01:25.000]  即是一個人在他人生的某些場合
[00:01:25.000 --> 00:01:27.000]  某些階段
[00:01:27.000 --> 00:01:29.000]  總會承擔起領袖的角色
[00:01:29.000 --> 00:01:31.000]  有些人說
[00:01:31.000 --> 00:01:33.000]  有跟隨者就是領袖
[00:01:33.000 --> 00:01:35.000]  人肯跟你就是領袖
[00:01:35.000 --> 00:01:37.000]  孔子說
[00:01:37.000 --> 00:01:39.000]  三人行必有我師言
[00:01:39.000 --> 00:01:41.000]  當然這裡說到
[00:01:41.000 --> 00:01:43.000]  三人一個組合的話
[00:01:43.000 --> 00:01:45.000]  當中一定有一個人可以做老師
[00:01:45.000 --> 00:01:47.000]  有些東西我們可以向他學習
[00:01:47.000 --> 00:01:49.000]  好的向他學習
[00:01:49.000 --> 00:01:51.000]  不好的提醒自己不要學
[00:01:51.000 --> 00:01:53.000]  我相信在這個三人組合裏面
[00:01:53.000 --> 00:01:55.000]  總會有一些領袖
[00:01:55.000 --> 00:01:59.000]  而特博機構的社工
