
[00:00:00.000 --> 00:00:02.540]  好 我們開始的時候一起做一個祈禱
[00:00:02.540 --> 00:00:04.120]  我們天父我們感謝祢
[00:00:04.120 --> 00:00:06.300]  感謝祢給這本聖經給我們
[00:00:06.300 --> 00:00:12.900]  感謝祢給新約二十七本書給我們
[00:00:12.900 --> 00:00:17.140]  每一本對於我們來說都是一樣的寶貴
[00:00:17.140 --> 00:00:18.820]  我們不是在上學
[00:00:18.820 --> 00:00:23.100]  我們而是在走一條天國的道路
[00:00:23.100 --> 00:00:24.940]  是祢給我們的指納針
[00:00:24.940 --> 00:00:26.740]  是祢給我們的導引
[00:00:26.740 --> 00:00:29.100]  以致我們可以去到終點
[00:00:29.100 --> 00:00:34.180]  今天我們去到新約最後一本書《啟示錄》
[00:00:34.180 --> 00:00:36.160]  很難明白
[00:00:36.160 --> 00:00:38.800]  好像跟我們沒有甚麼關係的一本書
[00:00:38.800 --> 00:00:40.140]  但是從另一個角度來說
[00:00:40.140 --> 00:00:43.180]  跟我們是最密切的關係
[00:00:43.180 --> 00:00:45.280]  它跟我們是最接近的一本書
[00:00:45.280 --> 00:00:49.380]  它所說的也是一個天路的地圖
[00:00:49.380 --> 00:00:51.280]  幫助我們思想這一切
[00:00:51.280 --> 00:00:53.660]  祝福我們今天最後一課
[00:00:53.660 --> 00:00:56.620]  也可以令我們想起之前我們所學的
[00:00:56.620 --> 00:00:59.100]  許多許多的片段
[00:00:59.100 --> 00:01:01.620]  願主耶穌基督的名在我們當中被高舉
[00:01:01.620 --> 00:01:02.460]  我們這樣祈禱
[00:01:02.460 --> 00:01:03.660]  主耶穌基督的名求
[00:01:03.660 --> 00:01:05.660]  阿們
[00:01:05.660 --> 00:01:10.380]  今天是八課裏面最後一課
[00:01:10.380 --> 00:01:12.900]  但是我想很多東西大家都可能忘記了
[00:01:12.900 --> 00:01:15.380]  所以你有機會就回到這個網站
[00:01:15.380 --> 00:01:18.100]  tiny.cc/backtobible
[00:01:18.100 --> 00:01:21.180]  可以再聆聽
[00:01:21.180 --> 00:01:22.300]  我再強調一次
[00:01:22.300 --> 00:01:25.140]  就是我們正在看的不單止是一個歷史的書
[00:01:25.140 --> 00:01:26.860]  很多人看聖經就覺得
[00:01:26.860 --> 00:01:30.140]  這個是基督徒起源的時候
[00:01:30.140 --> 00:01:31.820]  二千年前的事情
[00:01:31.820 --> 00:01:34.820]  如果你當它是一本歷史書看
[00:01:34.820 --> 00:01:35.980]  不可以說不對
[00:01:35.980 --> 00:01:38.820]  但是它絕對是超越一個歷史的書
[00:01:38.820 --> 00:01:41.620]  這本書跟我們的生命息息有關
[00:01:41.620 --> 00:01:42.900]  如果你未信主的話
[00:01:42.900 --> 00:01:43.940]  你看它
[00:01:43.940 --> 00:01:46.060]  你只可以當它是歷史書來看
[00:01:46.060 --> 00:01:47.500]  但是你一信了主的時候
[00:01:47.500 --> 00:01:50.900]  你發現這本書裏面所說的很多東西
[00:01:50.900 --> 00:01:53.260]  其實應該是跟你的生命
[00:01:53.260 --> 00:01:56.620]  是有一種觸覺 有一種接觸的
[00:01:56.620 --> 00:01:59.460]  你應該感覺到它在幫助你
[00:01:59.460 --> 00:02:00.580]  或者它在指引你
[00:02:00.580 --> 00:02:04.060]  它在挑戰你走向這個天路
[00:02:04.060 --> 00:02:05.420]  你會記得一月份的時候
[00:02:05.420 --> 00:02:07.660]  我們開始我們的Alpha Day
[00:02:07.660 --> 00:02:09.060]  在Alpha Day裏面
[00:02:09.060 --> 00:02:12.620]  我們做了一個意象的分享
[00:02:12.620 --> 00:02:13.980]  你記不記得我說過
[00:02:13.980 --> 00:02:15.860]  有幾個數字想大家記住
[00:02:15.860 --> 00:02:18.900]  我們希望小朋友到十二歲的時候
[00:02:18.900 --> 00:02:22.100]  起碼讀完新修聖經
[00:02:22.100 --> 00:02:25.340]  到十八歲起碼讀完一次新舊約聖經
[00:02:25.340 --> 00:02:27.060]  如果你健健康康
[00:02:27.060 --> 00:02:28.660]  你在教會裏面長大
[00:02:28.660 --> 00:02:31.940]  去到你死之前起碼讀完二十次聖經
[00:02:31.940 --> 00:02:34.540]  你未讀完二十次就先不要死了
[00:02:34.540 --> 00:02:38.540]  搞到你要預備自己見主命
[00:02:38.540 --> 00:02:40.980]  甚至我說有一天可能我們
[00:02:40.980 --> 00:02:43.860]  我們的執委起碼要讀了三次聖經
[00:02:43.860 --> 00:02:46.060]  我們的執事要讀了五次聖經
[00:02:46.060 --> 00:02:49.780]  這樣你就發現這個成為我們的DNA
[00:02:49.780 --> 00:02:52.540]  這個是很重要很重要很重要的
[00:02:52.540 --> 00:02:56.740]  下個星期我都希望我們可以和大家分享
[00:02:56.740 --> 00:02:59.020]  之後我們還讀不讀舊約呢
[00:02:59.020 --> 00:03:00.940]  簡單來說當然是讀了
[00:03:00.940 --> 00:03:02.860]  我最近寫了一個計劃給黃牧師
[00:03:02.860 --> 00:03:05.140]  我們今年教會一百三十五週年紀念
[00:03:05.140 --> 00:03:06.780]  可不可以找一百三十五個人
[00:03:06.780 --> 00:03:09.380]  立志讀完本聖經呢
[00:03:09.380 --> 00:03:11.620]  然後就拿去籌錢
[00:03:11.620 --> 00:03:14.860]  籌錢就是籌給我們去Mission的
[00:03:14.860 --> 00:03:16.580]  去使命
[00:03:16.580 --> 00:03:18.060]  我們要做使命教會
[00:03:18.060 --> 00:03:21.020]  找一些人支持年輕人去讀聖經
[00:03:21.020 --> 00:03:23.220]  一元一章
[00:03:23.220 --> 00:03:26.380]  所以每人只支持一千一百八十九元
[00:03:26.380 --> 00:03:29.380]  但是其實這個很重要的一樣東西
[00:03:29.380 --> 00:03:32.220]  尤其是我說在一百三十五個人裏面
[00:03:32.220 --> 00:03:35.660]  我希望有25 under 25
[00:03:35.660 --> 00:03:39.580]  有25個是25歲或以下的
[00:03:39.580 --> 00:03:43.900]  25歲或以下的籌錢是double point triple point
[00:03:43.900 --> 00:03:46.780]  我們要鼓勵我們當中的年輕人
[00:03:46.780 --> 00:03:48.380]  去讀完這本聖經
[00:03:48.380 --> 00:03:49.580]  而且不斷重複地讀
[00:03:49.580 --> 00:03:53.300]  這樣我們就有未來
[00:03:53.300 --> 00:03:55.220]  就有盼望
[00:03:55.220 --> 00:03:56.060]  我們開始的時候
[00:03:56.060 --> 00:03:59.180]  我們讀了兩個路加的作品
