
[00:00:00.000 --> 00:00:02.980]  請我們一起先禱告
[00:00:02.980 --> 00:00:07.060]  慈悲的天父 求主祢藉著祢自己的話
[00:00:07.060 --> 00:00:11.280]  幫助我們在禱告裏面更加懂得去看重
[00:00:11.280 --> 00:00:13.040]  這是莫大的福分
[00:00:13.040 --> 00:00:15.820]  求主祢藉著祢的話幫助我們
[00:00:15.820 --> 00:00:19.580]  祈禱奉主耶穌基督的名 阿們
[00:00:19.580 --> 00:00:22.040]  陳耀南是一位國學大師
[00:00:22.040 --> 00:00:24.340]  我想大家都聽過他的名
[00:00:24.340 --> 00:00:26.640]  去了澳洲一段時間
[00:00:26.640 --> 00:00:34.320]  很多時候都會在教會裏面講一些神的關係
[00:00:34.320 --> 00:00:35.980]  特別是中國文化
[00:00:35.980 --> 00:00:38.820]  怎樣去跟基督教去比較
[00:00:38.820 --> 00:00:44.600]  怎樣去更加去選擇更加好的
[00:00:44.600 --> 00:00:47.440]  他有一本書叫做《從智力到他力》
[00:00:47.440 --> 00:00:50.800]  裏面提到他覺得人生都頗紛亂的
[00:00:50.800 --> 00:00:52.600]  很多時候有很多爭鬥
[00:00:52.600 --> 00:00:56.720]  特別是甚麼呢? 他說兄弟很多時候都爭鬥
[00:00:56.720 --> 00:01:01.780]  提到曹植、曹丕或者其他歷史裏面的人物
[00:01:01.780 --> 00:01:04.580]  他說兄弟的爭吵
[00:01:04.580 --> 00:01:08.260]  小時候就爭東西玩 大時候就爭甚麼?
[00:01:08.260 --> 00:01:10.960]  你想一下 爭甚麼? 爭家產
[00:01:10.960 --> 00:01:13.460]  所以這個很實際
[00:01:13.460 --> 00:01:17.760]  無論你們在宮廷裏面的皇帝爭皇位
[00:01:17.760 --> 00:01:23.580]  或者是市井之輩亦都爭他們自己要爭的東西
[00:01:23.580 --> 00:01:27.340]  他這樣講
[00:01:27.340 --> 00:01:31.380]  大丈夫不能一日無權
[00:01:31.380 --> 00:01:34.340]  小丈夫不能一日無錢
[00:01:34.340 --> 00:01:36.340]  這個是他講的
[00:01:36.340 --> 00:01:38.160]  很多事情都會爭很鬥
[00:01:38.160 --> 00:01:40.160]  其實陳耀南是在講甚麼呢?
[00:01:40.160 --> 00:01:43.300]  他說在人世間裏面就算最親的關係
[00:01:43.300 --> 00:01:47.840]  都為了一些事情出了一些罪性
[00:01:47.840 --> 00:01:52.800]  他更加提到人有時會出一些獸性
[00:01:52.800 --> 00:01:55.480]  他說有一位香港的女律師
[00:01:55.480 --> 00:02:00.200]  跟家人爭家產 父母兄弟爭家產
[00:02:00.200 --> 00:02:02.680]  當然她是一個律師 很有本事
[00:02:02.680 --> 00:02:06.180]  用了很多不擇手段的方式
[00:02:06.180 --> 00:02:07.860]  最後她輸了
[00:02:07.860 --> 00:02:09.660]  律師怎樣判詞呢?
[00:02:09.660 --> 00:02:13.340]  律師說這個人沒有了人性
[00:02:13.340 --> 00:02:15.340]  非常詭詐卑鄙
[00:02:15.340 --> 00:02:17.340]  用了一些很重的字
[00:02:17.340 --> 00:02:19.340]  人可以去到這樣
[00:02:19.340 --> 00:02:21.340]  其實陳耀南在講甚麼呢?
[00:02:21.340 --> 00:02:23.340]  在人世關係裏面有很多的罪
[00:02:23.340 --> 00:02:25.340]  但甚麼才是出路呢?
[00:02:25.340 --> 00:02:28.860]  他講一下 其實是神那裏告訴他
[00:02:28.860 --> 00:02:32.140]  聖經裏面講教會就是弟兄姊妹
[00:02:32.140 --> 00:02:36.280]  我們能夠在主的愛裏面是很不同的
[00:02:36.280 --> 00:02:38.280]  所以他用了詩篇
[00:02:38.280 --> 00:02:42.320]  弟兄和睦同居是何等美 何等善
[00:02:42.320 --> 00:02:45.660]  這樣去解說人的紛爭
[00:02:45.660 --> 00:02:48.400]  其實我想我們基督徒有時都面對
[00:02:48.400 --> 00:02:50.400]  有時我聽到一些姐妹提到
[00:02:50.400 --> 00:02:52.400]  有位姐妹同我提到
[00:02:52.400 --> 00:02:56.440]  公司裏面都各有各自己做一些政治
[00:02:56.440 --> 00:02:58.440]  有時我都很怕好像他們一樣
[00:02:58.440 --> 00:03:00.440]  我怎樣去在那個
[00:03:00.440 --> 00:03:03.640]  大家都在這個罪惡的社會裏面
[00:03:03.640 --> 00:03:05.640]  我怎樣走一條正路呢?
[00:03:05.640 --> 00:03:08.440]  我相信今日是講禱告
[00:03:08.440 --> 00:03:10.440]  特別是這邊的禱告是講大衛
[00:03:10.440 --> 00:03:14.580]  在一個很罪惡的面對罪惡的敵人的時候
[00:03:14.580 --> 00:03:18.700]  他怎樣去在主裏面直著禱告有平安
[00:03:18.700 --> 00:03:20.700]  我想今日都很適用
