
[00:00:00.000 --> 00:00:05.640]  大家今天看這個題目是性過死亡的盼望
[00:00:05.640 --> 00:00:08.660]  我相信生離死別在我們當中
[00:00:08.660 --> 00:00:10.920]  也會經歷過
[00:00:10.920 --> 00:00:13.580]  分離是一個很大的痛楚
[00:00:13.580 --> 00:00:17.520]  盼望這段經文給了我們安慰
[00:00:17.520 --> 00:00:22.380]  在美國有一位註冊的護士叫做韋沙利
[00:00:22.380 --> 00:00:26.320]  他寫了一本書叫做《伊治哀傷》
[00:00:26.320 --> 00:00:28.660]  這本書很好
[00:00:28.660 --> 00:00:32.440]  這本書講述他將自己丈夫離世的時候
[00:00:32.440 --> 00:00:36.140]  他的哀傷經歷敘述了出來
[00:00:36.140 --> 00:00:38.200]  也是他如何經歷人的安慰
[00:00:38.200 --> 00:00:41.340]  然後他提出一些安慰人的指引
[00:00:41.340 --> 00:00:43.660]  我覺得這本書很感動
[00:00:43.660 --> 00:00:46.740]  他講到有一晚
[00:00:46.740 --> 00:00:48.200]  很累了 做到很晚
[00:00:48.200 --> 00:00:49.740]  很想回家休息
[00:00:49.740 --> 00:00:53.620]  只是想休息的時候突然間門鐘響了
[00:00:53.620 --> 00:01:00.500]  原來是他丈夫的一些員工來找他
[00:01:00.500 --> 00:01:05.460]  報告的消息是他的丈夫約翰從很高處跌下來了
[00:01:05.460 --> 00:01:09.640]  因為他丈夫是做一個工程的承建商
[00:01:09.640 --> 00:01:13.860]  專門蓋一些樓屋頂
[00:01:13.860 --> 00:01:17.660]  一聽到這個消息突然間呆了
[00:01:17.660 --> 00:01:19.820]  立即去到醫院
[00:01:19.820 --> 00:01:21.340]  去到醫院的時候
[00:01:21.340 --> 00:01:25.200]  他就見到一些同事 同事再講講詳細的情況
[00:01:25.200 --> 00:01:30.440]  他說他丈夫其實在40呎這麼高跌下來了
[00:01:30.440 --> 00:01:33.560]  即是呆了
[00:01:33.560 --> 00:01:38.600]  然後醫生就面色很凝重的走出來
[00:01:38.600 --> 00:01:41.440]  有一種很親切的聲音跟他說
[00:01:41.440 --> 00:01:43.480]  我們盡了我們所有的努力
[00:01:43.480 --> 00:01:46.180]  但是救不了你的先生
[00:01:46.180 --> 00:01:49.440]  是一個非常大的惡號
[00:01:49.440 --> 00:01:51.880]  當他離開醫院回家的時候
[00:01:51.880 --> 00:01:54.960]  他整個人呆了
[00:01:54.960 --> 00:02:00.080]  他發覺自己有點暈和手抖
[00:02:00.080 --> 00:02:03.700]  他很難消化到兩個小時之內發生了什麼事
[00:02:03.700 --> 00:02:06.780]  這個事情他掌握不了
[00:02:06.780 --> 00:02:11.380]  其實帶來一些很沉重的傷痛
[00:02:11.380 --> 00:02:13.480]  沙利盈容說
[00:02:13.480 --> 00:02:19.920]  一個喪偶的人就好像踩單車 即是沒有了一隻腳
[00:02:19.920 --> 00:02:23.920]  單腳來踩 很難保持平衡
[00:02:23.920 --> 00:02:28.660]  很多日常擁有的東西突然間沒有了
[00:02:28.660 --> 00:02:37.680]  他講到跟丈夫每天傾心吐意的伴侶沒有了
[00:02:37.680 --> 00:02:42.540]  他說我最好的朋友 我的愛人失去了
[00:02:42.540 --> 00:02:44.520]  他說這個丈夫很陰謀的
[00:02:44.520 --> 00:02:48.740]  經常使得家人突然間很緊張的時候
[00:02:48.740 --> 00:02:52.160]  很輕鬆大家笑一下
[00:02:52.160 --> 00:02:53.560]  沒有了
[00:02:53.560 --> 00:02:57.900]  他說這個很有理財能力的人
[00:02:57.900 --> 00:03:02.780]  是跟我父將 按時父將的這個幫手也失去了
[00:03:02.780 --> 00:03:04.240]  很多很多的失去
