
[00:00:00.000 --> 00:00:05.840]  你對耶穌基督的認識會直接影響你和祂的關係
[00:00:05.840 --> 00:00:10.960]  但你越認識耶穌的時候,你就會越愛祂,越想親近祂
[00:00:10.960 --> 00:00:14.920]  但你越認識主的時候,你的生命就越來越像祂
[00:00:14.920 --> 00:00:20.160]  你的工作,你的服事肯定是大有果效
[00:00:20.160 --> 00:00:25.560]  但是我們知道,我們生活在充滿誘惑的社會環境裏面
[00:00:25.560 --> 00:00:30.040]  我們要常常警醒禱告,免得我們入了迷惑
[00:00:30.040 --> 00:00:33.600]  這也是耶穌基督在《馬太福音》二十六章,這是一節告訴我們的
[00:00:33.600 --> 00:00:39.200]  祂說:總要警醒禱告,免得入了迷惑
[00:00:39.200 --> 00:00:46.240]  有一個美國富豪到梵蒂岡去拜訪天主教的教皇
[00:00:46.240 --> 00:00:52.480]  教皇和他兩人就在羅馬教廷的花園裏面散步
[00:00:52.480 --> 00:00:59.800]  然後有另外一位書記,這個主教在旁邊陪伴着他們
[00:00:59.800 --> 00:01:07.120]  這位美國富豪很有誠心,要爲教會奉獻一大筆鉅款來做慈善的工作
[00:01:07.120 --> 00:01:13.720]  但是卻遭到教皇一次又一次的搖頭拒絕
[00:01:13.720 --> 00:01:20.960]  然後這位美國富豪對他說:那我捐一千萬美元可以嗎?
[00:01:20.960 --> 00:01:24.280]  教皇說不可以
[00:01:24.280 --> 00:01:33.320]  那麼兩千萬美元呢?教皇還是搖搖頭不答應他
[00:01:33.320 --> 00:01:42.600]  那五千萬美元呢?教皇仍然拒絕他家那個要求
[00:01:42.600 --> 00:01:49.760]  幾分鐘以後這個美國富豪就真的是很大方的再度的請求他
[00:01:49.760 --> 00:01:55.160]  這樣好了,我捐一億美元可以嗎?
[00:01:55.160 --> 00:01:57.680]  這時候教皇有點心動
[00:01:57.680 --> 00:02:05.600]  但是思想了以後還是非常痛苦的搖頭拒絕了
[00:02:05.600 --> 00:02:10.280]  因此這位美國富豪就很傷心事萬的離開了
[00:02:10.280 --> 00:02:16.320]  旁邊這位書記主教看到以後就趕緊來勸教皇說
[00:02:16.320 --> 00:02:23.880]  教皇啊,你知道嗎?這一億美元可以爲我們蓋多少間教堂
[00:02:23.880 --> 00:02:28.200]  可以幫助多少飢餓的人有飯喫,可以蓋多少間醫院
[00:02:28.200 --> 00:02:31.840]  你爲什麼這麼堅決的拒絕他呢?
[00:02:31.840 --> 00:02:35.320]  教皇非常無奈的回答他說
[00:02:35.320 --> 00:02:39.000]  哎呀,你不知道呀
[00:02:39.000 --> 00:02:45.320]  這個美國人要我們在做完彌撒祈禱結束以後不能再說阿悶
[00:02:45.320 --> 00:02:49.920]  要改口說可口可樂啦
[00:02:49.920 --> 00:02:57.560]  教堂排名人說要警醒禱告,免得你入了迷惑
[00:02:57.560 --> 00:03:04.400]  今天早上我們一起來思想使徒彼得在跟隨耶穌基督三年半的時間裏面
[00:03:04.400 --> 00:03:10.920]  他因爲缺少警醒禱告,多次進入了迷惑
[00:03:10.920 --> 00:03:14.000]  最後還三次不認耶穌基督
[00:03:14.000 --> 00:03:19.360]  但是耶穌基督對他的愛仍然是愛到底的愛,仍然是不離不棄的愛
[00:03:19.360 --> 00:03:22.000]  耶穌基督都沒有放過他
[00:03:22.000 --> 00:03:27.000]  所以今天早上我們想來看耶穌基督如何再一次來恢復彼得的信心
[00:03:27.000 --> 00:03:31.360]  再一次肯定他做使徒牧養教會的職份
[00:03:31.360 --> 00:03:37.520]  我們先來看約翰福音第21章,我們先從第1節看,然後到第15節到19節
[00:03:37.520 --> 00:03:43.560]  第1節這裏說這些事以後,耶穌在提比利亞海邊又向門徒顯現
[00:03:43.560 --> 00:03:45.920]  他怎樣顯現,記在下面
[00:03:45.920 --> 00:03:48.320]  接下來我們要一節一節來看
[00:03:48.320 --> 00:03:53.800]  首先說這些事以後,是指在上文約翰福音第20章
[00:03:53.800 --> 00:03:57.840]  耶穌基督曾經兩次復活以後向門徒顯現
[00:03:57.840 --> 00:04:02.320]  第一次顯現的時候多馬不在場,然後第二次顯現的時候多馬在場
[00:04:02.320 --> 00:04:09.840]  這次以後是第三次,耶穌在提比利亞海邊又向門徒顯現
[00:04:09.840 --> 00:04:11.560]  第三次向門徒顯現
[00:04:11.560 --> 00:04:15.640]  那你說爲什麼在提比利亞海邊呢?不在地中海呢?
[00:04:15.640 --> 00:04:18.160]  到底什麼是提比利亞海?
[00:04:18.160 --> 00:04:21.720]  提比利亞海在聖經裏面有很多不同的名稱,但是都是同一個地方
[00:04:21.720 --> 00:04:25.120]  乃是加利利海,也是哥尼沙的海
[00:04:25.120 --> 00:04:33.400]  換句話說,乃是耶穌基督教訓門徒教訓衆人,還有他行神祭的一個地點
[00:04:33.400 --> 00:04:39.360]  也是當年他呼召彼得來跟隨他的加利利海
[00:04:39.360 --> 00:04:42.320]  也就是剛纔所說的提比利亞海
[00:04:42.320 --> 00:04:47.120]  所以你可以想象,在這個地方,耶穌基督再一次向彼得和其他門徒顯現
[00:04:47.120 --> 00:04:49.640]  一定會勾起他許多的回憶
[00:04:49.640 --> 00:04:53.640]  心中我相信彼得是感慨萬千
[00:04:53.640 --> 00:04:58.680]  然後從第二節到第四節,講到彼得就跟其他門徒一起打魚去了
[00:04:58.680 --> 00:05:01.720]  我們先跳到第十五節來看
[00:05:01.720 --> 00:05:04.600]  第十五節說什麼呢?他們喫完了早飯
[00:05:04.600 --> 00:05:11.040]  耶穌對西門彼得說:約翰的兒子西門,你愛我比這些更深嗎?
[00:05:11.040 --> 00:05:13.840]  彼得說:諸化,是的,你知道我愛你
[00:05:13.840 --> 00:05:17.320]  耶穌對他說:你餵養我的小羊
[00:05:17.320 --> 00:05:20.960]  在這個之前,彼得就來到加利利海邊
[00:05:20.960 --> 00:05:24.080]  然後就跟其他六個使徒門徒在一起
[00:05:24.080 --> 00:05:25.600]  彼得說:我打魚去了
[00:05:25.600 --> 00:05:27.880]  沒想到一講打魚去,其他人跟他一起去打魚
[00:05:27.880 --> 00:05:30.960]  他們整夜都沒有打到一條魚
[00:05:30.960 --> 00:05:34.840]  當時耶穌在岸上告訴他們說:把網撒在右邊
[00:05:34.840 --> 00:05:37.440]  他們網一撒在右邊,就抓了很多魚
[00:05:37.440 --> 00:05:41.040]  而且一百五十三條大魚網都沒有破
[00:05:41.040 --> 00:05:43.600]  然後耶穌問他們說:你們有喫的沒有?
[00:05:43.600 --> 00:05:44.680]  他們肯定當時沒有
[00:05:44.680 --> 00:05:49.520]  所以耶穌就在海邊、岸邊爲他們預備了早飯
[00:05:49.520 --> 00:05:52.320]  所以就很講清楚他們喫完了早飯
[00:05:52.320 --> 00:05:55.080]  什麼早飯呢?就是燒魚跟燒餅
[00:05:55.080 --> 00:05:56.520]  哇,這個多麼棒的早餐
[00:05:56.520 --> 00:05:57.480]  燒魚、燒餅
[00:05:57.480 --> 00:06:01.320]  耶穌體貼他們的疲倦,爲他們預備的早餐
[00:06:01.320 --> 00:06:05.440]  這裏說:他們喫完了早飯
[00:06:05.440 --> 00:06:11.000]  這裏其實耶穌告訴我們一個非常重要溝通的基本條件
[00:06:11.000 --> 00:06:12.600]  當一個人又累又餓的時候
[00:06:12.600 --> 00:06:14.400]  你不要跟他講很多的話
[00:06:14.400 --> 00:06:17.760]  講什麼話肯定就聽不進去
[00:06:17.760 --> 00:06:20.600]  就好像當一個丈夫從公司裏面回來的時候
[00:06:20.600 --> 00:06:22.040]  又累又餓
[00:06:22.040 --> 00:06:25.160]  然後你講一大堆今天你要跟他所說的話
[00:06:25.160 --> 00:06:26.520]  都要傾倒在他身上
[00:06:26.520 --> 00:06:28.040]  他根本聽不進去
[00:06:28.040 --> 00:06:29.960]  你要先怎麼樣?先餵飽了他
[00:06:29.960 --> 00:06:32.400]  然後纔來教訓他
[00:06:32.400 --> 00:06:34.360]  接着彼得,耶穌所做的事情
[00:06:34.360 --> 00:06:35.840]  喫完了早飯以後
[00:06:35.840 --> 00:06:37.680]  然後耶穌纔對他說什麼?
[00:06:37.680 --> 00:06:39.000]  耶穌對彼得說什麼?
[00:06:39.000 --> 00:06:42.840]  他說:約翰的兒子西門
[00:06:42.840 --> 00:06:45.560]  很有趣,你愛我比這些更多嗎?
[00:06:45.560 --> 00:06:47.200]  他沒有直接說西門
[00:06:47.200 --> 00:06:48.640]  彼得,你愛我比這些更多嗎?
