
[00:00:00.000 --> 00:00:04.000]  多謝林牧師讓我有機會跟大家一起去敬拜
[00:00:04.000 --> 00:00:06.000]  這個是何等大的祝福
[00:00:06.000 --> 00:00:09.400]  我經常都覺得我們能夠進入教會
[00:00:09.400 --> 00:00:13.000]  實體的敬拜真是上帝的恩典
[00:00:13.000 --> 00:00:17.000]  亦都很想在這裏多謝當中的弟兄姊妹
[00:00:17.000 --> 00:00:21.000]  你們一直都紀念到伯特利仇院對我們有關愛有支持
[00:00:21.000 --> 00:00:25.000]  過去兩年香港真是很多的變動
[00:00:25.000 --> 00:00:29.000]  我想無論教會還是神學院的生態都有很多的不同
[00:00:29.000 --> 00:00:33.000]  我做了兩年的院長可以說真是舉步維艱
[00:00:33.000 --> 00:00:35.000]  但是靠著上帝的恩典
[00:00:35.000 --> 00:00:39.000]  我日日看到上帝對學院的領導和神蹟
[00:00:39.000 --> 00:00:42.000]  日日經歷上帝的真實
[00:00:42.000 --> 00:00:45.000]  亦都希望弟兄姊妹繼續紀念伯特利仇院
[00:00:45.000 --> 00:00:49.000]  對香港神學教育一份的堅持
[00:00:49.000 --> 00:00:52.000]  過去兩年香港真是很多的變動
[00:00:52.000 --> 00:00:57.000]  本來安穩但是生活其實變得無從預測
[00:00:57.000 --> 00:01:01.000]  其實我們就算想下幾時可以和班老友
[00:01:01.000 --> 00:01:03.000]  十個八個一齊食飯
[00:01:03.000 --> 00:01:05.000]  我們都不是很肯定
[00:01:05.000 --> 00:01:11.000]  我們幾渴望教會可以完全不用現在數號碼
[00:01:11.000 --> 00:01:14.000]  拿卡仔入來是無限制地敬拜
[00:01:14.000 --> 00:01:17.000]  有時我們都好似好無奈
[00:01:17.000 --> 00:01:21.000]  這個就是我們面對的情況
[00:01:21.000 --> 00:01:26.000]  家裏亦都不是一樣有好轉
[00:01:26.000 --> 00:01:29.000]  有時不少人要留在家裏
[00:01:29.000 --> 00:01:34.000]  其實疫情之後我們留在家裏是多了很多時間
[00:01:34.000 --> 00:01:38.000]  理論上我們以前那麼忙現在留在家裏
[00:01:38.000 --> 00:01:43.000]  我們去補充補足以往的疏離繁忙
[00:01:43.000 --> 00:01:46.000]  但是有時有事與願違
[00:01:46.000 --> 00:01:48.000]  有個太太跟我說要命
[00:01:48.000 --> 00:01:52.000]  以前只是預備晚餐現在預備廿一餐
[00:01:52.000 --> 00:01:56.000]  年終無憂 雖然不用自己煮
[00:01:56.000 --> 00:01:59.000]  想給工人都要很長時間想
[00:01:59.000 --> 00:02:05.000]  而且全日子女家裏由早到晚很難順眼
[00:02:05.000 --> 00:02:09.000]  兩夫婦一齊同困家中火氣就常衝
[00:02:09.000 --> 00:02:13.000]  一家人在家裏有時困獸鬥幾難捱
[00:02:13.000 --> 00:02:17.000]  但有時我們想下為何不是更親密
[00:02:17.000 --> 00:02:20.000]  為何不是更開心
[00:02:20.000 --> 00:02:23.000]  或者我嘗試去解釋
[00:02:23.000 --> 00:02:27.000]  有時不少夫妻的衝突不少的誤會
[00:02:27.000 --> 00:02:33.000]  是我們計算我們配偶在家裏的參與和投入
[00:02:33.000 --> 00:02:37.000]  不同計法所以帶來很多的誤會
[00:02:37.000 --> 00:02:39.000]  我不知道你同不同意
[00:02:39.000 --> 00:02:42.000]  我們男人都喜歡做躺平族
[00:02:42.000 --> 00:02:45.000]  有甚麼就回去 癱頭
[00:02:45.000 --> 00:02:48.000]  癱頭我們就不理會
[00:02:48.000 --> 00:02:51.000]  癱頭我們對家務家庭的需要
[00:02:51.000 --> 00:02:53.000]  我們又不是很留意
[00:02:53.000 --> 00:02:56.000]  而且男性對感情對關心
[00:02:56.000 --> 00:02:58.000]  我們又不是很敏銳
[00:02:58.000 --> 00:03:01.000]  對太太來說就覺得被忽略
[00:03:01.000 --> 00:03:05.000]  從太太的角度你就不關心不體貼
[00:03:05.000 --> 00:03:07.000]  還要命加多一樣東西
[00:03:07.000 --> 00:03:09.000]  我不知道你贊不贊成
[00:03:09.000 --> 00:03:11.000]  一會兒不要罵我 完了就罵我
[00:03:11.000 --> 00:03:15.000]  你們女士有種思考特質
[00:03:15.000 --> 00:03:19.000]  你們猜中有獎 主動才有分
[00:03:19.000 --> 00:03:22.000]  贊不贊成 我不知道是不是
[00:03:22.000 --> 00:03:24.000]  很久都沒有送花了
[00:03:24.000 --> 00:03:28.000]  好 送送送 送了花 買了花
[00:03:28.000 --> 00:03:32.000]  叫先送 是不是這樣
[00:03:32.000 --> 00:03:37.000]  我們有時是看你主動的 自動自覺的
