
[00:00:00.000 --> 00:00:03.040]  有一首詩歌叫做《戀我如徵》
[00:00:03.040 --> 00:00:07.120]  這首詩歌裏面的作者是魏拓升
[00:00:07.120 --> 00:00:10.140]  有多少人知道魏拓升是誰
[00:00:10.140 --> 00:00:13.020]  不知道不要緊 慢慢去找
[00:00:13.020 --> 00:00:16.880]  日子如何 力量如何 認識人又如何
[00:00:16.880 --> 00:00:23.020]  這首歌的背景就是當弟兄有個青梅竹馬的女朋友
[00:00:23.020 --> 00:00:26.800]  長大之後這個女朋友入讀燕京大學
[00:00:26.800 --> 00:00:28.560]  當時很出名的一間
[00:00:28.560 --> 00:00:30.900]  今天也很出名 不知道有沒有 好像沒有
[00:00:30.900 --> 00:00:33.640]  是爲燕大的校花
[00:00:33.640 --> 00:00:39.040]  當魏拓升在中學得救
[00:00:39.040 --> 00:00:42.200]  他開始傳福音 又爲這個女朋友禱告
[00:00:42.200 --> 00:00:44.200]  一直爲這個女朋友禱告
[00:00:44.200 --> 00:00:45.440]  結果他很失望
[00:00:45.440 --> 00:00:48.200]  但他在心裏很掙扎
[00:00:48.200 --> 00:00:51.200]  到底我愛女朋友多些 還是愛耶穌多些
[00:00:51.200 --> 00:00:53.400]  愛女朋友多些 還是愛耶穌多些
[00:00:53.400 --> 00:00:55.840]  有一天聖靈挑冠充滿他
[00:00:55.840 --> 00:01:00.560]  將他和女朋友所有的書信情信燒了
[00:01:00.560 --> 00:01:07.760]  又告訴他的女朋友
[00:01:07.760 --> 00:01:10.400]  基督是我的最愛
[00:01:10.400 --> 00:01:12.400]  如果你是他的女朋友又如何
[00:01:12.400 --> 00:01:14.400]  最愛就是你最愛
[00:01:14.400 --> 00:01:16.400]  不愛就算了
[00:01:16.400 --> 00:01:19.400]  魏拓升沒有這樣而放棄
[00:01:19.400 --> 00:01:22.200]  他一直因爲基督是最愛
[00:01:22.200 --> 00:01:24.200]  他就傳福音 繼續傳福音
[00:01:24.200 --> 00:01:26.200]  很多人相信耶穌
[00:01:26.200 --> 00:01:28.200]  最後
[00:01:28.200 --> 00:01:30.200]  他女朋友
[00:01:30.200 --> 00:01:33.200]  都有悔改的機會
[00:01:33.200 --> 00:01:37.200]  而且耶穌將這個女朋友給回他
[00:01:37.200 --> 00:01:41.200]  所以他在生命裏
[00:01:41.200 --> 00:01:43.200]  當他女朋友不理他的時候
[00:01:43.200 --> 00:01:45.200]  他就寫了以下這首詩
[00:01:45.200 --> 00:01:48.200]  這首詩是這樣說的
[00:01:48.200 --> 00:01:50.200]  我們一起讀一讀這首詩
[00:01:50.200 --> 00:01:51.200]  好嗎
[00:01:51.200 --> 00:01:52.200]  一二三來
[00:01:52.200 --> 00:01:56.200]  你若不壓壓橄欖成渣
