
[00:00:00.000 --> 00:00:02.000]  《彼得前書》四章十節
[00:00:02.000 --> 00:00:05.940]  每一個人都一定有從上帝而來的恩賜
[00:00:05.940 --> 00:00:10.520]  千萬不要把那些恩賜埋藏在地底
[00:00:10.520 --> 00:00:15.320]  根據主耶穌講的那個才幹的比喻
[00:00:15.320 --> 00:00:21.320]  如果我們知道每一個基督徒有一天都要向上帝交帳
[00:00:21.320 --> 00:00:24.960]  有機會而不肯侍奉上帝的人
[00:00:24.960 --> 00:00:28.320]  不一定可以進入上帝的家
[00:00:28.320 --> 00:00:34.320]  但是盡力侍奉上帝的人是不是一定可以進入上帝的天堂呢?
[00:00:34.320 --> 00:00:39.320]  最近我開始每年讀《聖經》一次的計劃
[00:00:39.320 --> 00:00:45.320]  再一次讀到《馬太福音》七章二十一至二十三節的經文
[00:00:45.320 --> 00:01:14.320]  「不是每一個稱呼我主下主下的人都能進天國,只有實行我天父旨意的才能進去,在末日來臨的時候,許多人要對我說,主下主下,我們曾奉你的名傳上帝的信息,也曾奉你的名講許多鬼行、許多神蹟,那時候我要公然告訴他們,我從不認識你們,你們這些作惡的走開吧。」
[00:01:14.320 --> 00:01:19.320]  大家會不會覺得奇怪?
[00:01:19.320 --> 00:01:30.320]  為什麼傳上帝信息,又奉上帝的名,耶穌的名,講許多鬼行,許多神蹟的人都不可以進天堂?
[00:01:30.320 --> 00:01:33.320]  奇怪嗎?
[00:01:33.320 --> 00:01:42.320]  其實要明白為什麼這麼熱心侍奉主的人都不能夠進入天堂
[00:01:42.320 --> 00:01:46.320]  我們一定要看上文,耶穌講什麼
[00:01:46.320 --> 00:01:48.320]  在七章十五至十九節說
[00:01:48.320 --> 00:02:06.320]  「你們要提防假先知,你們能夠從他們的行為認出他們,好樹結好果子,壞樹結壞果子,所以從他們的行為你們能夠認出假先知來。」
[00:02:06.320 --> 00:02:20.320]  原來這個世界上有真藥都有假藥,有真先知也有假先知,這裡要提到要從行為去認出假先知來
[00:02:20.320 --> 00:02:34.320]  如果講行為,就不單單是傳福音、講鬼、行奇蹟,還要看那個人的品格和做事的動機
[00:02:34.320 --> 00:02:49.320]  事實上從聖經的整體教導來看,上帝是看重我們的品格,過於我們為他做了什麼事情
[00:02:49.320 --> 00:02:53.320]  英文是Being rather than Doing
[00:02:53.320 --> 00:03:01.320]  我們是一個怎樣的人,比我們做了什麼事更加重要
[00:03:01.320 --> 00:03:10.320]  所以今天我和大家思想的主題是果子的管家,或者說聖靈果子的管家
[00:03:10.320 --> 00:03:16.320]  如果大家蓋好聖經,請大家打開,在加拉太帥第五章
[00:03:16.320 --> 00:03:18.320]  十六節至十七節說
[00:03:18.320 --> 00:03:30.320]  「你們的言行要順從聖靈的引導,不要滿足自己本性的慾望,因為本性的慾望跟聖靈是互相敵對,彼此對立,
[00:03:30.320 --> 00:03:33.320]  所以你們不能做自己所願意做的。」
[00:03:33.320 --> 00:03:42.320]  這裡很清楚讓我們看到,原來要有好的言行品格,真的很不容易
