
[00:00:00.000 --> 00:00:02.000]  有沒有看過這本書啊?
[00:00:02.000 --> 00:00:08.500]  不過一般般啊,有些出了界
[00:00:08.500 --> 00:00:13.300]  在我電腦看就沒有出界
[00:00:13.300 --> 00:00:15.100]  回來就出了界
[00:00:15.100 --> 00:00:20.500]  最近不知道你有沒有看過一個
[00:00:20.500 --> 00:00:23.500]  一個多禮拜前的一個廣告
[00:00:23.500 --> 00:00:26.000]  在YouTube
[00:00:26.000 --> 00:00:27.800]  看一下,一個禮拜左右
[00:00:27.800 --> 00:00:29.800]  有幾千萬的點擊率
[00:00:30.800 --> 00:00:32.200]  可能有些人看過
[00:00:32.200 --> 00:00:35.000]  但我看了幾次呢?
[00:00:35.000 --> 00:00:37.000]  我看了幾次了
[00:00:37.000 --> 00:00:41.000]  但我還覺得挺好看
[00:00:41.000 --> 00:00:44.000]  所以想和大家分享一下
[00:00:44.000 --> 00:00:46.000]  如果你看過的
[00:00:46.000 --> 00:00:49.000]  給點耐性再看一下
[00:00:49.000 --> 00:00:52.000]  之前有沒有人看過的?
[00:00:52.000 --> 00:00:54.000]  沒有啊
[00:00:54.000 --> 00:00:57.000]  我爲什麼看那麼多次呢?
[00:00:57.000 --> 00:00:59.500]  除了很仰慕他之外
[00:01:00.500 --> 00:01:03.500]  這個是八九十年代
[00:01:03.500 --> 00:01:04.500]  應該是八九十年代
[00:01:04.500 --> 00:01:05.500]  有些人出世了沒有?
[00:01:05.500 --> 00:01:07.000]  八九十年代
[00:01:07.000 --> 00:01:10.000]  就是荷里活的動作的影星
[00:01:10.000 --> 00:01:12.500]  我最欣賞的就是
[00:01:12.500 --> 00:01:14.000]  這個廣告
[00:01:14.000 --> 00:01:15.500]  他一拍就搞定了
[00:01:15.500 --> 00:01:17.500]  是真的
[00:01:17.500 --> 00:01:19.500]  他真的站在那裏
[00:01:19.500 --> 00:01:22.000]  當然那些司機也要讚一讚
[00:01:22.000 --> 00:01:23.500]  開車的司機
[00:01:23.500 --> 00:01:25.500]  如果你瞭解開貨車
[00:01:25.500 --> 00:01:27.500]  向前和向後
[00:01:27.500 --> 00:01:29.000]  當然退後是難的
[00:01:29.000 --> 00:01:30.500]  他還要退後
[00:01:30.500 --> 00:01:32.500]  他一拍就搞定了
[00:01:32.500 --> 00:01:36.000]  我最多就是做到這樣
[00:01:36.000 --> 00:01:42.000]  他拍這個廣告
[00:01:42.000 --> 00:01:44.500]  他在西班牙的一個飛機跑道
[00:01:44.500 --> 00:01:45.500]  早上七點多
[00:01:45.500 --> 00:01:47.500]  一拍就拍完了
[00:01:47.500 --> 00:01:48.000]  搞定了
[00:01:48.000 --> 00:01:49.000]  很快手
[00:01:49.000 --> 00:01:53.000]  你看看他的身影
[00:01:53.000 --> 00:01:54.500]  剛纔那裏看不到什麼
[00:01:54.500 --> 00:01:55.500]  我給你一張照片
[00:01:55.500 --> 00:01:56.500]  你看看他的身影
[00:01:56.500 --> 00:01:57.500]  開下一張
[00:02:00.000 --> 00:02:01.500]  我不知道他有沒有縮起
[00:02:01.500 --> 00:02:02.000]  不過縮不縮
[00:02:02.000 --> 00:02:03.000]  縮也很難縮
[00:02:03.000 --> 00:02:04.500]  如果他真的有肚腩的話
[00:02:04.500 --> 00:02:05.500]  你明白嗎
[00:02:05.500 --> 00:02:08.000]  同樣另外一個
[00:02:08.000 --> 00:02:10.000]  在差不多一年代
[00:02:10.000 --> 00:02:12.500]  以肌肉聞名的一個影星
[00:02:12.500 --> 00:02:14.500]  我想你看看下一張
[00:02:14.500 --> 00:02:21.000]  都差很遠
[00:02:21.000 --> 00:02:23.500]  以前他就說
[00:02:23.500 --> 00:02:24.500]  I'll be back
[00:02:24.500 --> 00:02:25.500]  現在他就說
[00:02:25.500 --> 00:02:26.500]  Oh my back
[00:02:28.500 --> 00:02:29.500]  就這樣
[00:02:29.500 --> 00:02:33.000]  有點失望
[00:02:33.000 --> 00:02:35.000]  兩個我都同樣很仰慕
[00:02:35.000 --> 00:02:36.500]  以前小時候
[00:02:36.500 --> 00:02:38.500]  在那裏看那些戲
[00:02:38.500 --> 00:02:41.500]  又大隻又很新手
[00:02:41.500 --> 00:02:43.500]  但是看到這個
[00:02:43.500 --> 00:02:44.500]  我就有點失望
[00:02:44.500 --> 00:02:47.500]  他們兩個分別在哪裏
[00:02:47.500 --> 00:02:50.000]  分別在哪裏
[00:02:50.000 --> 00:02:52.500]  操練
[00:02:52.500 --> 00:02:54.500]  鍛鍊就是這麼簡單
[00:02:54.500 --> 00:02:56.000]  很明顯看到
[00:02:56.000 --> 00:02:59.000]  有沒有一個恆常的運動
[00:02:59.000 --> 00:03:00.500]  鍛鍊或操練
[00:03:00.500 --> 00:03:03.000]  身體是需要鍛鍊的
[00:03:03.000 --> 00:03:06.000]  需要有飲食
[00:03:06.000 --> 00:03:07.000]  均衡
[00:03:07.000 --> 00:03:08.000]  早睡早起
