
[00:00:00.000 --> 00:00:09.000]  很快就進入第六天晚上的分析會,
[00:00:09.000 --> 00:00:16.000]  在昨晚的分析會的頭十五分鐘,
[00:00:16.000 --> 00:00:24.000]  我發現我一直咳嗽,要忍住的情形,
[00:00:24.000 --> 00:00:28.000]  後來講了一個鐘頭,聲音就越講越開了,
[00:00:28.000 --> 00:00:35.000]  我知道在台上台下,還有在國內國外都有人為我禱告,
[00:00:35.000 --> 00:00:43.000]  我還沒有回到旅店的時候就收到WhatsApp,
[00:00:43.000 --> 00:00:48.000]  就在轉播站的一位姐妹就告訴我,
[00:00:48.000 --> 00:00:51.000]  你不要吃什麼,不然你就會咳嗽,
[00:00:51.000 --> 00:00:59.000]  第一是番茄,第二是蘿蔔,
[00:00:59.000 --> 00:01:07.000]  我想起了,中午我吃番茄焗豬扒飯,
[00:01:07.000 --> 00:01:20.000]  晚上牛腩蘿蔔,
[00:01:20.000 --> 00:01:24.000]  但這位姐妹不知道我吃仙芝的話,
[00:01:24.000 --> 00:01:30.000]  所以我今晚兩樣都不吃,
[00:01:30.000 --> 00:01:34.000]  在這裡要跟轉播站的那位我的學生來講,
[00:01:34.000 --> 00:01:36.000]  謝謝你。
[00:01:36.000 --> 00:01:43.000]  今晚的題目是「求主鑑察」,
[00:01:43.000 --> 00:01:53.000]  在2011年8月6日,在美國休士頓舉辦了一個歷史性的禱告會,
[00:01:53.000 --> 00:02:00.000]  禱告會的主題是「The Response」,
[00:02:00.000 --> 00:02:04.000]  這個禱告會是Texas的州長所主持的,
[00:02:04.000 --> 00:02:14.000]  他的名字叫Perry,整個球場都坐滿了,
[00:02:14.000 --> 00:02:22.000]  有三萬個美國人出席這個禱告會,
[00:02:22.000 --> 00:02:30.000]  他為美國所發生的種種危機禱告,
[00:02:30.000 --> 00:02:35.000]  Perry在祈禱詞裡面這樣說:
[00:02:35.000 --> 00:02:41.000]  「我和你們一樣深深地愛著這個國家,
[00:02:41.000 --> 00:02:46.000]  感謝你們來參加這個禱告會,
[00:02:46.000 --> 00:02:53.000]  上帝,我們的心為美國而破碎,
[00:02:53.000 --> 00:02:58.000]  我們在市場上看到恐慌,
[00:02:58.000 --> 00:03:03.000]  我們在政府大廳看到憤怒,
[00:03:03.000 --> 00:03:06.000]  作為一個國家,
[00:03:06.000 --> 00:03:12.000]  我們已經忘記是誰創造我們,
[00:03:12.000 --> 00:03:17.000]  是誰保護我們,賜福我們,
[00:03:17.000 --> 00:03:23.000]  美國人忘記上帝是誰,
[00:03:23.000 --> 00:03:28.000]  Perry的話擊中了要害,
