
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,大家好
[00:00:02.000 --> 00:00:04.000]  今天是年廿八
[00:00:04.000 --> 00:00:06.000]  首先在此祝大家新年平安
[00:00:06.000 --> 00:00:10.000]  在我們思考上帝說話之前
[00:00:10.000 --> 00:00:12.000]  我們有一個禱告
[00:00:12.000 --> 00:00:16.000]  上帝,我們都需要在你面前
[00:00:16.000 --> 00:00:18.000]  去知取能力
[00:00:18.000 --> 00:00:22.000]  因為我們人有很多限制
[00:00:22.000 --> 00:00:24.000]  求上帝開我們的眼
[00:00:24.000 --> 00:00:26.000]  開我們的心
[00:00:26.000 --> 00:00:28.000]  向你敞開
[00:00:28.000 --> 00:00:30.000]  以致我們能夠
[00:00:30.000 --> 00:00:33.000]  看到上帝理想我們所做的
[00:00:33.000 --> 00:00:35.000]  帶領我們的腳步
[00:00:35.000 --> 00:00:37.000]  多謝你,我們祈禱奉耶穌的聖名
[00:00:37.000 --> 00:00:39.000]  阿們
[00:00:39.000 --> 00:00:41.000]  在上世紀三四六十年代
[00:00:41.000 --> 00:00:43.000]  是中國
[00:00:43.000 --> 00:00:47.000]  一個不容易的日子
[00:00:47.000 --> 00:00:50.000]  日本對中國發動全面的侵略
[00:00:50.000 --> 00:00:52.000]  抗戰結束之後
[00:00:52.000 --> 00:00:54.000]  亦都有內戰
[00:00:54.000 --> 00:00:56.000]  跟著就是一連串的動盪
[00:00:56.000 --> 00:00:59.000]  在中國最艱難的時候
[00:00:59.000 --> 00:01:01.000]  其實不少宣教士
[00:01:01.000 --> 00:01:03.000]  和中國的信徒
[00:01:03.000 --> 00:01:05.000]  都更加勇敢、剛強地
[00:01:05.000 --> 00:01:07.000]  站出來
[00:01:07.000 --> 00:01:09.000]  為主做見證
[00:01:09.000 --> 00:01:11.000]  在抗戰的時候
[00:01:11.000 --> 00:01:13.000]  有一個年青人
[00:01:13.000 --> 00:01:15.000]  回應了上帝的呼召
[00:01:15.000 --> 00:01:17.000]  他一生奉獻在全島工作
[00:01:17.000 --> 00:01:20.000]  他的名字叫邊雲波
[00:01:20.000 --> 00:01:25.000]  他當時是大學方重慶中央大學的學生
[00:01:25.000 --> 00:01:27.000]  雖然年紀輕輕
[00:01:27.000 --> 00:01:29.000]  但身體一直都不好
[00:01:29.000 --> 00:01:31.000]  因為十二歲那年
