
[00:00:00.000 --> 00:00:10.000]  各位今日要和大家思想的題目就是走出驚惶進入平安
[00:00:10.000 --> 00:00:14.000]  在我們聆聽主道之先我們一起祈禱
[00:00:14.000 --> 00:00:18.000]  主耶穌你是我們的主我們的神
[00:00:18.000 --> 00:00:21.000]  我們要來敬拜你
[00:00:21.000 --> 00:00:27.000]  在這一個聽道的儀節求主你的道進入我們的耳朵
[00:00:27.000 --> 00:00:31.000]  進入我們的腦袋進入我們的內心
[00:00:31.000 --> 00:00:37.000]  成為我們生命的力量去面對人生的恐懼
[00:00:37.000 --> 00:00:43.000]  各位你怕不怕?
[00:00:43.000 --> 00:00:46.000]  沒什麼好怕的
[00:00:46.000 --> 00:00:51.000]  我們其實每個人都有東西怕的
[00:00:51.000 --> 00:00:55.000]  我站在這裡我怕我講到會過時
[00:00:55.000 --> 00:00:58.000]  今天我都要慎重一點
[00:00:58.000 --> 00:01:02.000]  我們都是怕懼怕
[00:01:02.000 --> 00:01:07.000]  怕那樣東西為什麼這麼可怕呢
[00:01:07.000 --> 00:01:12.000]  是因為我們很恐怕會失去
[00:01:12.000 --> 00:01:13.000]  失去
[00:01:13.000 --> 00:01:18.000]  譬如失去生命失去健康失去金錢
[00:01:18.000 --> 00:01:23.000]  都是會令我們害怕的
[00:01:23.000 --> 00:01:26.000]  各位害怕
[00:01:26.000 --> 00:01:29.000]  我想問大家一樣東西
[00:01:29.000 --> 00:01:35.000]  請問你認為生活上最需要的那樣東西
[00:01:35.000 --> 00:01:38.000]  沒有了它你很不行的
[00:01:38.000 --> 00:01:39.000]  是什麼呢
[00:01:39.000 --> 00:01:42.000]  這東西
[00:01:42.000 --> 00:01:47.000]  這東西我擁有它又害怕
[00:01:47.000 --> 00:01:49.000]  特別我女兒提醒我
[00:01:49.000 --> 00:01:53.000]  在倫敦不要拿電話出來
[00:01:53.000 --> 00:01:56.000]  我沒有了它還害怕
[00:01:56.000 --> 00:01:59.000]  因為你生活沒有了這東西
[00:01:59.000 --> 00:02:02.000]  你真的不知道怎麼辦
[00:02:02.000 --> 00:02:06.000]  你很有錢你都會害怕
[00:02:06.000 --> 00:02:11.000]  你有錢到很多人認識你更加害怕
[00:02:11.000 --> 00:02:14.000]  你沒有錢來英國
[00:02:14.000 --> 00:02:19.000]  很貴或者不夠多錢
[00:02:19.000 --> 00:02:21.000]  我們活著都會害怕
[00:02:21.000 --> 00:02:25.000]  因為人生要面對很多的挑戰
[00:02:25.000 --> 00:02:28.000]  做人真艱難
[00:02:28.000 --> 00:02:32.000]  一定有難處有風雨
[00:02:32.000 --> 00:02:37.000]  但是我們亦都很怕失去生命
[00:02:37.000 --> 00:02:42.000]  曾經有人想到一樣東西
[00:02:42.000 --> 00:02:44.000]  你想令人害怕
[00:02:44.000 --> 00:02:46.000]  走過去他那裏
[00:02:46.000 --> 00:02:49.000]  很慎重對著他說
[00:02:49.000 --> 00:02:52.000]  你害不害怕我
[00:02:52.000 --> 00:02:54.000]  如果有個人這樣
[00:02:54.000 --> 00:02:57.000]  我試過去青山醫院
[00:02:57.000 --> 00:03:02.000]  有個病人出來說你害不害怕我
[00:03:02.000 --> 00:03:07.000]  我心裏面說不害怕你
[00:03:07.000 --> 00:03:09.000]  那你害不害怕鬼
[00:03:09.000 --> 00:03:12.000]  我說我不害怕鬼我相信耶穌
[00:03:12.000 --> 00:03:14.000]  我裏面有隻鬼
[00:03:14.000 --> 00:03:20.000]  他的動作我也會有點膽怯
[00:03:20.000 --> 00:03:24.000]  但是我知道我不會害怕他這東西
[00:03:24.000 --> 00:03:27.000]  所以各位我們人生很多害怕
[00:03:27.000 --> 00:03:32.000]  有人說害怕就好像跟我們一起
[00:03:32.000 --> 00:03:34.000]  跟我們共舞
[00:03:34.000 --> 00:03:36.000]  有一本很暢銷的書
[00:03:36.000 --> 00:03:39.000]  叫做《恐懼與人共舞》
[00:03:39.000 --> 00:03:41.000]  意思是什麼呢
[00:03:41.000 --> 00:03:45.000]  我們一出世就很多害怕跟我們一起
[00:03:45.000 --> 00:03:47.000]  我們要跟他共舞
[00:03:47.000 --> 00:03:50.000]  跟他一起舞來舞去
