
[00:00:00.000 --> 00:00:06.080]  如果根據《哥倫多前書》第十章第一到第四節提到
[00:00:06.080 --> 00:00:09.060]  講到原來當時保羅說
[00:00:09.060 --> 00:00:10.800]  原來在出埃及的時候
[00:00:10.800 --> 00:00:15.520]  以色列人已經在紅海那裡有象徵式的洗禮
[00:00:15.520 --> 00:00:16.700]  不過你要知道
[00:00:16.700 --> 00:00:19.260]  在舊約裡面
[00:00:19.260 --> 00:00:25.620]  如果真是真實地參與一個潔淨的禮儀
[00:00:25.620 --> 00:00:28.200]  或者是一個潔淨的洗禮的話
[00:00:28.200 --> 00:00:34.100]  大概就是今天我們要看的乃蠻這個人
[00:00:34.100 --> 00:00:35.280]  他不是一個以色列人
[00:00:35.280 --> 00:00:36.620]  他是一個外邦人
[00:00:36.620 --> 00:00:37.800]  不僅如此
[00:00:37.800 --> 00:00:41.840]  乃蠻相信獨一真神的故事
[00:00:41.840 --> 00:00:43.680]  或者整個敘述
[00:00:43.680 --> 00:00:46.740]  很可能就在舊約的聖經裡面
[00:00:46.740 --> 00:00:49.280]  最詳細、最真摯
[00:00:49.280 --> 00:00:55.600]  也是最清晰地放在我們面前
[00:00:55.600 --> 00:01:00.160]  到底一個人怎樣去歸順真神
[00:01:00.160 --> 00:01:02.720]  不過乃蠻的篇幅實在很長
[00:01:02.720 --> 00:01:08.280]  你知道《列宗幾下》第五章是一段很長的經文
[00:01:08.280 --> 00:01:11.840]  我們將會嘗試把它拆細
[00:01:11.840 --> 00:01:15.080]  嘗試仔細去分幾次來學習
[00:01:15.080 --> 00:01:18.160]  今天我們首先將整個焦點
[00:01:18.160 --> 00:01:24.680]  放在大男人和小女子這個對比身上
[00:01:24.680 --> 00:01:28.200]  經文是剛才我們所說的
[00:01:28.200 --> 00:01:32.280]  《列王幾下》的第五章一到第三節
[00:01:32.280 --> 00:01:34.600]  我們看看這段經文
[00:01:34.600 --> 00:01:37.160]  這段經文其實是講到
[00:01:37.160 --> 00:01:41.120]  「亞蘭王的元帥乃蠻在他的主人面前為尊為大
[00:01:41.120 --> 00:01:44.920]  因耶和華曾經藉他洗亞蘭人得勝
[00:01:44.920 --> 00:01:46.960]  他又是大能的勇士
[00:01:46.960 --> 00:01:48.480]  只是掌了大麻風
[00:01:48.480 --> 00:01:51.000]  先前亞蘭人盛困地出去
[00:01:51.000 --> 00:01:53.880]  從以色列角擄了一個小女子
[00:01:53.880 --> 00:01:57.400]  這女子就服侍乃蠻的妻子
[00:01:57.400 --> 00:01:58.800]  她對她主母說:
[00:01:58.800 --> 00:02:04.280]  「巴不得我主人去見撒瑪尼亞的先知
[00:02:04.280 --> 00:02:09.320]  必能治好他的大麻風」
[00:02:09.320 --> 00:02:12.880]  我想你留意在這段經文一開始
[00:02:12.880 --> 00:02:14.840]  第一個字就是一個人名
[00:02:14.840 --> 00:02:16.520]  就是乃蠻這個字
[00:02:16.520 --> 00:02:17.800]  就是這個人
[00:02:17.800 --> 00:02:20.960]  五章第一節提到乃蠻這個人兄的時候
[00:02:20.960 --> 00:02:26.280]  聖經的作者特別用了一個在第四章已經用過的形容詞
[00:02:26.280 --> 00:02:30.840]  曾經放在樞紐婦人身上的這個字
[00:02:30.840 --> 00:02:31.520]  就是多了
