
[00:00:00.000 --> 00:00:09.000]  每個人都盼望我們在家庭生活裡面,能夠完成我們的使命,能夠使家庭裡面得足滿足。
[00:00:09.000 --> 00:00:22.000]  若是當中,你在工作的崗位中要退下來,或者是在去年的時候,有一些的童工在服事崗位當中要小事的休息,
[00:00:22.000 --> 00:00:37.000]  你猜想他們心裡面希望得到的回報是什麼?你在想他們希望在任內,在他們所做的事情當中,可以留下什麼的建樹,什麼的回憶呢?
[00:00:37.000 --> 00:00:53.000]  那我相信最大的一個喜樂,就是他生命當中所相信的,他在生命當中所持守的,成為下一代的主婦。
[00:00:53.000 --> 00:01:07.000]  若是你在工作間裡面,工作了二十五年,三十年,大家都說你是一個很守時的人,你希望下一個梯隊的人在公司裡面守不守時啊?我盼望是。
[00:01:07.000 --> 00:01:33.000]  這個是我們的滿足,但是我們也都知道,原來有些時候,當我們離開我們的工作,或者小事,休息,在侍奉的崗位不再存在的時候,原來發現當我們周邊的人沒有撿到我們最好的榜樣,反而撿到我們最不好的榜樣,我盼望這個不會出現。
[00:01:33.000 --> 00:01:46.000]  有一回我探訪一個老人家,他很客氣地把我接待,到了家裡面,他就問牧師,你需要一杯水嗎?我說,謝謝了,我不用了。
[00:01:46.000 --> 00:02:02.000]  結果後來呢,他的女兒就從房間出來,跟我談話,那女兒過了幾分鐘以後呢,她又再問我她媽媽的同一個問題,她說,牧師啊,你需要一杯水嗎?
[00:02:02.000 --> 00:02:15.000]  我就發覺到原來女兒跟母親想的東西都很一樣,因為女兒可能在成長的當中,那個媽媽已經教導她,有客人來的時候,要好好的教輔他們。
[00:02:15.000 --> 00:02:29.000]  所以一聽到他女兒這樣講的時候,我就知道,這個是真女兒,真女兒,因為她聽到母親跟她的吩咐,其實這個豈不是在座的父母最大的喜樂嗎?
[00:02:29.000 --> 00:02:38.000]  你跟她重複了一千次,希望她到一千零一次,她能夠掌握到。
[00:02:38.000 --> 00:02:50.000]  同樣的,我相信在做一個傳達人牧師,我當中最大的滿足是什麼?最大的滿足是,我所相信的成為你所相信的。
[00:02:50.000 --> 00:03:08.000]  我在叢林生命當中,我覺得最重要的地方,也成為你生命當中最重要的地方。比方說,我覺得禱告重要,我希望當我在退休,或者在施工有條件的時候,你會看到禱告是重要。
[00:03:08.000 --> 00:03:20.000]  那若是一個教會裡面,一百個人當中,沒有一個門徒,你會怎麼樣看教會?
