
[00:00:00.000 --> 00:00:03.580]  今天我們來到哥倫多前書最後一章
[00:00:03.580 --> 00:00:08.560]  我們會看到保羅比教會的祝福
[00:00:08.560 --> 00:00:12.020]  我不知道大家有沒有試過很掛念一些人
[00:00:12.020 --> 00:00:14.820]  但你又不能夠在他身邊
[00:00:14.820 --> 00:00:18.680]  所以你唯有將很重要的事情告訴他
[00:00:18.680 --> 00:00:22.280]  我記得當我在英國讀書的時候
[00:00:22.280 --> 00:00:23.660]  當我要去讀書
[00:00:23.660 --> 00:00:28.360]  我媽媽給了我幾個很重要的祝福
[00:00:28.360 --> 00:00:30.820]  究竟我媽媽給了我什麼祝福呢?
[00:00:30.820 --> 00:00:32.620]  第一,她說兒子
[00:00:32.620 --> 00:00:36.700]  你要記得怎樣煮飯
[00:00:36.700 --> 00:00:41.120]  她說你記住煮飯是要洗米的
[00:00:41.120 --> 00:00:43.700]  你要首先洗乾淨米
[00:00:43.700 --> 00:00:46.580]  然後倒掉那些骯髒的水
[00:00:46.580 --> 00:00:49.140]  然後你要放多少水呢?你記住了
[00:00:49.140 --> 00:00:51.940]  將你的手掌放在飯上
[00:00:51.940 --> 00:00:54.520]  水浸過你的手掌面
[00:00:54.520 --> 00:00:57.080]  這樣就夠水了
[00:00:57.080 --> 00:01:00.760]  常常我都記得是媽媽的教導
[00:01:00.760 --> 00:01:03.480]  但我發現原來歷代的媽媽
[00:01:03.480 --> 00:01:06.260]  都是這樣教子女煮飯的
[00:01:06.260 --> 00:01:10.060]  最近我和Joyce去探訪一個少年人
[00:01:10.060 --> 00:01:11.980]  他媽媽因為疫情的緣故
[00:01:11.980 --> 00:01:14.740]  在內地未能夠下來照顧他
[00:01:14.740 --> 00:01:17.060]  我們問他你怎樣煮飯的
[00:01:17.060 --> 00:01:18.860]  他說媽媽已經教了我
[00:01:18.860 --> 00:01:20.860]  就是首先你要洗米
[00:01:20.860 --> 00:01:23.700]  將那些骯髒的水倒掉
[00:01:23.700 --> 00:01:27.200]  那怎樣下水呢?就是將手掌放在那裡
[00:01:27.200 --> 00:01:30.600]  然後水浸過就夠了
[00:01:30.600 --> 00:01:34.020]  我發現原來歷世歷代的媽媽都是這樣
[00:01:34.020 --> 00:01:35.300]  教子女煮飯的
[00:01:35.300 --> 00:01:37.420]  不過我發現如果是這樣的話
[00:01:37.420 --> 00:01:40.900]  那個少年人煮的飯應該是比較乾身的
[00:01:40.900 --> 00:01:42.700]  我煮的應該是比較濕身的
[00:01:42.700 --> 00:01:45.300]  因為我的手掌比較厚
[00:01:45.300 --> 00:01:46.580]  應該是比較多水的
[00:01:46.580 --> 00:01:50.140]  所以如果是他煮的應該是比較乾身
[00:01:50.140 --> 00:01:54.720]  另外一個我媽媽給我的祝福是說你記住
[00:01:54.720 --> 00:01:58.160]  你不懂的東西你記住要問人
[00:01:58.160 --> 00:01:59.800]  為什麼呢?因為我去到英國讀書
[00:01:59.800 --> 00:02:02.100]  我媽媽很怕我的英文不好
[00:02:02.100 --> 00:02:04.840]  她說英文不好她很怕如果我不明白
[00:02:04.840 --> 00:02:07.000]  我又不敢去問先生
[00:02:07.000 --> 00:02:08.600]  於是第二件事她說你記住
[00:02:08.600 --> 00:02:10.600]  你有什麼不懂你不要緊的
[00:02:10.600 --> 00:02:12.000]  你不要覺得醜
[00:02:12.000 --> 00:02:13.400]  總之你不懂
[00:02:13.400 --> 00:02:16.120]  你就要問先生問到懂為止
[00:02:16.120 --> 00:02:19.800]  這個是她經常跟我說的第二個祝福
[00:02:19.800 --> 00:02:23.580]  大家知不知道我媽媽給我的第三個祝福是什麼?
[00:02:23.580 --> 00:02:25.940]  她說兒子你要記住
[00:02:25.940 --> 00:02:28.160]  你是一個中國人
[00:02:28.160 --> 00:02:33.240]  我希望你將來能夠娶一個中國人的太太
[00:02:33.240 --> 00:02:35.440]  就在這個時候
[00:02:35.440 --> 00:02:39.540]  她就送了一張我是中國人的CD
[00:02:39.540 --> 00:02:42.900]  給我作為進學校的禮物
[00:02:42.900 --> 00:02:46.040]  我也很感謝主
[00:02:46.040 --> 00:02:48.040]  我太太今天也在我們當中
[00:02:48.040 --> 00:02:51.760]  她是一個中國人
[00:02:51.760 --> 00:02:55.840]  所以當我記得媽媽對我的祝福的時候
[00:02:55.840 --> 00:02:58.800]  我們又看看保羅他究竟最後
